"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Elijah Holyfield","CAR","0.6","1.7","0.0","0.3","0.7","0.0","0.0","0.2"
"Paul Perkins","DET","0.3","1.3","0.0","0.0","0.2","0.0","0.0","0.2"
"John Kelly","LAR","0.6","1.7","0.0","0.3","0.5","0.0","0.0","0.2"
"Dexter Williams","GB","0.6","1.7","0.0","0.2","0.7","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","0.3","1.1","0.0","0.2","0.8","0.0","0.0","0.2"
"D.J. Foster","ARI","0.6","1.6","0.0","0.2","0.4","0.0","0.0","0.2"
"Keith Smith","ATL","0.4","1.3","0.0","0.2","0.6","0.0","0.0","0.2"
"Samaje Perine","CIN","0.2","1.1","0.0","0.1","0.6","0.0","0.0","0.2"
"Nick Bellore","SEA","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Tavon Austin","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
