,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
222,Jared Goff,Alvin Kamara,Nick Chubb,Emmanuel Sanders,DeAndre Hopkins,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,154.03400000000002,49600
223,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,Adam Thielen,Marvin Jones,Travis Kelce,Sammy Watkins,Denver Broncos,153.90400000000005,49700
224,Cam Newton,Adrian Peterson,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Todd Gurley,Denver Broncos,153.876,49900
225,Jared Goff,Alvin Kamara,Nick Chubb,Michael Thomas,Kenny Golladay,Marvin Jones,David Njoku,Travis Kelce,Denver Broncos,153.87400000000002,49700
226,Cam Newton,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Emmanuel Sanders,David Njoku,Tre'Quan Smith,Denver Broncos,153.866,49600
227,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Kenny Golladay,Travis Kelce,Marvin Jones,Denver Broncos,153.85400000000004,49700
228,Patrick Mahomes,Alvin Kamara,Nick Chubb,Michael Thomas,Tre'Quan Smith,Marvin Jones,David Njoku,Travis Kelce,Denver Broncos,153.816,49500
229,Patrick Mahomes,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Kareem Hunt,Denver Broncos,153.806,49900
230,Patrick Mahomes,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,Travis Kelce,Marvin Jones,Denver Broncos,153.796,49500
231,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,Adam Thielen,Marvin Jones,David Njoku,Sammy Watkins,Chicago Bears,153.73400000000004,49500
232,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,Adam Thielen,Kenny Golladay,David Njoku,Travis Kelce,Denver Broncos,153.72400000000005,49600
233,Jared Goff,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Kenny Golladay,Sammy Watkins,David Njoku,Travis Kelce,Denver Broncos,153.72400000000002,50000
234,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Travis Kelce,Chicago Bears,153.69400000000002,49500
235,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Kenny Golladay,David Njoku,Marvin Jones,Chicago Bears,153.68400000000003,49500
236,Patrick Mahomes,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Tre'Quan Smith,Sammy Watkins,David Njoku,Travis Kelce,Denver Broncos,153.666,49800
237,Patrick Mahomes,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Kenny Golladay,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,153.656,49800
238,Jared Goff,Alvin Kamara,Adrian Peterson,Adam Thielen,Tre'Quan Smith,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,153.62400000000002,49500
239,Jared Goff,Alvin Kamara,Adrian Peterson,DeAndre Hopkins,Tre'Quan Smith,Kenny Golladay,David Njoku,Marvin Jones,Denver Broncos,153.574,49500
240,Cam Newton,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Sammy Watkins,Chicago Bears,153.566,49900
