,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
243,Foster Moreau,TE,2500,4.33,577.3672055427252,29,25,10.4,0.01,240.38461538461542
244,Jordan Akins,TE,2800,4.77,587.0020964360588,24,26,8.9,0.01,314.6067415730337
245,Logan Thomas,TE,2600,4.380000000000001,593.607305936073,28,27,4.1,0.06,634.1463414634147
246,Nick O'Leary,TE,2700,4.53,596.0264900662253,26,28,0.0,0.0,9999.0
247,Anthony Firkser,TE,2700,4.41,612.2448979591836,27,29,4.9,0.01,551.0204081632653
248,Jeff Heuerman,TE,2600,4.11,632.603406326034,32,30,0.0,0.0,9999.0
249,Nick Boyle,TE,2700,4.2,642.8571428571427,30,31,9.0,0.01,300.0
250,C.J. Uzomah,TE,2700,4.130000000000001,653.7530266343824,31,32,1.4,0.02,1928.571428571429
251,Ross Travis,TE,2600,3.86,673.5751295336787,33,33,1.1,0.02,2363.6363636363635
252,Jesse James,TE,2500,3.62,690.6077348066298,35,34,3.3,0.01,757.5757575757576
253,Matt LaCosse,TE,2500,3.31,755.2870090634441,38,35,0.0,0.0,9999.0
254,Josh Hill,TE,2500,3.22,776.3975155279503,39,36,0.0,0.0,9999.0
255,Charles Clay,TE,2700,3.46,780.3468208092488,36,37,0.0,0.0,9999.0
256,Marcedes Lewis,TE,2500,3.12,801.2820512820513,40,38,1.5,0.01,1666.666666666667
257,Demetrius Harris,TE,2800,3.4,823.5294117647059,37,39,0.0,0.0,9999.0
258,Jaeden Graham,TE,3300,3.78,873.0158730158728,34,40,0.0,0.0,9999.0
259,Maxx Williams,TE,2500,2.7900000000000005,896.0573476702507,41,41,0.0,0.0,9999.0
260,Ricky Seals-Jones,TE,2600,2.74,948.905109489051,42,42,3.2,0.01,812.5
261,Tyler Kroft,TE,2500,1.94,1288.659793814433,44,43,0.0,0.0,9999.0
262,Clive Walford,TE,2500,1.9,1315.7894736842104,45,44,0.0,0.0,9999.0
263,Andrew Beck,TE,2500,1.87,1336.898395721925,47,45,0.0,0.0,9999.0
264,Daniel Brown,TE,2500,1.87,1336.898395721925,46,46,0.0,0.0,9999.0
265,Durham Smythe,TE,2500,1.85,1351.3513513513512,49,47,0.0,0.0,9999.0
266,Mo Alie-Cox,TE,2500,1.85,1351.3513513513512,48,48,0.0,0.0,9999.0
267,Nick Vannett,TE,3000,2.05,1463.4146341463415,43,49,0.0,0.01,9999.0
268,Robert Tonyan,TE,2500,1.6800000000000002,1488.0952380952374,50,50,0.0,0.0,9999.0
269,Chris Manhertz,TE,2500,1.5699999999999998,1592.3566878980896,51,51,0.0,0.0,9999.0
270,Zach Gentry,TE,2500,1.42,1760.5633802816903,53,52,0.0,0.0,9999.0
271,Hale Hentges,TE,2500,1.41,1773.0496453900712,54,53,0.0,0.0,9999.0
272,Derek Carrier,TE,2600,1.45,1793.103448275862,52,54,0.0,0.0,9999.0
273,Garrett Celek,TE,2500,1.35,1851.8518518518522,55,55,0.0,0.0,9999.0
274,Ryan Izzo,TE,2500,1.3,1923.0769230769226,56,56,0.0,0.0,9999.0
275,Tanner Hudson,TE,2500,1.27,1968.5039370078741,57,57,0.0,0.0,9999.0
276,Virgil Green,TE,2500,1.26,1984.1269841269839,58,58,0.0,0.0,9999.0
277,Tyler Conklin,TE,2500,1.2400000000000002,2016.129032258064,59,59,0.0,0.0,9999.0
278,Ben Koyack,TE,2500,1.2000000000000002,2083.333333333333,60,60,0.0,0.0,9999.0
279,Ross Dwelley,TE,2500,1.15,2173.913043478261,61,61,0.0,0.0,9999.0
280,Luke Stocker,TE,2500,1.14,2192.9824561403507,62,62,0.0,0.0,9999.0
