,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
108,Dontrell Hilliard,RB,3000,1.6,1875.0,68,68,0.0,0.0,9999.0
109,Qadree Ollison,RB,3000,1.55,1935.483870967742,69,69,0.6,0.02,9999.0
110,Alex Armah,RB,3000,1.36,2205.882352941176,71,70,0.0,0.0,9999.0
111,Patrick DiMarco,RB,3000,1.21,2479.3388429752067,72,71,0.0,0.0,9999.0
112,Justin Jackson,RB,3000,1.19,2521.008403361345,73,72,0.0,0.0,9999.0
113,Alec Ingold,RB,3000,1.17,2564.1025641025644,74,73,0.0,0.0,9999.0
114,Patrick Ricard,RB,3000,1.03,2912.6213592233007,75,74,0.0,0.0,9999.0
115,Reggie Bonnafon,RB,4000,1.36,2941.1764705882347,70,75,0.0,0.0,9999.0
38,Patrick Laird,RB,4500,13.43,335.07073715562177,19,1,7.4,49.78,608.1081081081081
39,Todd Gurley,RB,6000,17.8,337.07865168539325,8,2,20.8,15.87,288.46153846153845
40,Saquon Barkley,RB,7700,22.56,341.3120567375886,2,3,33.3,68.56,231.23123123123122
41,Boston Scott,RB,3000,8.46,354.60992907801415,34,4,13.5,1.95,222.22222222222226
42,Chris Carson,RB,7500,21.020000000000003,356.80304471931487,3,5,29.7,55.68,252.52525252525254
43,Leonard Fournette,RB,7600,20.56,369.64980544747084,5,6,12.3,13.57,617.8861788617886
44,Miles Sanders,RB,5900,15.72,375.3180661577608,12,7,38.2,0.49,154.45026178010468
45,Duke Johnson,RB,4100,10.54,388.9943074003794,24,8,4.3,0.17,953.4883720930233
46,Christian McCaffrey,RB,10000,25.35,394.47731755424064,1,9,37.5,52.23,266.6666666666667
47,Kenyan Drake,RB,5000,12.61,396.51070578905626,22,10,42.6,2.67,117.37089201877933
48,Ezekiel Elliott,RB,7800,19.66,396.7446592065107,7,11,34.0,1.38,229.41176470588238
49,James White,RB,5400,13.58,397.6435935198822,18,12,15.2,1.94,355.2631578947369
50,Melvin Gordon,RB,6500,16.14,402.72614622057,11,13,9.4,0.09,691.4893617021277
51,Phillip Lindsay,RB,5600,13.63,410.85840058694055,17,14,3.2,1.11,1750.0
52,Chris Thompson,RB,3900,9.48,411.3924050632911,30,15,4.6,0.1,847.8260869565217
53,Raheem Mostert,RB,5200,12.61,412.3711340206185,21,16,11.9,6.53,436.9747899159663
54,Devonta Freeman,RB,5800,14.04,413.1054131054131,16,17,7.5,0.04,773.3333333333335
55,Aaron Jones,RB,7300,17.59,415.00852757248435,9,18,17.1,0.64,426.90058479532166
56,Derrick Henry,RB,8500,20.380000000000006,417.07556427870463,6,19,8.6,1.0,988.3720930232557
57,Dalvin Cook,RB,8900,21.02,423.40627973358704,4,20,7.3,1.42,1219.178082191781
58,Joe Mixon,RB,6100,14.240000000000002,428.3707865168538,15,21,21.6,0.08,282.4074074074074
59,Royce Freeman,RB,4000,9.29,430.5705059203445,31,22,6.6,0.01,606.0606060606061
60,Jamaal Williams,RB,4200,9.69,433.43653250774,29,23,4.3,0.06,976.7441860465117
61,Austin Ekeler,RB,6700,15.170000000000005,441.66117336849027,13,24,13.1,0.49,511.45038167938935
62,LeSean McCoy,RB,4400,9.89,444.89383215369065,26,25,1.6,0.16,2750.0
63,Adrian Peterson,RB,4400,9.79,449.438202247191,28,26,18.1,0.34,243.09392265193367
64,Nick Chubb,RB,7900,17.249999999999996,457.97101449275374,10,27,26.8,0.55,294.7761194029851
65,Tarik Cohen,RB,4800,10.46,458.89101338432124,25,28,15.5,0.09,309.67741935483866
66,Ronald Jones II,RB,4600,9.81,468.90927624872575,27,29,5.9,0.17,779.6610169491523
67,David Montgomery,RB,5500,11.7,470.0854700854702,23,30,5.9,0.11,932.2033898305084
68,J.D. McKissic,RB,3300,6.98,472.77936962750715,40,31,2.9,0.35,1137.9310344827584
69,Josh Jacobs,RB,7000,14.68,476.8392370572207,14,32,12.9,0.31,542.6356589147287
70,Kareem Hunt,RB,6300,13.13,479.8172124904798,20,33,15.6,0.61,403.8461538461538
71,Rex Burkhead,RB,3100,6.370000000000001,486.65620094191513,43,34,13.9,0.03,223.0215827338129
72,Bo Scarbrough,RB,4000,7.820000000000001,511.5089514066496,35,35,0.0,0.0,9999.0
73,Carlos Hyde,RB,4500,8.690000000000001,517.8365937859609,33,36,19.4,0.33,231.95876288659798
74,Jalen Richard,RB,3700,7.0600000000000005,524.0793201133146,39,37,0.0,0.0,9999.0
75,Matt Breida,RB,4100,7.770000000000001,527.6705276705277,36,38,2.7,0.03,1518.5185185185185
76,Ty Johnson,RB,3000,5.6400000000000015,531.9148936170212,45,39,5.0,0.6,600.0
77,Sony Michel,RB,5100,8.74,583.5240274599543,32,40,11.3,0.08,451.32743362831854
78,Peyton Barber,RB,4400,6.9700000000000015,631.2769010043041,41,41,6.0,0.01,733.3333333333335
79,Myles Gaskin,RB,3200,5.0,640.0,50,42,0.0,0.0,9999.0
80,Tevin Coleman,RB,4000,6.200000000000001,645.1612903225805,44,43,4.0,0.03,1000.0
81,David Johnson,RB,4500,6.93,649.3506493506493,42,44,0.6,0.01,9999.0
82,DeAndre Washington,RB,4700,7.09,662.9055007052186,38,45,4.2,0.15,1119.047619047619
83,Damien Williams,RB,4800,7.200000000000001,666.6666666666665,37,46,0.0,0.0,9999.0
84,Brian Hill,RB,3500,5.1000000000000005,686.2745098039215,49,47,0.0,0.0,9999.0
85,Giovani Bernard,RB,3800,5.4300000000000015,699.8158379373848,47,48,0.0,0.0,9999.0
86,Dion Lewis,RB,3700,5.23,707.4569789674953,48,49,9.1,0.03,406.5934065934066
87,Darwin Thompson,RB,4100,5.6000000000000005,732.1428571428571,46,50,4.9,0.01,836.734693877551
88,Dare Ogunbowale,RB,3400,4.6400000000000015,732.7586206896551,51,51,0.0,0.0,9999.0
89,C.J. Prosise,RB,3700,4.1400000000000015,893.7198067632851,52,52,3.5,0.01,1057.142857142857
90,Javorius Allen,RB,3000,3.34,898.2035928143712,56,53,0.0,0.0,9999.0
91,Ameer Abdullah,RB,3000,3.29,911.854103343465,57,54,2.5,0.01,1200.0
92,Ryquell Armstead,RB,3800,4.130000000000001,920.096852300242,53,55,0.0,0.0,9999.0
93,Kyle Juszczyk,RB,3000,3.18,943.3962264150942,58,56,0.0,0.0,9999.0
94,Chase Edmonds,RB,3600,3.78,952.3809523809523,54,57,0.0,0.0,9999.0
95,Spencer Ware,RB,3100,3.03,1023.1023102310228,59,58,5.5,0.01,563.6363636363636
96,Brandon Bolden,RB,3100,2.8,1107.142857142857,61,59,0.0,0.0,9999.0
97,Tony Pollard,RB,4300,3.63,1184.5730027548213,55,60,0.0,0.0,9999.0
98,Mike Boone,RB,3000,2.49,1204.8192771084334,62,61,0.0,0.0,9999.0
99,Jay Ajayi,RB,3000,2.16,1388.888888888889,63,62,0.0,0.01,9999.0
100,Malcolm Brown,RB,4200,2.890000000000001,1453.2871972318335,60,63,0.0,0.01,9999.0
101,Wendell Smallwood,RB,3000,1.58,1898.7341772151892,64,64,0.0,0.0,9999.0
102,Justin Jackson,RB,3000,1.4900000000000002,2013.4228187919464,66,65,0.0,0.0,9999.0
103,Alec Ingold,RB,3000,1.32,2272.7272727272725,69,66,0.0,0.0,9999.0
104,Jeff Wilson,RB,3000,1.2700000000000002,2362.2047244094488,70,67,0.0,0.0,9999.0
