,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
148,Olabisi Johnson,WR,4100,7.670000000000001,534.5501955671447,43,44,9.5,0.08,431.5789473684209
149,Chris Conley,WR,4400,8.14,540.5405405405405,39,45,11.8,0.12,372.88135593220335
150,Isaiah McKenzie,WR,3000,5.5500000000000025,540.5405405405405,53,46,6.1,0.03,491.80327868852464
151,Chester Rogers,WR,4000,7.35,544.21768707483,45,47,3.9,0.06,1025.6410256410256
152,Robby Anderson,WR,4900,8.8,556.8181818181819,36,48,7.6,0.27,644.7368421052632
153,Marvin Jones,WR,5900,10.19,578.999018645731,29,49,19.9,0.31,296.4824120603016
154,Phillip Dorsett,WR,4200,7.15,587.4125874125874,46,50,12.3,0.68,341.4634146341463
155,Albert Wilson,WR,3400,5.69,597.5395430579965,52,51,5.6,0.03,607.1428571428573
156,Marcus Johnson,WR,3100,4.869999999999999,636.5503080082136,56,52,13.8,0.02,224.63768115942028
157,Zay Jones,WR,3300,5.18,637.0656370656371,55,53,5.5,0.03,600.0
158,Jarius Wright,WR,3000,4.630000000000001,647.9481641468683,58,54,2.9,0.01,1034.4827586206898
159,Breshad Perriman,WR,3200,4.7200000000000015,677.9661016949152,57,55,3.0,0.03,1066.6666666666667
160,Willie Snead,WR,3900,5.73,680.6282722513089,51,56,3.3,0.19,1181.818181818182
161,Tre'Quan Smith,WR,3800,5.53,687.1609403254973,54,57,0.0,0.4,9999.0
162,Mack Hollins,WR,3200,4.5600000000000005,701.7543859649122,59,58,0.0,0.03,9999.0
163,DeAndre Carter,WR,3000,4.24,707.5471698113208,62,59,0.0,0.01,9999.0
164,N'Keal Harry,WR,3000,3.81,787.4015748031495,67,60,4.8,0.08,625.0
165,Justin Hardy,WR,3000,3.73,804.289544235925,69,61,3.4,0.0,882.3529411764706
166,Emmanuel Sanders,WR,7200,8.91,808.0808080808081,35,62,6.3,0.07,1142.857142857143
167,DaeSean Hamilton,WR,3600,4.43,812.6410835214447,60,63,0.0,0.01,9999.0
168,KeeSean Johnson,WR,3500,4.1400000000000015,845.4106280193236,63,64,2.4,0.01,1458.3333333333335
169,Andy Isabella,WR,3500,4.12,849.5145631067961,64,65,1.6,0.1,2187.5
170,Dante Pettis,WR,3400,3.93,865.1399491094148,65,66,0.0,0.01,9999.0
171,Seth Roberts,WR,3000,3.4600000000000004,867.0520231213872,72,67,0.0,0.0,9999.0
172,Christian Blake,WR,3000,3.43,874.6355685131192,73,68,0.0,0.0,9999.0
173,Keelan Cole,WR,3800,4.29,885.7808857808858,61,69,8.1,0.07,469.1358024691358
174,Kelvin Harmon,WR,3000,3.35,895.5223880597015,74,70,10.3,0.01,291.26213592233006
175,Miles Boykin,WR,3500,3.89,899.7429305912598,66,71,0.0,0.05,9999.0
176,Steven Sims,WR,3000,3.0900000000000003,970.8737864077667,76,72,2.6,0.01,1153.8461538461538
177,Laquon Treadwell,WR,3700,3.78,978.8359788359787,68,73,0.0,0.02,9999.0
178,Pharoh Cooper,WR,3000,3.0500000000000003,983.6065573770493,77,74,0.0,0.0,9999.0
179,Robert Foster,WR,3200,3.2500000000000004,984.6153846153844,75,75,0.0,0.01,9999.0
180,Vyncint Smith,WR,3000,3.0000000000000004,1000.0,78,76,0.0,0.0,9999.0
181,Jordan Matthews,WR,3500,3.49,1002.8653295128939,71,77,1.6,0.19,2187.5
182,Marquise Goodwin,WR,3700,3.64,1016.4835164835164,70,78,1.5,0.1,2466.6666666666665
183,Jakobi Meyers,WR,3200,2.6,1230.7692307692307,79,79,1.7,0.03,1882.3529411764707
184,Diontae Spencer,WR,3000,2.3800000000000003,1260.5042016806724,81,80,0.0,0.0,9999.0
185,Keke Coutee,WR,3500,2.56,1367.1875,80,81,5.5,0.43,636.3636363636364
186,Keelan Doss,WR,3000,2.0500000000000003,1463.4146341463413,84,82,0.0,0.0,9999.0
187,Marvin Hall,WR,3100,2.1,1476.1904761904761,83,83,4.9,0.02,632.6530612244898
188,Fred Brown,WR,3200,2.16,1481.4814814814813,82,84,0.0,0.01,9999.0
189,Andre Roberts,WR,3000,2.02,1485.148514851485,86,85,0.0,0.0,9999.0
190,Trent Sherfield,WR,3000,1.99,1507.537688442211,87,86,0.0,0.0,9999.0
191,Tavon Austin,WR,3300,2.04,1617.6470588235293,85,87,0.0,0.08,9999.0
192,Marcell Ateman,WR,3000,1.41,2127.659574468085,88,88,0.0,0.0,9999.0
193,Cedrick Wilson,WR,3000,1.36,2205.8823529411766,89,89,0.0,0.0,9999.0
194,Trevor Davis,WR,3000,1.35,2222.222222222222,90,90,0.0,0.01,9999.0
195,Ashton Dulin,WR,3000,1.34,2238.8059701492534,91,91,0.0,0.0,9999.0
196,Gunner Olszewski,WR,3000,1.26,2380.952380952381,92,92,0.0,0.0,9999.0
197,Krishawn Hogan,WR,3000,1.15,2608.695652173913,93,93,0.0,0.01,9999.0
198,Braxton Berrios,WR,3000,1.08,2777.777777777777,94,94,0.0,0.0,9999.0
199,Richie James,WR,3000,1.02,2941.1764705882347,96,95,0.0,0.0,9999.0
200,Austin Carr,WR,3000,1.01,2970.29702970297,97,96,0.0,0.0,9999.0
201,Justin Watson,WR,3000,1.0,3000.0,98,97,0.0,0.0,9999.0
202,Damiere Byrd,WR,3200,1.05,3047.6190476190477,95,98,0.0,0.0,9999.0
108,Julio Jones,WR,8000,24.08,332.2259136212625,2,1,11.8,66.83,677.9661016949152
109,Michael Thomas,WR,9300,26.77,347.40381023533814,1,2,29.1,21.72,319.5876288659793
110,Mike Evans,WR,7300,20.81,350.79288803459883,3,3,9.0,19.4,811.1111111111112
