,Unnamed: 0,Unnamed: 0.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
106,106,106,QB,Chad Henne (16006132) (LOCKED),Chad Henne,16006132.0,QB,4400.0,Final,KC,3.5
107,107,107,QB,Jeff Driskel (16006131) (LOCKED),Jeff Driskel,16006131.0,QB,4400.0,Final,DEN,10.69
108,108,108,RB,Gus Edwards (16006222) (LOCKED),Gus Edwards,16006222.0,RB/FLEX,4400.0,Final,BAL,8.28
109,109,109,WR,Chad Hansen (16006418) (LOCKED),Chad Hansen,16006418.0,WR/FLEX,4400.0,Final,HOU,11.5
110,110,110,QB,Will Grier (16006134) (LOCKED),Will Grier,16006134.0,QB,4300.0,Final,CAR,0.0
111,111,111,QB,Jake Luton (16006133) (LOCKED),Jake Luton,16006133.0,QB,4300.0,Final,JAC,12.42
112,112,112,WR,Michael Pittman Jr. (16006420) (LOCKED),Michael Pittman,16006420.0,WR/FLEX,4200.0,Final,IND,8.08
113,113,113,TE,Eric Ebron (16006646) (LOCKED),Eric Ebron,16006646.0,TE/FLEX,4200.0,Final,PIT,9.52
114,114,114,QB,Matt Schaub (16006136) (LOCKED),Matt Schaub,16006136.0,QB,4200.0,Final,ATL,-0.4
115,115,115,RB,Darrel Williams (16006232) (LOCKED),Darrel Williams,16006232.0,RB/FLEX,4200.0,Final,KC,4.44
116,116,116,RB,Phillip Lindsay (16006228) (LOCKED),Phillip Lindsay,16006228.0,RB/FLEX,4200.0,Final,DEN,6.27
117,117,117,WR,Tim Patrick (16006422) (LOCKED),Tim Patrick,16006422.0,WR/FLEX,4200.0,Final,DEN,11.69
118,118,118,RB,Frank Gore (16006230) (LOCKED),Frank Gore,16006230.0,RB/FLEX,4200.0,Final,NYJ,6.75
119,119,119,RB,Mark Ingram II (16006226) (LOCKED),Mark Ingram,16006226.0,RB/FLEX,4200.0,Final,BAL,5.44
120,120,120,QB,AJ McCarron (16006135) (LOCKED),AJ McCarron,16006135.0,QB,4200.0,Final,HOU,0.0
121,121,121,QB,Mason Rudolph (16006141) (LOCKED),Mason Rudolph,16006141.0,QB,4100.0,Final,PIT,-0.11
122,122,122,QB,Jacoby Brissett (16006142) (LOCKED),Jacoby Brissett,16006142.0,QB,4100.0,Final,IND,2.03
123,123,123,RB,Anthony McFarland Jr. (16006234) (LOCKED),Anthony McFarland,16006234.0,RB/FLEX,4100.0,Final,PIT,2.1
124,124,124,QB,Tyler Huntley (16006138) (LOCKED),Tyler Huntley,16006138.0,QB,4100.0,Final,BAL,2.08
125,125,125,QB,Robert Griffin III (16006139) (LOCKED),Robert Griffin,16006139.0,QB,4100.0,Final,BAL,1.4
