"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"David Moore","SEA","1.3","17.6","0.1","0.1","0.7","0.0","0.0","2.4"
"Josh Reynolds","LAR","1.4","19.8","0.0","0.2","0.6","0.0","0.0","2.3"
"Mohamed Sanu","NE","1.8","21.9","0.0","0.1","0.8","0.0","0.0","2.3"
"Miles Boykin","BAL","1.5","17.5","0.1","0.2","1.4","0.0","0.0","2.3"
"Seth Roberts","BAL","1.5","17.1","0.1","0.0","0.0","0.0","0.0","2.1"
"Cordarrelle Patterson","CHI","1.0","8.0","0.0","1.3","7.7","0.1","0.0","2.1"
"Jake Kumerow","GB","1.2","16.4","0.1","0.0","0.0","0.0","0.0","2.0"
"Tevin Jones","PIT","1.3","16.2","0.1","0.0","0.3","0.0","0.0","2.0"
"Marvin Hall","DET","0.8","16.6","0.0","0.1","0.7","0.0","0.0","2.0"
"Vyncint Smith","NYJ","1.1","13.2","0.1","0.1","1.6","0.0","0.0","2.0"
"Marquise Goodwin","SF","0.9","14.5","0.1","0.1","0.7","0.0","0.0","1.9"
"Tavon Austin","DAL","1.0","9.7","0.0","0.9","5.8","0.0","0.1","1.9"
"Marcus Johnson","IND","1.4","15.3","0.0","0.2","1.3","0.0","0.0","1.9"
"Jordan Matthews","PHI","1.3","16.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Dante Pettis","SF","1.0","11.7","0.1","0.0","0.3","0.0","0.0","1.8"
"Devin Funchess","IND","1.1","11.8","0.1","0.0","0.0","0.0","0.0","1.8"
"DaeSean Hamilton","DEN","1.4","14.0","0.0","0.1","0.8","0.0","0.0","1.8"
"Stanley Morgan Jr.","CIN","1.2","14.2","0.0","0.0","0.1","0.0","0.0","1.7"
"Robert Foster","BUF","0.7","11.2","0.1","0.2","1.5","0.0","0.0","1.6"
"Christian Blake","ATL","1.1","12.8","0.1","0.0","0.1","0.0","0.0","1.6"
"J.J. Arcega-Whiteside","PHI","1.3","14.3","0.0","0.0","0.2","0.0","0.0","1.5"
"Steven Sims","WAS","1.1","11.9","0.0","0.3","2.0","0.0","0.0","1.5"
"Kalif Raymond","TEN","1.0","11.4","0.1","0.0","0.2","0.0","0.0","1.4"
"Keke Coutee","HOU","0.9","9.7","0.1","0.2","1.1","0.0","0.0","1.4"
"Bennie Fowler","NYG","1.0","12.6","0.0","0.0","0.1","0.0","0.0","1.4"
"Keelan Doss","OAK","0.9","11.6","0.0","0.0","0.2","0.0","0.0","1.4"
"Deon Cain","PIT","0.8","10.2","0.1","0.1","0.5","0.0","0.0","1.4"
"Cody Latimer","NYG","0.8","11.4","0.0","0.0","0.0","0.0","0.0","1.3"
"Mack Hollins","PHI","0.7","9.9","0.0","0.1","0.7","0.0","0.0","1.2"
"Malik Turner","SEA","0.8","9.8","0.0","0.1","0.4","0.0","0.0","1.2"
"Richie James","SF","0.7","11.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Damion Willis","CIN","0.9","10.3","0.0","0.1","0.9","0.0","0.0","1.1"
"DeAndre Carter","HOU","0.9","9.9","0.0","0.0","0.1","0.0","0.0","1.1"
"Diontae Spencer","DEN","0.8","8.9","0.0","0.2","1.2","0.0","0.0","1.0"
"Trevor Davis","OAK","0.4","5.3","0.0","0.1","1.7","0.0","0.0","0.9"
"Andre Roberts","BUF","0.6","7.1","0.0","0.3","1.8","0.0","0.0","0.9"
"Khadarel Hodge","CLE","0.6","7.0","0.0","0.1","0.5","0.0","0.0","0.9"
"Keith Kirkwood","NO","0.4","5.8","0.1","0.0","0.1","0.0","0.0","0.9"
"Damion Ratley","CLE","0.5","5.4","0.0","0.1","0.4","0.0","0.0","0.8"
"Javon Wims","CHI","0.6","6.4","0.0","0.1","0.6","0.0","0.0","0.8"
"Fred Brown","DEN","0.6","7.4","0.0","0.0","0.1","0.0","0.0","0.7"
"DeAndrew White","CAR","0.5","5.6","0.0","0.1","0.7","0.0","0.0","0.6"
"Marcell Ateman","OAK","0.5","5.2","0.0","0.1","0.6","0.0","0.0","0.6"
"Jaron Brown","SEA","0.5","5.9","0.0","0.0","0.1","0.0","0.0","0.6"
"Donte Moncrief","CAR","0.4","5.3","0.0","0.0","0.0","0.0","0.0","0.6"
"Cody Core","NYG","0.3","4.1","0.0","0.1","1.1","0.0","0.0","0.5"
"Krishawn Hogan","NO","0.4","4.6","0.0","0.0","0.1","0.0","0.0","0.5"
"De'Anthony Thomas","BAL","0.2","2.5","0.0","0.2","1.0","0.0","0.0","0.5"
"Mike Thomas","LAR","0.3","3.3","0.0","0.1","0.4","0.0","0.0","0.4"
"Ashton Dulin","IND","0.3","3.8","0.0","0.0","0.1","0.0","0.0","0.4"
"Justin Watson","TB","0.3","2.7","0.0","0.0","0.3","0.0","0.0","0.3"
"Olamide Zaccheaus","ATL","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.3"
"JoJo Natson","LAR","0.2","2.1","0.0","0.1","0.5","0.0","0.0","0.3"
"Braxton Berrios","NYJ","0.3","2.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Cedrick Wilson","DAL","0.2","2.1","0.0","0.0","0.1","0.0","0.0","0.2"
"Chris Moore","BAL","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Cam Sims","WAS","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Austin Carr","NO","0.1","1.4","0.0","0.0","0.2","0.0","0.0","0.2"
"Isaiah Ford","MIA","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"C.J. Board","JAC","0.1","1.2","0.0","0.0","0.0","0.0","0.0","0.1"
"Brandon Powell","ATL","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Greg Dortch","CAR","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Ventell Bryant","DAL","0.0","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Juwann Winfree","DEN","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Michael Walker","JAC","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Matt Slater","NE","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Noah Brown","DAL","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Riley Ridley","CHI","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Josh Bellamy","NYJ","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Ryan Grant","GB","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Devin Smith","DAL","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"Taywan Taylor","CLE","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Ervin","JAC","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Zylstra","CAR","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Hollister","TEN","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
