,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
64,John Brown,LV,56.0,43.0,47.9,750.0,597.0,651.0,4.3,3.0,3.7,1.0,0.0,0.3,4.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,0.6,99.4,77.7,86.3,draft,2021,WR
65,Sterling Shepard,NYG,73.0,45.0,60.5,660.0,555.0,616.1,4.0,3.0,3.5,9.0,0.0,3.3,76.0,0.0,25.8,1.0,0.0,0.3,0.2,1.0,0.6,103.6,73.5,85.8,draft,2021,WR
66,Tre'Quan Smith,NO,52.5,34.0,40.1,803.2,478.0,576.3,6.0,3.6,4.6,1.0,0.0,0.3,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.1,108.4,71.9,85.0,draft,2021,WR
67,Christian Kirk,ARI,64.0,33.4,47.7,745.0,412.9,578.9,6.0,2.9,4.1,8.0,2.2,3.9,60.0,12.0,26.8,0.1,0.0,0.0,0.1,1.0,0.6,116.5,60.1,84.2,draft,2021,WR
68,AJ Green,ARI,59.0,45.0,50.4,717.0,524.0,616.4,4.4,3.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.7,95.7,70.4,83.5,draft,2021,WR
69,Rashod Bateman,BAL,55.0,28.0,43.5,683.0,337.0,575.0,5.0,3.0,4.3,3.0,0.0,0.8,19.0,0.0,4.8,0.0,0.0,0.0,0.3,1.0,0.6,100.2,51.7,82.7,draft,2021,WR
70,Elijah Moore,NYJ,64.0,30.0,51.6,780.9,356.0,624.5,4.5,2.0,3.4,2.1,0.0,0.7,12.7,0.0,4.2,0.1,0.0,0.0,0.4,0.4,0.4,104.4,47.6,82.4,draft,2021,WR
71,Marquez Valdes-Scantling,GB,36.0,30.9,32.7,691.0,486.2,564.1,5.0,3.0,3.9,4.0,0.0,2.5,24.1,0.0,14.8,0.1,0.0,0.0,0.2,1.0,0.6,100.3,66.2,80.4,draft,2021,WR
72,Jamison Crowder,NYJ,66.0,39.4,52.3,698.0,459.6,581.9,6.0,2.8,3.8,1.0,0.0,0.3,13.0,0.0,3.3,0.0,0.0,0.0,0.3,1.0,0.6,107.1,62.3,79.9,draft,2021,WR
73,Rondale Moore,ARI,55.2,30.0,48.6,767.0,313.0,600.8,4.0,2.0,3.3,2.3,0.0,1.1,13.0,0.0,6.2,0.1,0.0,0.0,0.3,2.0,1.2,102.0,43.3,78.2,draft,2021,WR
74,Randall Cobb,HOU,56.3,37.0,49.0,694.0,456.0,604.9,3.6,2.0,2.9,2.0,0.0,0.5,5.0,0.0,1.3,0.0,0.0,0.0,0.4,1.0,0.7,87.9,57.6,76.7,draft,2021,WR
75,Parris Campbell,IND,51.7,28.0,43.6,622.4,344.0,527.3,4.6,2.0,3.4,13.8,0.0,4.9,87.3,0.0,30.7,0.5,0.0,0.2,0.4,0.4,0.4,95.2,46.4,76.6,draft,2021,WR
76,DeSean Jackson,LAR,43.0,27.8,34.3,655.0,455.0,544.6,5.0,2.1,3.5,9.3,0.0,2.8,47.3,0.0,17.1,0.4,0.0,0.1,0.1,1.0,0.6,97.6,58.9,76.6,draft,2021,WR
77,Darius Slayton,NYG,46.0,30.3,41.6,623.0,429.4,563.9,5.0,2.6,3.4,2.1,0.0,0.8,10.5,0.0,2.6,0.1,0.0,0.0,0.2,1.0,0.6,91.2,59.9,76.2,draft,2021,WR
78,Terrace Marshall,CAR,54.6,25.0,44.7,825.0,317.0,582.6,4.2,2.0,3.2,2.0,0.0,0.5,11.0,0.0,2.8,0.0,0.0,0.0,0.3,2.0,1.1,107.6,43.7,75.5,draft,2021,WR
79,Jakobi Meyers,NE,63.3,29.0,45.4,796.1,375.0,575.3,2.8,2.0,2.5,2.3,0.0,0.8,12.1,0.0,4.0,0.1,0.0,0.0,0.4,0.4,0.4,98.1,49.5,72.3,draft,2021,WR
80,Hunter Renfrow,LV,55.0,27.9,44.4,650.0,319.6,535.8,4.0,1.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,89.0,42.1,69.7,draft,2021,WR
81,Chris Conley,HOU,42.0,29.0,35.9,684.0,388.0,506.4,4.0,2.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,92.4,50.8,67.0,draft,2021,WR
82,Keelan Cole,NYJ,53.8,27.0,37.5,652.7,386.0,477.6,4.0,2.0,3.0,1.0,0.0,0.3,5.0,0.0,1.3,0.0,0.0,0.0,0.0,0.5,0.2,87.2,50.6,65.4,draft,2021,WR
83,Josh Reynolds,TEN,44.8,24.6,36.1,607.0,312.7,469.6,3.9,2.5,3.1,3.0,0.0,0.8,18.0,0.0,4.5,0.0,0.0,0.0,0.2,1.0,0.6,80.5,45.9,64.8,draft,2021,WR
84,Denzel Mims,NYJ,50.0,28.9,37.3,746.0,409.0,525.1,2.9,2.0,2.2,1.0,0.0,0.3,3.0,0.0,0.8,0.0,0.0,0.0,0.2,1.0,0.6,86.9,52.4,64.6,draft,2021,WR
85,Van Jefferson,LAR,49.0,25.0,38.0,584.6,321.0,455.3,5.0,1.0,3.2,4.6,0.0,1.4,23.1,0.0,5.8,0.2,0.0,0.0,0.2,1.0,0.6,86.5,38.1,64.3,draft,2021,WR
86,Amon-Ra St,DET,49.1,31.0,39.7,580.0,406.0,507.2,3.0,2.0,2.3,2.0,0.0,0.5,9.0,0.0,2.3,0.0,0.0,0.0,0.2,1.0,0.6,73.8,52.6,63.7,draft,2021,WR
87,Sammy Watkins,BAL,45.0,24.9,34.9,583.0,312.8,430.8,4.0,1.9,3.3,3.0,0.0,0.8,30.0,0.0,7.5,0.0,0.0,0.0,0.2,1.0,0.6,85.3,42.1,62.7,draft,2021,WR
88,Rashard Higgins,CLE,35.3,19.4,29.7,564.0,287.0,446.9,4.0,1.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,80.4,39.5,61.3,draft,2021,WR
89,James Washington,PIT,50.0,22.6,32.4,685.0,325.2,442.3,4.0,2.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.6,92.5,44.4,60.2,draft,2021,WR
