,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
122,Kylin Hill,GB,34.0,6.1,20.0,136.0,25.2,80.6,0.2,0.0,0.1,3.0,0.0,1.5,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,3.7,9.7,draft,2021,RB
123,CJ Ham,MIN,4.8,4.7,4.7,20.0,19.9,20.0,0.2,0.2,0.2,7.8,4.0,5.9,67.4,32.5,50.0,0.4,0.2,0.3,0.1,0.1,0.1,11.7,7.4,9.6,draft,2021,RB
124,Chris Evans,CIN,22.0,7.8,14.9,82.0,32.6,57.3,0.3,0.0,0.1,4.5,0.0,2.3,34.0,0.0,17.0,0.2,0.0,0.1,0.1,0.1,0.1,9.0,8.2,8.6,draft,2021,RB
125,Theo Riddick,LV,13.1,0.9,7.3,54.1,3.6,30.9,0.4,0.0,0.1,11.0,0.9,5.4,88.0,6.1,42.3,0.2,0.0,0.1,0.1,0.1,0.1,12.3,1.4,8.2,draft,2021,RB
126,Demetric Felton,CLE,9.3,9.3,9.3,39.5,39.5,39.5,0.4,0.4,0.4,1.9,1.9,1.9,15.2,15.2,15.2,0.1,0.1,0.1,0.0,0.0,0.0,8.1,8.1,8.2,draft,2021,RB
127,Reggie Bonnafon,CAR,24.0,4.5,12.0,85.0,19.6,45.5,0.2,0.0,0.1,5.0,0.8,3.4,38.0,5.1,25.2,0.1,0.0,0.0,0.1,0.1,0.1,12.3,3.4,8.1,draft,2021,RB
128,Alex Armah,NO,4.6,4.3,4.4,19.5,17.6,18.5,0.2,0.1,0.2,4.9,4.0,4.5,37.0,35.6,36.3,0.3,0.2,0.2,0.1,0.1,0.1,8.2,6.9,7.7,draft,2021,RB
129,Andrew Beck,DEN,4.9,4.9,4.9,21.2,21.2,21.2,0.2,0.2,0.2,4.1,4.1,4.1,28.0,28.0,28.0,0.2,0.2,0.2,0.0,0.0,0.0,6.8,6.8,7.0,draft,2021,RB
130,Khalil Herbert,CHI,8.3,8.3,8.3,34.5,34.5,34.5,0.2,0.2,0.2,2.0,2.0,2.0,16.3,16.3,16.3,0.1,0.1,0.1,0.0,0.0,0.0,6.8,6.8,6.9,draft,2021,RB
131,Gerrid Doaks,MIA,8.1,8.1,8.1,33.3,33.3,33.3,0.2,0.2,0.2,2.2,2.2,2.2,15.9,15.9,15.9,0.1,0.1,0.1,0.0,0.0,0.0,6.7,6.7,6.6,draft,2021,RB
132,Buddy Howell,HOU,4.0,4.0,4.0,17.1,17.1,17.1,0.2,0.2,0.2,4.1,4.1,4.1,28.2,28.2,28.2,0.2,0.2,0.2,0.0,0.0,0.0,6.3,6.3,6.5,draft,2021,RB
133,Michael Warren,DET,7.7,7.7,7.7,31.4,31.4,31.4,0.2,0.2,0.2,2.3,2.3,2.3,16.7,16.7,16.7,0.1,0.1,0.1,0.0,0.0,0.0,6.2,6.2,6.2,draft,2021,RB
134,Nick Bellore,SEA,1.6,1.6,1.6,6.6,6.6,6.6,0.0,0.0,0.0,4.4,4.4,4.4,32.0,32.0,32.0,0.3,0.3,0.3,0.0,0.0,0.0,5.8,5.8,5.8,draft,2021,RB
135,Gabe Nabers,LAC,4.6,2.1,3.3,20.0,8.9,14.4,0.2,0.1,0.1,4.5,1.8,3.2,37.6,12.7,25.1,0.2,0.2,0.2,0.1,0.1,0.1,6.3,4.7,5.8,draft,2021,RB
136,Keith Smith,ATL,4.4,2.1,3.2,18.6,8.8,13.7,0.2,0.1,0.1,4.5,2.3,3.4,37.1,15.0,26.1,0.2,0.1,0.2,0.1,0.1,0.1,5.7,4.6,5.5,draft,2021,RB
