"Player","Team","REC","YDS","TDS","FL","FPTS"
"Blake Jarwin","DAL","1.9","21.1","0.1","0.0","2.7"
"Foster Moreau","OAK","1.9","18.3","0.1","0.0","2.4"
"Hayden Hurst","BAL","2.0","19.4","0.1","0.0","2.4"
"Nick O'Leary","JAC","1.9","20.3","0.1","0.0","2.3"
"Kaden Smith","NYG","1.9","20.8","0.1","0.0","2.3"
"Jeff Heuerman","DEN","1.7","18.1","0.1","0.0","2.3"
"Nick Boyle","BAL","1.8","18.0","0.1","0.0","2.3"
"Logan Thomas","DET","1.9","18.8","0.1","0.0","2.2"
"C.J. Uzomah","CIN","1.8","17.3","0.1","0.0","2.1"
"Demetrius Harris","CLE","1.3","15.0","0.1","0.0","2.1"
"Jaeden Graham","ATL","1.5","16.8","0.1","0.0","2.1"
"Ross Travis","IND","1.6","16.6","0.1","0.0","2.0"
"Jesse James","DET","1.8","18.2","0.0","0.0","2.0"
"Jesper Horsted","CHI","1.5","14.1","0.1","0.0","1.9"
"Marcedes Lewis","GB","1.2","13.2","0.1","0.0","1.9"
"Matt LaCosse","NE","1.3","14.1","0.1","0.0","1.8"
"Charles Clay","ARI","1.4","14.6","0.1","0.0","1.8"
"Ricky Seals-Jones","CLE","0.9","12.4","0.1","0.0","1.7"
"Josh Hill","NO","1.4","12.2","0.1","0.0","1.5"
"Maxx Williams","ARI","1.1","10.9","0.1","0.0","1.4"
"J.P. Holtz","CHI","1.0","10.1","0.1","0.0","1.3"
"Nick Vannett","PIT","1.0","10.5","0.0","0.0","1.3"
"Mo Alie-Cox","IND","0.8","10.5","0.0","0.0","1.3"
"Daniel Brown","NYJ","0.6","6.7","0.1","0.0","1.2"
"Luke Willson","SEA","1.1","12.1","0.0","0.0","1.2"
"Clive Walford","MIA","0.9","10.0","0.0","0.0","1.2"
"Tyler Kroft","BUF","0.9","10.4","0.0","0.0","1.2"
"Chris Manhertz","CAR","0.7","8.7","0.0","0.0","1.1"
"Andrew Beck","DEN","0.9","9.7","0.0","0.0","1.1"
"Durham Smythe","MIA","0.9","9.5","0.0","0.0","1.0"
"Robert Tonyan","GB","0.8","8.8","0.0","0.0","0.9"
"Derek Carrier","OAK","0.7","7.5","0.0","0.0","0.9"
"Ryan Izzo","NE","0.6","7.0","0.0","0.0","0.9"
"Stephen Carlson","CLE","0.5","5.8","0.0","0.0","0.9"
"Johnny Mundt","LAR","0.7","7.1","0.0","0.0","0.8"
"Tanner Hudson","TB","0.6","6.7","0.0","0.0","0.8"
"Luke Stocker","ATL","0.6","5.4","0.0","0.0","0.8"
"Garrett Celek","SF","0.3","4.5","0.1","0.0","0.7"
"Ben Braunecker","CHI","0.7","7.4","0.0","0.0","0.7"
"Hale Hentges","WAS","0.7","7.1","0.0","0.0","0.7"
"Deon Yelder","KC","0.5","5.3","0.0","0.0","0.7"
"Zach Gentry","PIT","0.7","7.2","0.0","0.0","0.7"
"Tyler Conklin","MIN","0.6","6.4","0.0","0.0","0.7"
"Jace Sternberger","GB","0.5","5.1","0.0","0.0","0.7"
"Virgil Green","LAC","0.6","6.6","0.0","0.0","0.7"
"Ross Dwelley","SF","0.6","5.5","0.0","0.0","0.7"
"Troy Fumagalli","DEN","0.5","5.0","0.0","0.0","0.7"
"Blake Bell","KC","0.5","5.7","0.0","0.0","0.6"
"Ben Koyack","JAC","0.6","6.0","0.0","0.0","0.6"
"Jordan Thomas","HOU","0.4","4.6","0.0","0.0","0.6"
"Jordan Leggett","TB","0.3","3.4","0.0","0.0","0.6"
"Trevon Wesco","NYJ","0.4","4.1","0.0","0.0","0.6"
"Scott Simonson","NYG","0.4","4.3","0.0","0.0","0.6"
"MyCole Pruitt","TEN","0.5","5.4","0.0","0.0","0.6"
"Lee Smith","BUF","0.4","4.1","0.0","0.0","0.5"
"Darnell Dinkins","NO","0.5","5.4","0.0","0.0","0.5"
"Rhett Ellison","NYG","0.4","4.7","0.0","0.0","0.5"
"Tommy Sweeney","BUF","0.5","5.0","0.0","0.0","0.5"
"Joshua Perkins","PHI","0.3","3.6","0.0","0.0","0.5"
"Jason Vander Laan","NO","0.4","4.7","0.0","0.0","0.5"
"Pharaoh Brown","CLE","0.4","4.5","0.0","0.0","0.5"
"Lance Kendricks","LAC","0.3","4.0","0.0","0.0","0.4"
"Dan Arnold","ARI","0.4","4.1","0.0","0.0","0.4"
"Seth DeValve","JAC","0.4","4.0","0.0","0.0","0.4"
"Dalton Schultz","DAL","0.4","3.9","0.0","0.0","0.4"
"Levine Toilolo","SF","0.4","3.9","0.0","0.0","0.4"
"Tyrone Swoopes","SEA","0.4","3.6","0.0","0.0","0.4"
"Isaac Nauta","DET","0.3","3.4","0.0","0.0","0.3"
"Charles Jones","JAC","0.3","3.0","0.0","0.0","0.3"
"Darrell Daniels","ARI","0.2","2.1","0.0","0.0","0.2"
"Kendall Blanton","LAR","0.2","2.0","0.0","0.0","0.2"
"Carson Meier","ATL","0.2","1.8","0.0","0.0","0.2"
"Mason Schreck","CIN","0.1","1.0","0.0","0.0","0.1"
"Geoff Swaim","JAC","0.1","0.6","0.0","0.0","0.1"
"Cethan Carter","CIN","0.1","0.5","0.0","0.0","0.0"
""
""
