,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
67,Sony Michel,LAC,5.7,2.0,3.8,23.7,9.0,15.6,0.2,0.0,0.1,0.8,0.0,0.5,6.3,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.4,2.5,2,2022,RB
68,Boston Scott,PHI,4.0,2.0,3.3,19.1,9.0,14.5,0.3,0.0,0.1,0.6,0.0,0.3,4.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.4,2.5,2,2022,RB
69,Matt Breida,NYG,6.9,2.0,3.8,24.9,8.0,15.6,0.1,0.0,0.1,1.0,0.0,0.6,8.2,0.0,4.8,0.1,0.0,0.0,0.0,0.2,0.1,4.4,1.7,2.4,2,2022,RB
70,Darrel Williams,ARI,2.0,2.0,2.0,12.7,6.6,9.7,0.1,0.1,0.1,1.2,0.3,0.8,9.7,2.1,5.9,0.1,0.0,0.0,0.0,0.0,0.0,3.1,1.5,2.3,2,2022,RB
71,James Cook,BUF,4.0,1.7,2.9,19.3,7.0,12.5,0.2,0.0,0.1,1.0,0.0,0.6,10.0,0.0,4.9,0.2,0.0,0.1,0.0,0.5,0.2,4.6,1.2,2.2,2,2022,RB
72,Pierre Strong,NE,2.0,1.3,1.7,14.5,5.5,9.8,0.1,0.0,0.1,1.5,0.2,0.8,11.0,1.9,5.7,0.1,0.0,0.0,0.0,0.0,0.0,3.5,0.9,2.2,2,2022,RB
73,Ty Johnson,NYJ,0.0,0.0,0.0,8.8,8.8,8.8,0.1,0.1,0.1,0.8,0.8,0.8,6.9,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2,2022,RB
74,Chuba Hubbard,CAR,4.7,1.8,2.6,17.4,6.0,10.7,0.1,0.0,0.1,1.0,0.2,0.8,9.0,1.8,5.8,0.1,0.0,0.0,0.0,0.1,0.0,3.5,1.4,2.1,2,2022,RB
75,Myles Gaskin,MIA,0.0,0.0,0.0,12.2,12.2,12.2,0.1,0.1,0.1,0.8,0.8,0.8,5.2,5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2,2022,RB
76,Jordan Mason,SF,4.5,1.9,3.0,18.6,5.0,10.8,0.2,0.0,0.1,1.0,0.2,0.6,8.0,1.5,5.1,0.0,0.0,0.0,0.0,0.1,0.0,3.8,1.1,2.0,2,2022,RB
