,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
147,Rashard Higgins,CAR,0.8,0.1,0.4,9.2,2.0,5.6,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.8,2,2022,WR
148,Lil'Jordan Humphrey,NE,0.6,0.1,0.4,9.5,1.0,5.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.7,2,2022,WR
149,Justin Watson,KC,0.7,0.2,0.4,8.2,2.0,5.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.7,2,2022,WR
150,Juwann Winfree,GB,0.7,0.7,0.7,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,2,2022,WR
151,Penny Hart,SEA,0.8,0.3,0.5,8.4,3.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.7,2,2022,WR
152,Jeff Smith,NYJ,0.4,0.3,0.3,5.7,5.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.6,2,2022,WR
153,Jalen Reagor,MIN,0.7,0.2,0.5,5.8,2.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.6,2,2022,WR
154,Tim Jones,JAC,0.4,0.2,0.3,5.6,3.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.5,2,2022,WR
155,Brandon Powell,LAR,0.4,0.3,0.4,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.5,2,2022,WR
156,Jalen Nailor,MIN,0.4,0.3,0.4,5.2,2.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.5,2,2022,WR
157,Dareke Young,SEA,0.4,0.2,0.3,5.3,2.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.5,2,2022,WR
158,Gunner Olszewski,PIT,0.3,0.2,0.3,4.8,2.0,3.4,0.0,0.0,0.0,0.1,0.1,0.1,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.5,2,2022,WR
159,Matthew Slater,NE,0.1,0.1,0.1,3.9,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2,2022,WR
160,Malik Turner,SF,0.3,0.3,0.3,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,2,2022,WR
161,Amari Rodgers,GB,0.3,0.0,0.2,4.4,0.0,2.5,0.0,0.0,0.0,0.3,0.0,0.2,2.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.4,2,2022,WR
162,Dyami Brown,WAS,0.2,0.1,0.1,4.4,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,2,2022,WR
163,Stanley Morgan,CIN,0.5,0.2,0.3,4.0,1.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.3,2,2022,WR
164,Jason Moore,LAC,0.1,0.1,0.1,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,2,2022,WR
165,Jalen Virgil,DEN,0.3,0.3,0.3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,2,2022,WR
166,Tyron Johnson,LV,0.2,0.1,0.1,2.8,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,2,2022,WR
167,Ihmir Smith-Marsette,CHI,0.3,0.0,0.1,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.3,2,2022,WR
168,Trent Taylor,CIN,0.2,0.1,0.1,2.4,2.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,2,2022,WR
169,Britain Covey,PHI,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,2,2022,WR
170,River Cracraft,MIA,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,2,2022,WR
171,Jared Bernhardt,ATL,0.2,0.2,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,2,2022,WR
172,Terrace Marshall,CAR,0.2,0.2,0.2,2.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,2,2022,WR
