Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
41,2339295868,aviddevil,0,186.24,QB Justin Herbert RB Dalvin Cook RB Derrick Henry WR Keenan Allen WR Christian Kirk WR Tim Patrick FLEX David Moore TE Hayden Hurst DST Giants ,,Antonio Gibson,RB,5.22%,13.5
43,2339692849,botmager,0,186.22,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Keenan Allen WR Jerry Jeudy FLEX Darnell Mooney TE Noah Fant DST Vikings ,,Clyde Edwards-Helaire,RB,5.01%,12.4
44,2332136829,kphilly05,0,186.1,QB Josh Allen RB Dalvin Cook RB Chase Edmonds WR Terry McLaurin FLEX Justin Jefferson WR Christian Kirk WR James Washington TE Hayden Hurst DST Dolphins ,,Justin Jefferson,WR,4.92%,9.4
45,2338219038,Mtndewaddict,0,186,QB Josh Allen RB Dalvin Cook RB Justin Jackson WR Stefon Diggs WR Will Fuller V FLEX Christian Kirk WR Diontae Johnson TE Will Dissly DST Giants ,,John Brown,WR,4.80%,17.9
46,2337064058,jslow63,0,185.74,QB Ben Roethlisberger RB Dalvin Cook RB DeeJay Dallas WR DK Metcalf WR Terry McLaurin WR Mike Williams FLEX KJ Hamler TE Mike Gesicki DST Titans ,,DJ Moore,WR,4.44%,3.8
47,2339896657,bombpop,0,185.4,QB Kirk Cousins RB Dalvin Cook RB D'Andre Swift WR Julio Jones FLEX Tyreek Hill WR DeVante Parker WR Jerry Jeudy TE Greg Olsen DST Giants ,,David Montgomery,RB,4.44%,6.2
48,2335829150,brewz,0,185.34,QB Justin Herbert RB Dalvin Cook RB Chase Edmonds WR Keenan Allen WR JuJu Smith-Schuster FLEX Curtis Samuel WR Darnell Mooney TE Hayden Hurst DST Falcons ,,Evan Engram,TE,4.28%,15.8
49,2338285717,benatmsu,0,185.2,QB Russell Wilson RB Dalvin Cook RB D'Andre Swift WR A.J. Brown WR Terry McLaurin FLEX Curtis Samuel WR Darnell Mooney TE Noah Fant DST Texans ,,Danny Amendola,WR,4.14%,14.9
50,2338412751,responsibleruss,0,185.02,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Brandin Cooks WR Marvin Jones Jr. WR Danny Amendola TE Hayden Hurst DST Cardinals ,,Marvin Hall,FLEX,4.07%,5.8
51,2337686601,TubaDeus,0,184.74,QB Justin Herbert RB Dalvin Cook RB Wayne Gallman Jr. WR Julio Jones FLEX Keenan Allen WR Sterling Shepard WR David Moore TE T.J. Hockenson DST Giants ,,Mike Williams,WR,3.88%,13.1
52,2339320089,masso18,0,184.54,QB Justin Herbert RB Dalvin Cook FLEX Josh Jacobs RB DeeJay Dallas WR Stefon Diggs WR Sterling Shepard WR Jerry Jeudy TE Hayden Hurst DST Giants ,,Logan Thomas,TE,3.78%,5.8
53,2334281561,NJansky,0,184.5,QB Josh Allen RB Dalvin Cook RB Josh Jacobs FLEX Tyler Lockett WR Terry McLaurin WR Jerry Jeudy WR Darnell Mooney TE Hayden Hurst DST Falcons ,,Titans ,DST,3.69%,14
54,2334964292,iMorlez22,0,184.4,QB Derek Carr RB Dalvin Cook RB James Robinson FLEX Terry McLaurin WR Marvin Jones Jr. WR Diontae Johnson WR Jerry Jeudy TE T.J. Hockenson DST Giants ,,T.J. Hockenson,TE,3.65%,14.9
55,2339213246,CurvinTheGr8,0,184.16,QB Matt Ryan RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Keenan Allen WR Jerry Jeudy FLEX Demarcus Robinson TE Hayden Hurst DST Vikings ,,DeAndre Hopkins,FLEX,3.58%,6
56,2329917140,megatran01,0,184.02,QB Kyler Murray RB Dalvin Cook RB Clyde Edwards-Helaire FLEX David Johnson WR Christian Kirk WR Marvin Jones Jr. WR Jerry Jeudy TE Evan Engram DST Cardinals ,,Jonnu Smith,TE,3.41%,11.2
57,2332055616,GetMoney1976,0,183.98,QB Patrick Mahomes RB Dalvin Cook RB DeeJay Dallas WR Julio Jones WR Christian Kirk WR Marvin Jones Jr. FLEX David Moore TE T.J. Hockenson DST Dolphins ,,Christian Kirk,WR,3.41%,26.3
58,2334277440,busterboys11,0,183.92,QB Drew Lock RB Dalvin Cook RB Chase Edmonds FLEX Justin Jackson WR Stefon Diggs WR Julio Jones WR Jerry Jeudy TE Irv Smith Jr. DST Giants ,,Derrick Henry,RB,3.18%,6.8
