Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
12,2330373766,Slamhound,0,203.92,QB Kyler Murray RB Dalvin Cook RB Josh Jacobs FLEX Terry McLaurin WR Christian Kirk WR Diontae Johnson WR Darnell Mooney TE Evan Engram DST Giants ,,Jerry Jeudy,WR,17.57%,28.5
13,2339351022,ryangreen1311,0,203.62,QB Kyler Murray RB Dalvin Cook RB Todd Gurley II WR Tyreek Hill WR Chase Claypool WR Marvin Jones Jr. FLEX David Moore TE Jonnu Smith DST Giants ,,DeeJay Dallas,FLEX,17.26%,11.9
14,2337664754,cpascopr,0,202.42,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook FLEX Antonio Gibson WR Julio Jones WR Jerry Jeudy WR KJ Hamler TE Noah Fant DST Vikings ,,Stefon Diggs,WR,16.82%,23.8
15,2338839481,Fabiii90,0,202.32,QB Drew Lock RB Dalvin Cook RB Phillip Lindsay WR DK Metcalf WR Tyreek Hill WR Jerry Jeudy FLEX Gabriel Davis TE Darren Waller DST Broncos ,,Hayden Hurst,TE,16.40%,13.2
16,2332295015,cdinern08,0,201.52,QB Drew Lock RB Zack Moss RB J.D. McKissic WR DK Metcalf WR Keenan Allen FLEX Terry McLaurin WR Jerry Jeudy TE Darren Waller DST Ravens ,,Giants ,DST,16.11%,13
17,2339118815,Patriotsgoingfor5,0,201.34,QB Ben Roethlisberger RB Christian McCaffrey RB Dalvin Cook WR Brandin Cooks WR DJ Chark Jr. WR Mike Williams TE Evan Engram FLEX Hayden Hurst DST Raiders ,,Marcus Johnson,WR,14.63%,3.4
18,2336916618,Bgski,0,200.84,QB Deshaun Watson RB Christian McCaffrey RB Dalvin Cook WR Terry McLaurin FLEX Brandin Cooks WR Jerry Jeudy WR Darnell Mooney TE Albert Okwuegbunam DST Giants ,,Falcons ,DST,14.47%,3
19,2331973908,WhiteWalkers,0,200.62,QB Kyler Murray RB Dalvin Cook RB Wayne Gallman Jr. WR Will Fuller V WR Chase Claypool WR Curtis Samuel TE Noah Fant FLEX Eric Ebron DST Ravens ,,Cardinals ,DST,13.84%,2
20,2330431860,billbillbillbillbill,0,200.38,QB Patrick Mahomes RB Dalvin Cook RB James Robinson FLEX Chase Claypool WR Curtis Samuel WR KJ Hamler WR Demarcus Robinson TE Travis Kelce DST Dolphins ,,Keenan Allen,WR,13.58%,28.3
21,2338453892,CleeroyBrown,0,200.32,QB Drew Lock RB Christian McCaffrey FLEX Dalvin Cook RB DeeJay Dallas WR Jerry Jeudy WR Russell Gage WR Curtis Samuel TE Noah Fant DST Steelers ,,Deshaun Watson,QB,13.57%,24.24
22,2339117521,AValenzuela27,0,200.1,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas WR Julio Jones WR DJ Chark Jr. FLEX Marvin Jones Jr. WR Jerry Jeudy TE Mark Andrews DST Giants ,,Justin Herbert,QB,13.14%,26.44
23,2331568863,Fish157,0,200.02,QB Kyler Murray RB Dalvin Cook RB Chase Edmonds WR Tyler Lockett WR Christian Kirk FLEX DJ Chark Jr. WR Jerry Jeudy TE Albert Okwuegbunam DST Vikings ,,Brandin Cooks,WR,12.99%,17.3
24,2339101164,redhead47,0,198.9,QB Russell Wilson RB Christian McCaffrey RB Dalvin Cook WR DK Metcalf FLEX Jerry Jeudy WR Darnell Mooney WR David Moore TE Logan Thomas DST Falcons ,,Darnell Mooney,WR,10.88%,9.3
25,2333944844,jandy75,0,198.78,QB Patrick Mahomes RB Dalvin Cook RB Wayne Gallman Jr. WR Chase Claypool FLEX Marvin Jones Jr. WR Curtis Samuel WR Willie Snead IV TE Travis Kelce DST Giants ,,Hunter Henry,TE,9.88%,7.3
26,2338472870,Pr4mr22,0,197.78,QB Patrick Mahomes RB Dalvin Cook RB Derrick Henry WR Tyreek Hill WR Jerry Jeudy FLEX Curtis Samuel WR Marvin Hall TE Albert Okwuegbunam DST Giants ,,Steelers ,DST,9.76%,7
27,2336850234,domieboy,0,197.6,QB Josh Allen RB Dalvin Cook RB Clyde Edwards-Helaire WR Stefon Diggs FLEX Christian Kirk WR Mike Williams WR Darnell Mooney TE Jimmy Graham DST Titans ,,Diontae Johnson,WR,9.74%,14.1
28,2338960865,Junka44,0,197.28,QB Patrick Mahomes RB Dalvin Cook FLEX Le'Veon Bell RB J.D. McKissic WR Tyreek Hill WR A.J. Brown WR Jerry Jeudy TE Kyle Rudolph DST Dolphins ,,Chase Claypool,FLEX,9.57%,15.3
29,2338065425,steveco1981,0,197,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook WR Stefon Diggs WR Preston Williams WR Anthony Miller TE Eric Ebron FLEX Evan Engram DST Cowboys ,,Vikings ,DST,9.37%,9
29,2337483512,phillyincanada1,0,197,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas WR Stefon Diggs WR Julio Jones WR Jerry Jeudy FLEX Danny Amendola TE Hunter Henry DST Giants ,,James Robinson,RB,9.22%,15.9
31,2337009789,Spider9809,0,196.5,QB Josh Allen RB Dalvin Cook FLEX Chase Edmonds RB Justin Jackson WR Julio Jones WR DJ Chark Jr. WR Jerry Jeudy TE Irv Smith Jr. DST Giants ,,WAS Football Team ,DST,8.69%,5
32,2338458293,GGram15,0,196.34,QB Justin Herbert RB Christian McCaffrey RB Dalvin Cook FLEX Melvin Gordon III WR Tyreek Hill WR Nelson Agholor WR David Moore TE Jonnu Smith DST Vikings ,,Darren Waller,TE,7.80%,13.2
33,2336713925,mshaas,0,195.76,QB Jake Luton RB Christian McCaffrey RB Dalvin Cook WR Julio Jones WR DJ Chark Jr. WR Marvin Jones Jr. FLEX Noah Fant TE Jonnu Smith DST Bills ,,Clyde Edwards-Helaire,RB,7.72%,12.4
34,2335170929,natedogg762,0,195.52,QB Drew Lock RB Dalvin Cook RB DeeJay Dallas WR Stefon Diggs FLEX JuJu Smith-Schuster WR Mike Williams WR Jerry Jeudy TE Noah Fant DST Ravens ,,Texans ,DST,7.70%,4
35,2329866392,OneManWolfPack86,0,195.44,QB Justin Herbert RB Dalvin Cook RB DeeJay Dallas FLEX Keenan Allen WR Chase Claypool WR Christian Kirk WR Curtis Samuel TE Hayden Hurst DST Cardinals ,,Josh Jacobs,RB,7.13%,13.8
36,2339485697,aria1exander,0,195.4,QB Josh Allen RB Dalvin Cook RB David Johnson WR DK Metcalf WR Stefon Diggs WR DJ Chark Jr. FLEX Marcus Johnson TE Irv Smith Jr. DST Giants ,,Justin Jefferson,WR,7.05%,9.4
37,2337991895,DdAc1x1,0,195.32,QB Kyler Murray RB Dalvin Cook RB Chase Edmonds FLEX D'Andre Swift WR Christian Kirk WR Diontae Johnson WR Jerry Jeudy TE Evan Engram DST Cardinals ,,Drew Lock,QB,7.02%,33.22
38,2336847064,jerseylighting1996,0,195.26,QB Matt Ryan RB Dalvin Cook RB Antonio Gibson WR Julio Jones FLEX Christian Kirk WR Jerry Jeudy WR Curtis Samuel TE Eric Ebron DST Texans ,,Derek Carr,QB,6.72%,15
39,2331278047,ibleedorange1,0,195.12,QB Drew Lock RB Dalvin Cook RB James Conner WR Marvin Jones Jr. FLEX Diontae Johnson WR Jerry Jeudy WR John Brown TE Travis Kelce DST Giants ,,Cole Beasley,FLEX,6.64%,6.9
40,2338890987,steelman1874,0,194.94,QB Ben Roethlisberger RB Dalvin Cook RB J.K. Dobbins WR Tyreek Hill FLEX Terry McLaurin WR Christian Kirk WR Diontae Johnson TE Jonnu Smith DST Jaguars ,,Terry McLaurin,WR,6.63%,27.5
41,2335591992,wjbaker21,0,194.92,QB Drew Lock FLEX Dalvin Cook RB Clyde Edwards-Helaire RB DeeJay Dallas WR Stefon Diggs WR Keenan Allen WR Jerry Jeudy TE Trey Burton DST Giants ,,Antonio Gibson,RB,6.29%,13.5
42,2338635589,bresnick_82,0,194.9,QB Russell Wilson RB Dalvin Cook RB D'Andre Swift WR DK Metcalf WR Terry McLaurin WR Jerry Jeudy FLEX Danny Amendola TE Eric Ebron DST Cowboys ,,Evan Engram,TE,6.20%,15.8
42,2338664430,booph50,0,194.9,QB Josh Allen RB Dalvin Cook RB Melvin Gordon III WR Christian Kirk FLEX DeVante Parker WR DJ Chark Jr. WR John Brown TE Evan Engram DST Steelers ,,Sterling Shepard,WR,5.87%,11.7
44,2338172856,Chips95,0,194.82,QB Kyler Murray RB Dalvin Cook RB Justin Jackson WR Stefon Diggs WR Jerry Jeudy WR Curtis Samuel FLEX Gabriel Davis TE Darren Fells DST Steelers ,,Mike Williams,WR,5.83%,13.1
45,2336358069,KingChip13,0,194.8,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook WR Keenan Allen WR Diontae Johnson FLEX John Brown WR Darnell Mooney TE Jordan Akins DST Falcons ,,John Brown,WR,5.64%,17.9
46,2336541169,Alidoisw,0,194.42,QB Garrett Gilbert RB Christian McCaffrey FLEX Dalvin Cook RB Derrick Henry WR Jerry Jeudy WR Curtis Samuel WR Darnell Mooney TE Jonnu Smith DST Ravens ,,DeAndre Hopkins,WR,5.12%,6
47,2335486455,BigBallin34,0,194.4,QB Josh Allen RB Dalvin Cook RB James Robinson WR Stefon Diggs WR Jerry Jeudy WR John Brown FLEX Darnell Mooney TE Evan Engram DST Cardinals ,,T.J. Hockenson,TE,5.09%,14.9
48,2331982701,melloyollo,0,194.22,QB Drew Lock RB Christian McCaffrey FLEX Dalvin Cook RB Justin Jackson WR Brandin Cooks WR DJ Chark Jr. WR Marvin Jones Jr. TE Noah Fant DST Giants ,,Christian Kirk,WR,5.04%,26.3
49,2337511396,Phluffh3ad,0,194.2,QB Josh Allen RB Dalvin Cook RB Chase Edmonds FLEX D'Andre Swift WR Stefon Diggs WR DJ Chark Jr. WR Jerry Jeudy TE Will Dissly DST Cardinals ,,Jonnu Smith,TE,4.95%,11.2
49,2338065370,Seahawker17,0,194.2,QB Josh Allen RB Dalvin Cook RB Antonio Gibson FLEX DeeJay Dallas WR Stefon Diggs WR Jerry Jeudy WR David Moore TE Jonnu Smith DST Steelers ,,Irv Smith Jr.,TE,4.93%,15
49,2339829657,smcguire,0,194.2,QB Teddy Bridgewater RB Christian McCaffrey RB D'Andre Swift WR JuJu Smith-Schuster WR Amari Cooper FLEX Christian Kirk WR Jerry Jeudy TE Jimmy Graham DST Steelers ,,David Montgomery,FLEX,4.74%,6.2
52,2332667174,Twotoetimmy,0,194.04,QB Justin Herbert RB Dalvin Cook RB James Conner WR DK Metcalf WR Terry McLaurin WR Curtis Samuel FLEX David Moore TE Jonnu Smith DST Vikings ,,Ben Roethlisberger,QB,4.45%,28.04
53,2335813286,gduelfer,0,194,QB Josh Allen RB Dalvin Cook RB Chase Edmonds FLEX Josh Jacobs WR Chase Claypool WR Brandin Cooks WR DJ Chark Jr. TE Irv Smith Jr. DST Vikings ,,Logan Thomas,TE,4.32%,5.8
53,2339793473,Byebye14,0,194,QB Josh Allen RB Dalvin Cook RB David Johnson WR Terry McLaurin WR JuJu Smith-Schuster WR DeVante Parker FLEX Curtis Samuel TE Eric Ebron DST Vikings ,,Cowboys ,DST,4.25%,2
55,2331506050,granoale,0,193.84,QB Justin Herbert RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Julio Jones WR Danny Amendola WR Gabriel Davis TE Irv Smith Jr. DST Giants ,,Derrick Henry,RB,4.21%,6.8
56,2334429113,splank8,0,193.7,QB Josh Allen RB Todd Gurley II RB David Montgomery WR Stefon Diggs WR Christian Kirk WR Curtis Samuel FLEX Travis Kelce TE Hayden Hurst DST Giants ,,JuJu Smith-Schuster,WR,4.12%,21.3
57,2337708810,DGoober1,0,193.48,QB Patrick Mahomes RB Dalvin Cook FLEX DeeJay Dallas RB Wayne Gallman Jr. WR Christian Kirk WR Marvin Jones Jr. WR Darnell Mooney TE Travis Kelce DST Giants ,,Marvin Hall,FLEX,4.11%,5.8
58,2338604659,joevirg7,0,193.44,QB Ben Roethlisberger RB Dalvin Cook RB Melvin Gordon III WR Tyreek Hill FLEX Chase Claypool WR DeVante Parker WR Jerry Jeudy TE Hayden Hurst DST Titans ,,Melvin Gordon III,RB,4.05%,3.7
59,2335340665,thebigroon,0,193.36,QB Jake Luton RB Dalvin Cook RB James Robinson FLEX Chase Edmonds WR DJ Chark Jr. WR Jerry Jeudy WR Gabriel Davis TE T.J. Hockenson DST Steelers ,,DK Metcalf,WR,4.02%,26.8
60,2339765857,buddymartens,0,193.24,QB Justin Herbert RB Dalvin Cook RB Wayne Gallman Jr. WR Stefon Diggs WR Marvin Jones Jr. WR Diontae Johnson FLEX Curtis Samuel TE T.J. Hockenson DST Ravens ,,Danny Amendola,WR,3.92%,14.9
61,2336660977,Brentm52,0,193.1,QB Josh Allen RB Dalvin Cook RB David Johnson WR Julio Jones FLEX Keenan Allen WR Jerry Jeudy WR Danny Amendola TE Hayden Hurst DST Vikings ,,D'Andre Swift,RB,3.87%,12.7
62,2338223123,bship,0,193,QB Josh Allen RB Dalvin Cook RB Antonio Gibson FLEX DeeJay Dallas WR Stefon Diggs WR Jerry Jeudy WR John Brown TE Jonnu Smith DST WAS Football Team ,,Will Fuller V,WR,3.84%,24
63,2336485293,RWT1,0,192.9,QB Josh Allen RB Dalvin Cook RB Justin Jackson WR Stefon Diggs WR Christian Kirk WR Marvin Jones Jr. FLEX Jerry Jeudy TE Evan Engram DST Texans ,,Adam Thielen,WR,3.80%,5.8
64,2335203592,mwalters503,0,192.72,QB Kyler Murray RB Dalvin Cook RB Chase Edmonds WR Justin Jefferson WR Christian Kirk FLEX Randall Cobb WR Curtis Samuel TE Hayden Hurst DST Giants ,,Travis Kelce,TE,3.68%,28.9
65,2332185604,mattimil44,0,192.62,QB Drew Lock RB Dalvin Cook RB Chase Edmonds FLEX Josh Jacobs WR Julio Jones WR Jerry Jeudy WR John Brown TE Evan Engram DST Giants ,,J.K. Dobbins,RB,3.66%,5.5
66,2339468867,nkd89,0,192.6,QB Josh Allen RB Dalvin Cook RB Josh Jacobs WR Stefon Diggs WR Tyler Lockett FLEX Jerry Jeudy WR Darnell Mooney TE Irv Smith Jr. DST Giants ,,Titans ,DST,3.62%,14
67,2334996587,magioia2,0,192.4,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Marvin Jones Jr. WR Sterling Shepard WR Darnell Mooney TE Irv Smith Jr. DST Giants ,,DJ Moore,WR,3.59%,3.8
67,2337596685,Boc964,0,192.4,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Marvin Jones Jr. WR Sterling Shepard WR Darnell Mooney TE Irv Smith Jr. DST Giants ,,Allen Robinson II,WR,3.41%,15.1
67,2337942913,SportsDoug,0,192.4,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Marvin Jones Jr. WR Sterling Shepard WR Darnell Mooney TE Irv Smith Jr. DST Giants ,,Tyreek Hill,WR,3.31%,36.1
67,2339184103,jadel674,0,192.4,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Marvin Jones Jr. WR Sterling Shepard WR Darnell Mooney TE Irv Smith Jr. DST Giants ,,Russell Gage,WR,3.11%,3.1
71,2332612403,afranz4,0,192.32,QB Drew Lock RB Christian McCaffrey FLEX Dalvin Cook RB Justin Jackson WR Stefon Diggs WR Tim Patrick WR Jerry Jeudy TE Trey Burton DST Giants ,,Albert Okwuegbunam,TE,3.03%,1.7
72,2338210480,fishkillthefish,0,192.24,QB Justin Herbert RB Dalvin Cook RB Clyde Edwards-Helaire FLEX JuJu Smith-Schuster WR Brandin Cooks WR Christian Kirk WR Jerry Jeudy TE Evan Engram DST Cardinals ,,Kyler Murray,QB,2.99%,41.92
73,2336852590,mercedes2014,0,192.22,QB Drew Lock RB James Robinson RB Clyde Edwards-Helaire WR Tyreek Hill WR Christian Kirk WR Jerry Jeudy FLEX John Brown TE T.J. Hockenson DST Steelers ,,Patrick Mahomes,QB,2.95%,33.88
74,2338695196,royals1232,0,192.12,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook FLEX Chase Edmonds WR Christian Kirk WR Sterling Shepard WR Darnell Mooney TE Noah Fant DST Giants ,,Matt Ryan,QB,2.95%,23.36
75,2339039213,yungfunky,0,192.1,QB Russell Wilson RB Dalvin Cook RB Duke Johnson WR DK Metcalf WR Terry McLaurin WR Jerry Jeudy FLEX Demarcus Robinson TE Greg Olsen DST Steelers ,,Trey Burton,TE,2.87%,1.6
76,2337075437,ZingerCanGetTheD,0,192.02,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook FLEX J.K. Dobbins WR Tyler Lockett WR Marvin Jones Jr. WR Jerry Jeudy TE Jonnu Smith DST Giants ,,Christian McCaffrey,RB,2.82%,37.1
77,2334518333,Wmills94,0,192,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook WR Stefon Diggs WR Tyler Lockett FLEX KJ Hamler WR Quintez Cephus TE Tyler Eifert DST Giants ,,Mark Andrews,TE,2.56%,5.2
77,2336282618,lilboosie529,0,192,QB Russell Wilson FLEX Christian McCaffrey RB Dalvin Cook RB Chase Edmonds WR Jerry Jeudy WR John Brown WR David Moore TE Greg Olsen DST WAS Football Team ,,Eric Ebron,TE,2.50%,11.2
79,2334206866,kcordella21,0,191.92,QB Kyler Murray RB Dalvin Cook RB James Robinson WR Stefon Diggs WR Marvin Jones Jr. FLEX Jerry Jeudy WR Darnell Mooney TE Irv Smith Jr. DST Cardinals ,,Will Dissly,TE,2.49%,3.6
80,2330986892,Fenix22,0,191.9,QB Josh Allen RB Dalvin Cook RB DeeJay Dallas FLEX Jordan Howard WR Stefon Diggs WR Julio Jones WR Jerry Jeudy TE Hayden Hurst DST Vikings ,,Mecole Hardman,WR,2.48%,7.8
81,2335781448,broker2k1,0,191.84,QB Justin Herbert RB Dalvin Cook RB Zack Moss WR Keenan Allen WR Christian Kirk WR Anthony Miller FLEX KJ Hamler TE Travis Kelce DST Cardinals ,,Demarcus Robinson,WR,2.40%,11.4
82,2335395939,DoubleW720,0,191.82,QB Drew Lock RB Dalvin Cook RB Chase Edmonds FLEX DeeJay Dallas WR Stefon Diggs WR Julio Jones WR Jerry Jeudy TE Irv Smith Jr. DST Vikings ,,Robby Anderson,WR,2.35%,15.3
83,2330133390,muribe13,0,191.7,QB Josh Allen RB Dalvin Cook RB Clyde Edwards-Helaire FLEX Joshua Kelley WR Christian Kirk WR Jerry Jeudy WR John Brown TE Noah Fant DST Steelers ,,Lamar Jackson,QB,2.30%,18.6
84,2330373043,mikeparsons5454,0,191.6,QB Russell Wilson RB Dalvin Cook RB Antonio Gibson WR Stefon Diggs WR DJ Chark Jr. WR Preston Williams FLEX Danny Amendola TE Noah Fant DST Titans ,,DeVante Parker,WR,2.24%,12.4
85,2337573967,leeman26,0,191.52,QB Drew Lock RB Dalvin Cook RB David Johnson WR Julio Jones FLEX Keenan Allen WR Diontae Johnson WR Jerry Jeudy TE Hayden Hurst DST Titans ,,Lions ,DST,2.22%,4
86,2338196353,DropShots,0,191.5,QB Russell Wilson RB Dalvin Cook FLEX Clyde Edwards-Helaire RB Zack Moss WR Keenan Allen WR Jerry Jeudy WR Larry Fitzgerald TE Evan Engram DST Giants ,,Laviska Shenault Jr.,FLEX,2.20%,0.9
87,2338994594,larson00,0,191.4,QB Russell Wilson RB Dalvin Cook RB DeeJay Dallas WR DK Metcalf WR Chase Claypool WR Jerry Jeudy FLEX Curtis Samuel TE Logan Thomas DST Cardinals ,,Randall Cobb,WR,2.15%,5.1
88,2330467749,mwblev0,0,191.32,QB Kyler Murray FLEX Dalvin Cook RB Chase Edmonds RB Zack Moss WR Justin Jefferson WR Christian Kirk WR David Moore TE Evan Engram DST Titans ,,DJ Chark Jr.,WR,2.06%,30.6
89,2334092641,tapout1324,0,191.2,QB Josh Allen RB Dalvin Cook RB Clyde Edwards-Helaire WR Stefon Diggs WR Allen Robinson II WR Jerry Jeudy FLEX Demarcus Robinson TE Logan Thomas DST Giants ,,Jordan Akins,TE,2.02%,3.9
90,2335370635,ryno902,0,191.14,QB Justin Herbert RB Dalvin Cook FLEX J.D. McKissic RB Jordan Howard WR Tyreek Hill WR Keenan Allen WR Diontae Johnson TE T.J. Hockenson DST Jaguars ,,Ravens ,DST,1.98%,14
91,2334513606,jclucy12,0,191.1,QB Josh Allen FLEX Dalvin Cook RB Clyde Edwards-Helaire RB Jordan Howard WR Stefon Diggs WR Christian Kirk WR Marvin Jones Jr. TE Hayden Hurst DST Giants ,,Jordan Howard,RB,1.95%,7.9
92,2335271888,bigjohnb,0,190.92,QB Kyler Murray RB Dalvin Cook RB David Johnson WR Chase Claypool FLEX Brandin Cooks WR Christian Kirk WR Jerry Jeudy TE Evan Engram DST Cardinals ,,Todd Gurley II,RB,1.88%,13.5
93,2338740317,woody5_3,0,190.84,QB Justin Herbert RB Dalvin Cook RB J.K. Dobbins WR Keenan Allen WR DJ Chark Jr. FLEX Darius Slayton WR Curtis Samuel TE Darren Waller DST Giants ,,Corey Davis,WR,1.84%,0
94,2339547312,MillerTime_II,0,190.8,QB Josh Allen RB Dalvin Cook RB Josh Jacobs WR Keenan Allen WR Terry McLaurin FLEX Sterling Shepard WR Darnell Mooney TE Irv Smith Jr. DST Texans ,,Zack Moss,RB,1.84%,12.8
95,2333830508,Gawdfatha77,0,190.74,QB Justin Herbert RB Dalvin Cook RB Todd Gurley II WR Tyreek Hill WR Keenan Allen FLEX Larry Fitzgerald WR KJ Hamler TE Evan Engram DST Bears ,,Curtis Samuel,FLEX,1.82%,29.8
96,2336982463,jayrho,0,190.72,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Keenan Allen WR Marvin Jones Jr. FLEX Jerry Jeudy TE Irv Smith Jr. DST Cardinals ,,David Moore,WR,1.77%,17.1
97,2331728271,GoBlue2106,0,190.68,QB Patrick Mahomes RB Dalvin Cook RB David Montgomery WR Tyreek Hill WR Marvin Jones Jr. FLEX Jerry Jeudy WR Darnell Mooney TE Hayden Hurst DST Dolphins ,,Tony Pollard,RB,1.66%,6.8
98,2339285454,BoKnows1229,0,190.64,QB Deshaun Watson RB Christian McCaffrey RB Dalvin Cook FLEX Salvon Ahmed WR Tyler Lockett WR Will Fuller V WR Olamide Zaccheaus TE Irv Smith Jr. DST Giants ,,Dolphins ,DST,1.60%,8
99,2336495912,kadin214,0,190.62,QB Drew Lock RB Dalvin Cook RB David Johnson FLEX Allen Robinson II WR Terry McLaurin WR Chase Claypool WR Jerry Jeudy TE Hayden Hurst DST Titans ,,Matthew Stafford,QB,1.55%,10.44
100,2330014651,BigRigRyan84,0,190.56,QB Jake Luton RB Dalvin Cook RB James Robinson WR Chase Claypool WR DJ Chark Jr. WR Mike Williams FLEX Curtis Samuel TE Eric Ebron DST Steelers ,,Darius Slayton,WR,1.43%,1.8
101,2338775935,dalstang,0,190.54,QB Deshaun Watson RB Dalvin Cook RB DeeJay Dallas WR Will Fuller V FLEX Terry McLaurin WR Chase Claypool WR Jerry Jeudy TE Jordan Akins DST Giants ,,Darren Fells,TE,1.36%,4.6
102,2329866080,kylorl3,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Hunter Renfrow,WR,1.35%,8
102,2334884416,steemkatz,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Henry Ruggs III,WR,1.35%,1
102,2335917203,Cuztumilly,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Le'Veon Bell,FLEX,1.35%,1.3
102,2336677020,aferrin20,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Tim Patrick,WR,1.34%,12.9
102,2336776930,cherrypicken,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Wayne Gallman Jr.,FLEX,1.33%,14.7
102,2337124625,richardim,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Marquise Brown,WR,1.28%,6.8
102,2338062836,TheSlobGorges,0,190.5,QB Josh Allen FLEX Christian McCaffrey RB Dalvin Cook RB Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,A.J. Brown,WR,1.23%,23.1
