,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
2553,Matt Ryan,Dion Lewis,Ezekiel Elliott,Julio Jones,Tyler Boyd,Michael Crabtree,Eric Ebron,Alvin Kamara,Dallas Cowboys,144.40200000000002,49600
2554,Jimmy Garoppolo,Lamar Miller,Jordan Wilkins,Julio Jones,T.Y. Hilton,Cooper Kupp,Eric Ebron,Alvin Kamara,Dallas Cowboys,144.4,49800
2555,Jimmy Garoppolo,Corey Clement,Dion Lewis,Julio Jones,Tyler Boyd,A.J. Green,Trey Burton,Todd Gurley,Kansas City Chiefs,144.4,49800
2556,Jimmy Garoppolo,Lamar Miller,Alvin Kamara,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Cooper Kupp,Dallas Cowboys,144.4,49800
2557,Deshaun Watson,Corey Clement,Ezekiel Elliott,Julio Jones,Tyler Boyd,Michael Crabtree,Trey Burton,Todd Gurley,Dallas Cowboys,144.39800000000002,50000
2558,Deshaun Watson,Dion Lewis,Lamar Miller,Julio Jones,Devin Funchess,Nelson Agholor,Eric Ebron,Todd Gurley,Arizona Cardinals,144.39800000000002,49600
2559,Deshaun Watson,Dion Lewis,Lamar Miller,Julio Jones,T.Y. Hilton,Corey Davis,Eric Ebron,Alvin Kamara,Dallas Cowboys,144.39800000000002,49700
2560,Drew Brees,Lamar Miller,Todd Gurley,Julio Jones,Demaryius Thomas,Nelson Agholor,Eric Ebron,Trey Burton,Arizona Cardinals,144.39600000000002,49500
2561,Drew Brees,Dion Lewis,Alvin Kamara,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Trey Burton,Dallas Cowboys,144.39600000000002,49700
2562,Drew Brees,Dion Lewis,Lamar Miller,Demaryius Thomas,Michael Thomas,Michael Crabtree,Eric Ebron,Todd Gurley,Arizona Cardinals,144.39600000000002,50000
2563,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Corey Davis,Nelson Agholor,Eric Ebron,Todd Gurley,Arizona Cardinals,144.39400000000003,49700
2564,Cam Newton,Ezekiel Elliott,Todd Gurley,Julio Jones,Tyler Boyd,Michael Crabtree,Eric Ebron,George Kittle,Arizona Cardinals,144.39400000000003,49800
2565,Cam Newton,Dion Lewis,Todd Gurley,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Corey Davis,Dallas Cowboys,144.394,49500
2566,Cam Newton,Dion Lewis,Ezekiel Elliott,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Arizona Cardinals,144.394,50000
2567,Matt Ryan,Dion Lewis,Todd Gurley,Julio Jones,A.J. Green,Corey Davis,Eric Ebron,Devin Funchess,Dallas Cowboys,144.39200000000002,49800
2568,Matt Ryan,Jordan Wilkins,Alvin Kamara,Julio Jones,Demaryius Thomas,Cooper Kupp,Eric Ebron,A.J. Green,Dallas Cowboys,144.39200000000002,50000
2569,Matt Ryan,Corey Clement,Ezekiel Elliott,Julio Jones,Tyler Boyd,Corey Davis,George Kittle,Todd Gurley,Dallas Cowboys,144.39200000000002,49600
2570,Matt Ryan,Jordan Wilkins,Todd Gurley,Julio Jones,Demaryius Thomas,T.Y. Hilton,George Kittle,Cooper Kupp,Dallas Cowboys,144.392,50000
2571,Jimmy Garoppolo,Corey Clement,Dion Lewis,Julio Jones,T.Y. Hilton,Corey Davis,Trey Burton,Todd Gurley,Arizona Cardinals,144.39000000000001,49800
2572,Jimmy Garoppolo,Corey Clement,Lamar Miller,Julio Jones,Michael Crabtree,Nelson Agholor,Eric Ebron,Alvin Kamara,Kansas City Chiefs,144.39000000000001,50000
2573,Jimmy Garoppolo,Lamar Miller,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,George Kittle,Todd Gurley,Kansas City Chiefs,144.39000000000001,50000
2574,Jimmy Garoppolo,Dion Lewis,Alvin Kamara,Julio Jones,Demaryius Thomas,Nelson Agholor,Eric Ebron,George Kittle,Arizona Cardinals,144.39000000000001,50000
2575,Deshaun Watson,Dion Lewis,Todd Gurley,Julio Jones,A.J. Green,Michael Crabtree,Eric Ebron,Trey Burton,Dallas Cowboys,144.38800000000003,49700
2576,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Demaryius Thomas,Devin Funchess,Eric Ebron,George Kittle,Kansas City Chiefs,144.38799999999998,49600
2577,Drew Brees,Lamar Miller,Todd Gurley,Julio Jones,Demaryius Thomas,Corey Davis,Eric Ebron,Nelson Agholor,Dallas Cowboys,144.38600000000002,49800
2578,Drew Brees,Lamar Miller,Jordan Wilkins,Julio Jones,T.Y. Hilton,Cooper Kupp,Eric Ebron,Alvin Kamara,Arizona Cardinals,144.38600000000002,49900
2579,Drew Brees,Lamar Miller,Alvin Kamara,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Cooper Kupp,Arizona Cardinals,144.386,49900
2580,Drew Brees,Dion Lewis,Todd Gurley,Julio Jones,Demaryius Thomas,Devin Funchess,Eric Ebron,Nelson Agholor,Dallas Cowboys,144.386,49900
2581,Drew Brees,Jordan Wilkins,Todd Gurley,Julio Jones,Demaryius Thomas,T.Y. Hilton,Eric Ebron,Michael Crabtree,Kansas City Chiefs,144.38599999999997,49800
