,Player,Salary,Position
203,Josh Oliver,2500.0,TE
204,JP Holtz,2500.0,TE
205,Darion Clark,2500.0,TE
206,Patrick Scales,2500.0,TE
207,Will Dissly,2500.0,TE
208,Colby Parkinson,2500.0,TE
209,Greg Olsen,2500.0,TE
210,Tyler Ott,2500.0,TE
211,Johnny Mundt,2500.0,TE
212,Brycen Hopkins,2500.0,TE
213,Joshua Perkins,2500.0,TE
214,Sean McKeon,2500.0,TE
174,Colin Thompson,2500.0,TE
198,Pharaoh Brown,2500.0,TE
196,Kaden Smith,2500.0,TE
177,Kevin Rader,2500.0,TE
195,Stephen Carlson,2500.0,TE
178,Zach Gentry,2500.0,TE
179,Noah Togiai,2500.0,TE
180,Nick Keizer,2500.0,TE
175,Marcus Baugh,2500.0,TE
182,James Winchester,2500.0,TE
183,Jaeden Graham,2500.0,TE
184,Donald Parham,2500.0,TE
185,Nick Vannett,2500.0,TE
186,Troy Fumagalli,2500.0,TE
187,Albert Okwuegbunam,2500.0,TE
188,Jake Butt,2500.0,TE
189,Austin Fort,2500.0,TE
190,Andrew Beck,2500.0,TE
191,Ryan Griffin,2500.0,TE
192,Trevon Wesco,2500.0,TE
193,Ross Travis,2500.0,TE
194,Harrison Bryant,2500.0,TE
181,Deon Yelder,2500.0,TE
