,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
19670,Baker Mayfield,Kerryon Johnson,Ezekiel Elliott,Adam Thielen,Marvin Jones,DeAndre Hopkins,Kyle Rudolph,Keelan Cole,Carolina Panthers,141.48199999999997,49500
19671,Kirk Cousins,Kerryon Johnson,Todd Gurley,Golden Tate,Willie Snead,DeAndre Hopkins,Eric Ebron,Cole Beasley,Buffalo Bills,141.478,49600
19672,Kirk Cousins,LeSean McCoy,Ezekiel Elliott,Golden Tate,DeAndre Hopkins,Michael Crabtree,David Njoku,Robby Anderson,Buffalo Bills,141.478,49500
19673,Kirk Cousins,Duke Johnson,Bilal Powell,DeAndre Hopkins,Robby Anderson,Kenny Golladay,Eric Ebron,Todd Gurley,Buffalo Bills,141.478,49500
19674,Kirk Cousins,Kerryon Johnson,Todd Gurley,Golden Tate,Willie Snead,DeAndre Hopkins,Kyle Rudolph,Eric Ebron,Buffalo Bills,141.478,49600
19675,Kirk Cousins,Duke Johnson,Todd Gurley,Robby Anderson,Keelan Cole,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Carolina Panthers,141.478,49500
19676,Kirk Cousins,LeSean McCoy,Ezekiel Elliott,Jermaine Kearse,Adam Thielen,Marvin Jones,Eric Ebron,Keelan Cole,Tampa Bay Buccaneers,141.478,50000
19677,Kirk Cousins,Nick Chubb,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Robby Anderson,Kyle Rudolph,Eric Ebron,Tampa Bay Buccaneers,141.478,49700
19678,Kirk Cousins,Nick Chubb,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Cole Beasley,Eric Ebron,Robby Anderson,Tampa Bay Buccaneers,141.478,49700
19679,Kirk Cousins,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,Eric Ebron,Robby Anderson,Carolina Panthers,141.478,49500
19680,Kirk Cousins,Bilal Powell,Ezekiel Elliott,Golden Tate,Adam Thielen,Michael Crabtree,Kyle Rudolph,Keelan Cole,Carolina Panthers,141.47799999999998,49500
19681,Jameis Winston,Bilal Powell,Ezekiel Elliott,Adam Thielen,Robby Anderson,Keelan Cole,Eric Ebron,Kenny Golladay,Tampa Bay Buccaneers,141.47400000000002,50000
19682,Matthew Stafford,Bilal Powell,Todd Gurley,Jermaine Kearse,Adam Thielen,Marvin Jones,Eric Ebron,Keelan Cole,Buffalo Bills,141.47400000000002,49700
19683,Joe Flacco,Todd Gurley,LeSean McCoy,Jermaine Kearse,Marvin Jones,Cole Beasley,Eric Ebron,Ezekiel Elliott,Buffalo Bills,141.47400000000002,49500
19684,Matthew Stafford,Nick Chubb,Todd Gurley,Marvin Jones,Cole Beasley,Kenny Golladay,Eric Ebron,Ezekiel Elliott,Carolina Panthers,141.47400000000002,49700
19685,Matthew Stafford,LeSean McCoy,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Cole Beasley,David Njoku,Robby Anderson,Buffalo Bills,141.47400000000002,49900
19686,Matthew Stafford,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Willie Snead,Kenny Golladay,Eric Ebron,Ezekiel Elliott,Carolina Panthers,141.47400000000002,49900
19687,Matthew Stafford,Nick Chubb,Todd Gurley,Marvin Jones,DeAndre Hopkins,Michael Crabtree,Eric Ebron,Kenny Golladay,Buffalo Bills,141.47400000000002,49800
19688,Matthew Stafford,Todd Gurley,LeSean McCoy,Golden Tate,Marvin Jones,Keelan Cole,David Njoku,Kenny Golladay,Carolina Panthers,141.474,49500
19689,Joe Flacco,LeSean McCoy,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Michael Crabtree,Kyle Rudolph,Cole Beasley,Buffalo Bills,141.474,49800
19690,Matthew Stafford,LeSean McCoy,Ezekiel Elliott,Golden Tate,DeAndre Hopkins,Keelan Cole,David Njoku,Kenny Golladay,Tampa Bay Buccaneers,141.474,49900
19691,Matthew Stafford,Bilal Powell,LeSean McCoy,Adam Thielen,DeAndre Hopkins,Keelan Cole,Kyle Rudolph,Ezekiel Elliott,Carolina Panthers,141.474,49900
19692,Matthew Stafford,Kerryon Johnson,Todd Gurley,Adam Thielen,Willie Snead,Marvin Jones,Kyle Rudolph,Kenny Golladay,Carolina Panthers,141.474,49700
19693,Matthew Stafford,LeSean McCoy,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Robby Anderson,David Njoku,Kyle Rudolph,Buffalo Bills,141.474,49900
19694,Joe Flacco,Todd Gurley,Ezekiel Elliott,DeAndre Hopkins,Cole Beasley,Robby Anderson,David Njoku,Keelan Cole,Buffalo Bills,141.474,49700
19695,Joe Flacco,Todd Gurley,LeSean McCoy,Jermaine Kearse,Adam Thielen,Keelan Cole,Kyle Rudolph,Eric Ebron,Carolina Panthers,141.474,49600
19696,Matthew Stafford,Bilal Powell,Kerryon Johnson,Adam Thielen,Keelan Cole,Kenny Golladay,Kyle Rudolph,Todd Gurley,Tampa Bay Buccaneers,141.474,49700
19697,Joe Flacco,Todd Gurley,Ezekiel Elliott,DeAndre Hopkins,Robby Anderson,Keelan Cole,David Njoku,Kyle Rudolph,Buffalo Bills,141.474,49700
19698,Jameis Winston,Kerryon Johnson,LeSean McCoy,Adam Thielen,Willie Snead,DeAndre Hopkins,Eric Ebron,Kenny Golladay,Carolina Panthers,141.474,49500
19699,Joe Flacco,Todd Gurley,LeSean McCoy,Jermaine Kearse,Adam Thielen,Cole Beasley,Eric Ebron,Keelan Cole,Carolina Panthers,141.474,49600
19700,Joe Flacco,Todd Gurley,Ezekiel Elliott,Marvin Jones,Cole Beasley,Kenny Golladay,David Njoku,Eric Ebron,Buffalo Bills,141.474,50000
19701,Baker Mayfield,Kerryon Johnson,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Cole Beasley,Eric Ebron,Robby Anderson,Buffalo Bills,141.472,50000
19702,Baker Mayfield,Todd Gurley,Ezekiel Elliott,Michael Crabtree,Robby Anderson,Kenny Golladay,David Njoku,Kyle Rudolph,Buffalo Bills,141.472,49700
19703,Baker Mayfield,Bilal Powell,Todd Gurley,Marvin Jones,Keelan Cole,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Tampa Bay Buccaneers,141.472,49600
19704,Baker Mayfield,Todd Gurley,LeSean McCoy,DeAndre Hopkins,Robby Anderson,Keelan Cole,David Njoku,Kenny Golladay,Tampa Bay Buccaneers,141.472,49700
19705,Baker Mayfield,Kerryon Johnson,Ezekiel Elliott,Golden Tate,DeAndre Hopkins,Keelan Cole,Eric Ebron,Kenny Golladay,Tampa Bay Buccaneers,141.472,50000
19706,Baker Mayfield,Todd Gurley,LeSean McCoy,Willie Snead,Robby Anderson,Keelan Cole,Eric Ebron,Ezekiel Elliott,Carolina Panthers,141.472,50000
19707,Baker Mayfield,Bilal Powell,Todd Gurley,Michael Crabtree,Keelan Cole,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Carolina Panthers,141.472,49700
19708,Baker Mayfield,Kerryon Johnson,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Robby Anderson,Kyle Rudolph,Eric Ebron,Buffalo Bills,141.472,50000
19709,Baker Mayfield,Todd Gurley,Ezekiel Elliott,Michael Crabtree,Cole Beasley,Robby Anderson,David Njoku,Kenny Golladay,Buffalo Bills,141.472,49700
19710,Baker Mayfield,Kerryon Johnson,Todd Gurley,Golden Tate,Marvin Jones,Keelan Cole,Eric Ebron,Kenny Golladay,Carolina Panthers,141.47199999999998,49600
19711,Kirk Cousins,Todd Gurley,Ezekiel Elliott,Willie Snead,Michael Crabtree,Cole Beasley,David Njoku,Kenny Golladay,Buffalo Bills,141.46800000000002,49800
19712,Kirk Cousins,Todd Gurley,Ezekiel Elliott,Willie Snead,Michael Crabtree,Kenny Golladay,David Njoku,Kyle Rudolph,Buffalo Bills,141.46800000000002,49800
19713,Kirk Cousins,Bilal Powell,Kerryon Johnson,Adam Thielen,Cole Beasley,Keelan Cole,Eric Ebron,Todd Gurley,Buffalo Bills,141.46800000000002,49700
19714,Kirk Cousins,Bilal Powell,Todd Gurley,Golden Tate,Marvin Jones,Robby Anderson,Eric Ebron,LeSean McCoy,Buffalo Bills,141.46800000000002,49500
19715,Kirk Cousins,Kerryon Johnson,Todd Gurley,Jermaine Kearse,DeAndre Hopkins,Kenny Golladay,David Njoku,Eric Ebron,Buffalo Bills,141.46800000000002,49600
19716,Kirk Cousins,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Robby Anderson,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Tampa Bay Buccaneers,141.46800000000002,49600
19717,Kirk Cousins,Bilal Powell,Ezekiel Elliott,Jermaine Kearse,Golden Tate,DeAndre Hopkins,Eric Ebron,Kenny Golladay,Tampa Bay Buccaneers,141.46800000000002,49800
19718,Kirk Cousins,Todd Gurley,LeSean McCoy,Willie Snead,DeAndre Hopkins,Keelan Cole,David Njoku,Kenny Golladay,Tampa Bay Buccaneers,141.468,49800
19719,Kirk Cousins,LeSean McCoy,Ezekiel Elliott,Golden Tate,DeAndre Hopkins,Keelan Cole,David Njoku,Eric Ebron,Buffalo Bills,141.468,49900
19720,Jameis Winston,LeSean McCoy,Ezekiel Elliott,Jermaine Kearse,Marvin Jones,DeAndre Hopkins,Eric Ebron,Kenny Golladay,Buffalo Bills,141.46400000000003,49600
19721,Jameis Winston,LeSean McCoy,Ezekiel Elliott,Golden Tate,Michael Crabtree,Keelan Cole,Eric Ebron,Kenny Golladay,Buffalo Bills,141.46400000000003,49800
19722,Joe Flacco,LeSean McCoy,Ezekiel Elliott,Golden Tate,DeAndre Hopkins,Keelan Cole,David Njoku,Kenny Golladay,Tampa Bay Buccaneers,141.464,49500
19723,Joe Flacco,Todd Gurley,LeSean McCoy,Golden Tate,Michael Crabtree,Kenny Golladay,Kyle Rudolph,Eric Ebron,Buffalo Bills,141.464,49900
19724,Joe Flacco,LeSean McCoy,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Cole Beasley,David Njoku,Robby Anderson,Buffalo Bills,141.464,49500
19725,Matthew Stafford,Todd Gurley,LeSean McCoy,Golden Tate,Robby Anderson,Kenny Golladay,David Njoku,Eric Ebron,Buffalo Bills,141.464,50000
19726,Joe Flacco,Todd Gurley,LeSean McCoy,Golden Tate,Michael Crabtree,Cole Beasley,Eric Ebron,Kenny Golladay,Buffalo Bills,141.464,49900
