,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
90,Eric Saubert,JAC,0.6,0.6,0.6,6.1,6.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,11,TE
91,Chris Myarick,MIA,0.6,0.6,0.6,6.1,6.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11,TE
92,Noah Togiai,IND,0.7,0.1,0.3,7.4,0.5,3.7,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.1,0.6,11,TE
93,Derek Carrier,LV,0.5,0.1,0.3,4.5,0.5,2.5,0.1,0.0,0.1,0.0,0.0,0.0,1.1,0.1,0.5,11,TE
94,Trevon Wesco,NYJ,0.6,0.2,0.4,6.6,2.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,11,TE
95,Stephen Anderson,LAC,0.7,0.1,0.4,8.2,0.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,11,TE
96,Antony Auclair,TB,0.7,0.1,0.4,6.0,0.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.4,11,TE
97,Sean McKeon,DAL,0.2,0.2,0.2,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11,TE
98,Stephen Carlson,CLE,0.2,0.0,0.1,2.1,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,11,TE
99,Daniel Brown,NYJ,0.1,0.1,0.1,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,11,TE
