"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Sean Mannion","MIN","1.3","0.8","9.3","0.0","0.0","0.3","0.2","0.0","0.0","0.4"
"Jarrett Stidham","NE","4.4","2.4","20.1","0.0","0.2","0.5","0.6","0.0","0.1","0.4"
"Geno Smith","SEA","6.1","3.5","30.8","0.0","0.4","0.4","0.3","0.0","0.1","0.4"
"AJ McCarron","HOU","3.5","2.0","19.1","0.0","0.2","0.2","0.2","0.0","0.1","0.3"
"Cooper Rush","DAL","3.5","2.0","17.8","0.0","0.2","0.3","0.6","0.0","0.1","0.3"
"Garrett Gilbert","CLE","3.4","2.0","18.4","0.0","0.2","0.3","0.3","0.0","0.1","0.3"
"Brett Rypien","DEN","1.0","0.7","7.0","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"David Fales","NYJ","1.1","0.6","7.1","0.1","0.3","0.8","1.3","0.0","0.1","0.1"
""
""
