Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
73,1269810978,Zarbophsky (8/10),0,188.04,QB Mitchell Trubisky FLEX Alvin Kamara RB Aaron Jones RB Jordan Howard WR Julian Edelman WR Josh Gordon WR Allen Robinson II TE Jimmy Graham DST Bears ,,Andrew Luck,QB,2.33%,22.2
74,1268500194,qtpie64 (1/2),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Marlon Mack,RB,2.13%,7.8
74,1268653202,thewayofwade (2/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Andy Dalton,QB,2.09%,8.92
74,1268653221,thewayofwade (3/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Elijah McGuire,RB,2.05%,8.7
74,1268656866,thewayofwade (4/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Quincy Enunwa,WR,1.93%,5.8
74,1268656871,thewayofwade (5/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Danny Amendola,WR,1.90%,14.2
74,1268656882,thewayofwade (6/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Falcons ,DST,1.76%,1
74,1268667210,thewayofwade (8/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Colts ,DST,1.72%,4
74,1268676884,thewayofwade (9/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Leonard Fournette,RB,1.70%,27.9
74,1268687236,thewayofwade (10/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Tre'Quan Smith,WR,1.70%,0
74,1268687238,thewayofwade (11/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,C.J. Uzomah,TE,1.68%,5.3
74,1268687253,thewayofwade (12/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Brandin Cooks,WR,1.67%,29.9
74,1268695938,thewayofwade (15/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Tyler Lockett,WR,1.66%,19.5
74,1268695947,thewayofwade (16/16),0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Russell Wilson,QB,1.59%,27.24
74,1268968611,ddestefano,0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,T.Y. Hilton,WR,1.57%,10.7
74,1269473474,Dimmack,0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Ricky Seals-Jones,TE,1.51%,10.1
74,1269827115,mlischmann,0,187.86,QB Patrick Mahomes FLEX Todd Gurley II RB Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Godwin TE Trey Burton DST Chiefs ,,Chris Godwin,WR,1.42%,20.3
90,1267250625,rockastarr,0,187.82,QB Jared Goff RB Todd Gurley II RB Melvin Gordon III FLEX Leonard Fournette WR Chris Godwin WR John Ross WR Anthony Miller TE Trey Burton DST Bears ,,Jaguars ,DST,1.37%,1
91,1268974862,pickee (2/2),0,187.8,QB Drew Brees RB Melvin Gordon III FLEX Tevin Coleman RB Aaron Jones WR Michael Thomas WR Larry Fitzgerald WR Corey Davis TE Chris Herndon DST Packers ,,Mike Williams,WR,1.32%,0
92,1267472317,gietzen (1/4),0,187.66,QB Patrick Mahomes RB David Johnson FLEX Duke Johnson Jr. RB Dion Lewis WR Davante Adams WR Tyreek Hill WR Corey Davis TE Trey Burton DST Bills ,,Christian Kirk,WR,1.32%,2.8
93,1266712492,bmcnamar2001 (2/2),0,187.36,QB Aaron Rodgers RB David Johnson FLEX Duke Johnson Jr. RB Jordan Howard WR Michael Thomas WR Tyreek Hill WR Corey Davis TE Trey Burton DST Bears ,,Joe Mixon,RB,1.25%,10.5
94,1268411052,Sir_Big_Daddy,0,187,QB Mitchell Trubisky RB Melvin Gordon III RB Kareem Hunt FLEX Aaron Jones WR Mike Evans WR Anthony Miller WR Quincy Enunwa TE Austin Hooper DST Bears ,,Jonnu Smith,TE,1.20%,13.5
95,1267693050,beibey18 (2/20),0,186.94,QB Ryan Fitzpatrick RB Nick Chubb FLEX Aaron Jones RB Dion Lewis WR Michael Thomas WR Jarvis Landry WR Corey Davis TE Travis Kelce DST Packers ,,Josh McCown,QB,1.08%,3.8
95,1267718247,beibey18 (3/20),0,186.94,QB Ryan Fitzpatrick RB Nick Chubb FLEX Aaron Jones RB Dion Lewis WR Michael Thomas WR Jarvis Landry WR Corey Davis TE Travis Kelce DST Packers ,,Bills ,DST,1.06%,11
97,1262314623,jaimeewingfield33,0,186.3,QB Mitchell Trubisky RB Alvin Kamara FLEX Tarik Cohen RB Tevin Coleman WR Tyreek Hill WR Mohamed Sanu WR Doug Baldwin TE Eric Ebron DST Chargers ,,Alex Smith,QB,1.05%,12.72
97,1269303937,mzeng44 (3/3),0,186.3,QB Mitchell Trubisky RB Melvin Gordon III FLEX Marlon Mack RB Aaron Jones WR Mike Evans WR Marquez Valdes-Scantling WR Allen Robinson II TE Trey Burton DST Packers ,,Taylor Gabriel,WR,1.05%,0
97,1269040731,WhoDat117 (2/2),0,186.3,QB Mitchell Trubisky RB Todd Gurley II RB Aaron Jones FLEX Duke Johnson Jr. WR Michael Thomas WR Marquez Valdes-Scantling WR Corey Davis TE Jack Doyle DST Jets ,,Peyton Barber,FLEX,1.05%,7.6
100,1268383160,pjitty (1/3),0,186.1,QB Mitchell Trubisky RB Melvin Gordon III RB Kareem Hunt FLEX Brandin Cooks WR Allen Robinson II WR DeSean Jackson WR Mike Williams TE Eric Ebron DST Colts ,,Tom Brady,QB,1.04%,11.76
101,1265486916,cpopp,0,186,QB Mitchell Trubisky RB David Johnson RB Tarik Cohen WR Tyreek Hill FLEX Jarvis Landry WR Josh Gordon WR Allen Robinson II TE Trey Burton DST Jets ,,Ito Smith,RB,0.98%,6.6
102,1268680220,jcscott16 (9/20),0,185.9,QB Drew Brees RB Leonard Fournette RB Mike Davis WR Julio Jones WR Michael Thomas FLEX Tyreek Hill WR Maurice Harris TE Ricky Seals-Jones DST Falcons ,,Jermaine Kearse,WR,0.95%,3.6
103,1267371636,ShawnD1127,0,185.84,QB Blake Bortles RB Melvin Gordon III FLEX David Johnson RB Tarik Cohen WR Julian Edelman WR Larry Fitzgerald WR Allen Robinson II TE Benjamin Watson DST Bills ,,Allen Robinson II,WR,0.92%,34.3
104,1265624514,runy50,0,185.7,QB Matt Ryan RB Kareem Hunt RB Aaron Jones FLEX LeSean McCoy WR Davante Adams WR Keenan Allen WR Anthony Miller TE Trey Burton DST Bills ,,David Moore,WR,0.84%,2.6
104,1267445594,Osceminolea,0,185.7,QB Drew Brees RB Aaron Jones RB Mike Davis WR Michael Thomas WR Davante Adams WR Cooper Kupp FLEX Marquez Valdes-Scantling TE Austin Hooper DST Packers ,,Jared Cook,TE,0.84%,9.2
106,1269025769,coosaw160 (2/2),0,185.34,QB Drew Brees RB Todd Gurley II RB Aaron Jones FLEX Jordan Howard WR Julian Edelman WR Marvin Jones Jr. WR Allen Robinson II TE Jack Doyle DST Redskins ,,Austin Ekeler,RB,0.84%,1.9
107,1266692269,kyriemeariver (1/20),0,185.3,QB Mitchell Trubisky RB Todd Gurley II FLEX Aaron Jones RB Dion Lewis WR Michael Thomas WR Corey Davis WR Chris Conley TE Travis Kelce DST Rams ,,Josh Doctson,WR,0.82%,14.6
