Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,DeAndre Washington (11573967),DeAndre Washington,11573967,RB/FLEX,3300,LAC@OAK 11/11/2018 04:05PM ET,OAK,1.55
WR,Brandon LaFell (11574201),Brandon LaFell,11574201,WR/FLEX,3300,LAC@OAK 11/11/2018 04:05PM ET,OAK,4.48
RB,Marcus Murphy (11573969),Marcus Murphy,11573969,RB/FLEX,3300,BUF@NYJ 11/11/2018 01:00PM ET,BUF,4.12
WR,Zay Jones (11574203),Zay Jones,11574203,WR/FLEX,3300,BUF@NYJ 11/11/2018 01:00PM ET,BUF,7.21
WR,Damion Ratley (11574205),Damion Ratley,11574205,WR/FLEX,3200,ATL@CLE 11/11/2018 01:00PM ET,CLE,4.37
RB,Kalen Ballage (11573971),Kalen Ballage,11573971,RB/FLEX,3200,MIA@GB 11/11/2018 04:25PM ET,MIA,0.9
RB,Robert Turbin (11573973),Robert Turbin,11573973,RB/FLEX,3200,JAX@IND 11/11/2018 01:00PM ET,IND,0.65
RB,Benny Cunningham (11573975),Benny Cunningham,11573975,RB/FLEX,3200,DET@CHI 11/11/2018 01:00PM ET,CHI,0.34
WR,Chris Conley (11574207),Chris Conley,11574207,WR/FLEX,3200,ARI@KC 11/11/2018 01:00PM ET,KC,4.19
WR,Seth Roberts (11574209),Seth Roberts,11574209,WR/FLEX,3200,LAC@OAK 11/11/2018 04:05PM ET,OAK,6.97
DST,Bills  (11574508),Bills ,11574508,DST,3200,BUF@NYJ 11/11/2018 01:00PM ET,BUF,5.89
WR,Cameron Meredith (11574211),Cameron Meredith,11574211,WR/FLEX,3100,NO@CIN 11/11/2018 01:00PM ET,NO,4.23
WR,Marvin Hall (11574213),Marvin Hall,11574213,WR/FLEX,3100,ATL@CLE 11/11/2018 01:00PM ET,ATL,3.34
DST,Packers  (11574511),Packers ,11574511,DST,3100,MIA@GB 11/11/2018 04:25PM ET,GB,7.12
RB,LeGarrette Blount (11573977),LeGarrette Blount,11573977,RB/FLEX,3100,DET@CHI 11/11/2018 01:00PM ET,DET,5.59
RB,Jacquizz Rodgers (11573979),Jacquizz Rodgers,11573979,RB/FLEX,3100,WAS@TB 11/11/2018 01:00PM ET,TB,3.05
WR,Michael Floyd (11574215),Michael Floyd,11574215,WR/FLEX,3100,WAS@TB 11/11/2018 01:00PM ET,WAS,0.6
WR,Jaron Brown (11574217),Jaron Brown,11574217,WR/FLEX,3100,SEA@LAR 11/11/2018 04:25PM ET,SEA,4.29
WR,Travis Benjamin (11574219),Travis Benjamin,11574219,WR/FLEX,3100,LAC@OAK 11/11/2018 04:05PM ET,LAC,1.58
RB,Trenton Cannon (11573981),Trenton Cannon,11573981,RB/FLEX,3100,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,2.46
WR,Andre Holmes (11574221),Andre Holmes,11574221,WR/FLEX,3100,BUF@NYJ 11/11/2018 01:00PM ET,BUF,2.72
WR,Rishard Matthews (11574223),Rishard Matthews,11574223,WR/FLEX,3100,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,0.82
TE,Chris Herndon (11574353),Chris Herndon,11574353,TE/FLEX,3100,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,6.26
RB,Shane Vereen (11573983),Shane Vereen,11573983,RB/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,NO,0
RB,Zach Line (11573985),Zach Line,11573985,RB/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,NO,1.41
RB,Dwayne Washington (11573987),Dwayne Washington,11573987,RB/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,NO,0.04
WR,Josh Malone (11574225),Josh Malone,11574225,WR/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,CIN,0.31
WR,Cody Core (11574227),Cody Core,11574227,WR/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,CIN,1
WR,Austin Carr (11574229),Austin Carr,11574229,WR/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,NO,1.4
WR,Ted Ginn Jr. (11574231),Ted Ginn Jr.,11574231,WR/FLEX,3000,NO@CIN 11/11/2018 01:00PM ET,NO,10.28
RB,Devonta Freeman (11573989),Devonta Freeman,11573989,RB/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,ATL,7.05
RB,Brian Hill (11573991),Brian Hill,11573991,RB/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,ATL,0
RB,Ricky Ortiz (11573993),Ricky Ortiz,11573993,RB/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,ATL,0.34
RB,Dontrell Hilliard (11573995),Dontrell Hilliard,11573995,RB/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,CLE,0.85
WR,Justin Hardy (11574233),Justin Hardy,11574233,WR/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,ATL,1.51
WR,Russell Gage (11574235),Russell Gage,11574235,WR/FLEX,3000,ATL@CLE 11/11/2018 01:00PM ET,ATL,0.27
