,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
46,Adam Humphries,TEN,4.3,2.6,3.6,47.3,28.9,39.3,0.3,0.0,0.2,0.2,0.0,0.1,1.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7,3.9,4.9,10,WR
47,Nelson Agholor,LV,3.8,2.8,3.3,43.9,30.7,36.6,0.3,0.0,0.2,0.3,0.0,0.2,2.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.5,4.8,10,WR
48,Chris Conley,JAC,4.0,2.9,3.2,55.0,30.1,38.6,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.5,3.5,4.7,10,WR
49,Cole Beasley,BUF,4.0,3.3,3.8,41.3,34.7,38.2,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,4.0,4.7,10,WR
50,Cordarrelle Patterson,CHI,2.2,0.8,1.4,30.5,7.5,16.1,0.2,0.0,0.1,5.8,2.4,4.3,28.2,10.7,22.2,0.1,0.0,0.1,0.0,0.1,0.0,7.7,2.4,4.6,10,WR
51,Keelan Cole,JAC,4.1,2.0,2.9,60.7,25.0,38.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,7.3,2.5,4.5,10,WR
52,Curtis Samuel,CAR,2.7,1.7,2.2,34.2,22.6,29.4,0.3,0.0,0.2,0.7,0.1,0.5,9.1,-0.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.0,4.5,10,WR
53,Zay Jones,LV,3.6,2.5,3.1,43.0,28.9,35.4,0.2,0.0,0.1,0.2,0.0,0.1,1.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.0,4.2,10,WR
54,Michael Gallup,DAL,3.0,1.0,2.3,45.0,15.4,34.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.8,2.1,4.0,10,WR
55,Chester Rogers,TEN,4.0,2.3,3.0,45.0,25.5,32.1,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.4,3.9,10,WR
56,Seth Roberts,GB,3.3,1.6,2.7,40.0,19.9,31.5,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.2,2.3,3.9,10,WR
