,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
105,QB,Kyle Allen (15751381),Kyle Allen,15751381.0,QB,4800.0,WAS@DET 11/15/2020 01:00PM ET,WAS,11.75
106,RB,JaMycal Hasty (15751476),JaMycal Hasty,15751476.0,RB/FLEX,4800.0,SF@NO 11/15/2020 04:25PM ET,SF,4.7
107,WR,Emmanuel Sanders (15751714),Emmanuel Sanders,15751714.0,WR/FLEX,4800.0,SF@NO 11/15/2020 04:25PM ET,NO,14.2
108,QB,AJ McCarron (15751380),AJ McCarron,15751380.0,QB,4800.0,HOU@CLE 11/15/2020 01:00PM ET,HOU,0.0
109,WR,Darius Slayton (15751716),Darius Slayton,15751716.0,WR/FLEX,4800.0,PHI@NYG 11/15/2020 01:00PM ET,NYG,11.67
110,RB,Malcolm Brown (15751474),Malcolm Brown,15751474.0,RB/FLEX,4700.0,SEA@LAR 11/15/2020 04:25PM ET,LAR,8.91
111,WR,Cole Beasley (15751718),Cole Beasley,15751718.0,WR/FLEX,4700.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,12.81
112,QB,P.J. Walker (15751382),PJ Walker,15751382.0,QB,4700.0,TB@CAR 11/15/2020 01:00PM ET,CAR,0.12
113,TE,Rob Gronkowski (15751952),Rob Gronkowski,15751952.0,TE/FLEX,4700.0,TB@CAR 11/15/2020 01:00PM ET,TB,8.59
114,RB,Justin Jackson (15751472),Justin Jackson,15751472.0,RB/FLEX,4700.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,9.32
115,QB,Taysom Hill (15751384),Taysom Hill,15751384.0,QB,4600.0,SF@NO 11/15/2020 04:25PM ET,NO,5.24
116,TE,Jared Cook (15751954),Jared Cook,15751954.0,TE/FLEX,4600.0,SF@NO 11/15/2020 04:25PM ET,NO,10.27
117,QB,Mike Glennon (15751383),Mike Glennon,15751383.0,QB,4600.0,JAX@GB 11/15/2020 01:00PM ET,JAC,0.0
118,WR,Rashard Higgins (15751720),Rashard Higgins,15751720.0,WR/FLEX,4600.0,HOU@CLE 11/15/2020 01:00PM ET,CLE,8.94
119,RB,Devonta Freeman (15751478),Devonta Freeman,15751478.0,RB/FLEX,4600.0,PHI@NYG 11/15/2020 01:00PM ET,NYG,7.2
120,QB,Marcus Mariota (15751385),Marcus Mariota,15751385.0,QB,4500.0,DEN@LV 11/15/2020 04:05PM ET,LV,0.0
121,WR,Henry Ruggs III (15751722),Henry Ruggs,15751722.0,WR/FLEX,4500.0,DEN@LV 11/15/2020 04:05PM ET,LV,7.37
122,RB,Carlos Hyde (15751480),Carlos Hyde,15751480.0,RB/FLEX,4500.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,8.48
123,RB,Wayne Gallman Jr. (15751482),Wayne Gallman,15751482.0,RB/FLEX,4500.0,PHI@NYG 11/15/2020 01:00PM ET,NYG,8.43
124,TE,Evan Engram (15751956),Evan Engram,15751956.0,TE/FLEX,4500.0,PHI@NYG 11/15/2020 01:00PM ET,NYG,9.26
125,WR,Kendrick Bourne (15751726),Kendrick Bourne,15751726.0,WR/FLEX,4400.0,SF@NO 11/15/2020 04:25PM ET,SF,8.28
126,WR,Marquez Valdes-Scantling (15751724),Marquez Valdes-Scantling,15751724.0,WR/FLEX,4400.0,JAX@GB 11/15/2020 01:00PM ET,GB,8.59
127,QB,Will Grier (15751386),Will Grier,15751386.0,QB,4400.0,TB@CAR 11/15/2020 01:00PM ET,CAR,0.0
128,WR,A.J. Green (15751728),AJ Green,15751728.0,WR/FLEX,4400.0,CIN@PIT 11/15/2020 04:25PM ET,CIN,7.82
129,TE,Eric Ebron (15751958),Eric Ebron,15751958.0,TE/FLEX,4400.0,CIN@PIT 11/15/2020 04:25PM ET,PIT,9.31
130,DST,Steelers  (15752130),Steelers,15752130.0,DST,4400.0,CIN@PIT 11/15/2020 04:25PM ET,PIT,10.12
131,RB,Joshua Kelley (15751484),Joshua Kelley,15751484.0,RB/FLEX,4400.0,LAC@MIA 11/15/2020 04:05PM ET,LAC,8.29
132,QB,Nathan Peterman (15751388),Nathan Peterman,15751388.0,QB,4300.0,DEN@LV 11/15/2020 04:05PM ET,LV,0.0
133,RB,Devin Singletary (15751486),Devin Singletary,15751486.0,RB/FLEX,4300.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,9.76
134,QB,Ryan Finley (15751387),Ryan Finley,15751387.0,QB,4300.0,CIN@PIT 11/15/2020 04:25PM ET,CIN,0.0
135,WR,Preston Williams (15751730),Preston Williams,15751730.0,WR/FLEX,4300.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,9.72
136,TE,Mike Gesicki (15751960),Mike Gesicki,15751960.0,TE/FLEX,4300.0,LAC@MIA 11/15/2020 04:05PM ET,MIA,8.76
137,WR,Hunter Renfrow (15751734),Hunter Renfrow,15751734.0,WR/FLEX,4200.0,DEN@LV 11/15/2020 04:05PM ET,LV,9.49
138,WR,Tre'Quan Smith (15751732),Tre'Quan Smith,15751732.0,WR/FLEX,4200.0,SF@NO 11/15/2020 04:25PM ET,NO,9.31
139,RB,Cam Akers (15751490),Cam Akers,15751490.0,RB/FLEX,4200.0,SEA@LAR 11/15/2020 04:25PM ET,LAR,3.82
140,QB,Matt Barkley (15751389),Matt Barkley,15751389.0,QB,4200.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,0.88
141,QB,Jalen Hurts (15751390),Jalen Hurts,15751390.0,QB,4200.0,PHI@NYG 11/15/2020 01:00PM ET,PHI,1.25
