QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Justin Herbert (15751354),Mike Davis (15751496),James Robinson (15751420),Davante Adams (15751638),DeVante Parker (15751706),DJ Moore (15751702),Austin Hooper (15751968),Stefon Diggs (15751644),Rams  (15752149),49900.0,114.5704285714286,151.9297142857143,202.47,373,430,543,1346,146
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Jakeem Grant (15751800),Robby Anderson (15751670),Darren Waller (15751946),Stefon Diggs (15751644),Rams  (15752149),49500.0,112.29042857142859,151.92971428571428,202.6,1531,431,523,2485,391
Justin Herbert (15751354),Mike Davis (15751496),James Robinson (15751420),Keenan Allen (15751648),Davante Adams (15751638),Danny Amendola (15751746),Austin Hooper (15751968),Miles Sanders (15751424),Rams  (15752149),49700.0,114.09042857142857,151.9247142857143,202.45,507,432,549,1488,173
Justin Herbert (15751354),Mike Davis (15751496),Miles Sanders (15751424),Keenan Allen (15751648),Davante Adams (15751638),Robby Anderson (15751670),Austin Hooper (15751968),Danny Amendola (15751746),Lions  (15752142),49600.0,115.64042857142857,151.92185714285716,199.67857142857142,154,433,1142,1729,228
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),DeVante Parker (15751706),Stefon Diggs (15751644),Austin Hooper (15751968),Alvin Kamara (15751410),Rams  (15752149),49600.0,110.74042857142858,151.9197142857143,206.95999999999998,3149,434,90,3673,707
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Danny Amendola (15751746),Stefon Diggs (15751644),Darren Waller (15751946),Aaron Jones (15751412),Lions  (15752142),49700.0,108.07042857142858,151.91685714285717,203.03857142857143,7292,435,443,8170,2129
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Danny Amendola (15751746),Stefon Diggs (15751644),Darren Waller (15751946),Duke Johnson (15751464),Lions  (15752142),49600.0,110.87042857142858,151.91685714285717,204.22857142857143,3006,436,291,3733,724
Justin Herbert (15751354),Mike Davis (15751496),James Robinson (15751420),Davante Adams (15751638),Terry McLaurin (15751652),DeVante Parker (15751706),Austin Hooper (15751968),DJ Moore (15751702),Lions  (15752142),49600.0,113.92042857142859,151.91185714285717,201.79857142857142,576,437,649,1662,210
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Robby Anderson (15751670),Stefon Diggs (15751644),Darren Waller (15751946),Keelan Cole (15751772),Rams  (15752149),49700.0,113.18042857142858,151.9097142857143,204.26,912,438,286,1636,207
Justin Herbert (15751354),Mike Davis (15751496),Josh Jacobs (15751422),Keenan Allen (15751648),Terry McLaurin (15751652),DeVante Parker (15751706),Austin Hooper (15751968),Stefon Diggs (15751644),Lions  (15752142),50000.0,112.06042857142857,151.89685714285716,205.89857142857144,1717,439,147,2303,343
