"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Mitch Trubisky","CHI","32.4","20.7","217.6","1.2","0.9","3.7","19.8","0.1","0.2","13.9"
"Derek Carr","OAK","33.6","24.0","241.0","1.2","0.7","1.5","5.0","0.0","0.2","13.5"
"Gardner Minshew","JAC","31.3","21.5","220.9","1.1","0.7","4.1","17.7","0.1","0.2","13.4"
"Teddy Bridgewater","NO","31.9","20.9","214.3","1.2","0.8","2.0","8.3","0.0","0.1","12.8"
"Kirk Cousins","MIN","30.1","20.5","208.5","1.1","0.7","2.3","8.2","0.1","0.2","12.2"
"Joe Flacco","DEN","35.2","22.3","226.4","1.0","0.9","1.1","2.8","0.0","0.1","11.5"
"Josh Rosen","MIA","31.2","18.8","208.9","1.0","1.1","2.1","10.4","0.0","0.2","10.9"
"Dwayne Haskins","WAS","16.8","10.4","113.5","0.4","0.4","1.7","4.9","0.0","0.1","5.7"
"Taysom Hill","NO","8.1","5.0","55.2","0.2","0.2","1.6","5.1","0.0","0.1","3.3"
"Ryan Fitzpatrick","MIA","5.3","2.9","32.4","0.1","0.3","0.7","2.7","0.0","0.0","1.3"
"Jeff Driskel","DET","1.4","0.9","9.9","0.1","0.0","0.4","2.6","0.0","0.0","1.1"
"Blake Bortles","LAR","1.4","1.0","12.7","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"Will Grier","CAR","8.6","4.7","42.5","0.0","0.4","1.0","1.8","0.0","0.1","1.0"
"Tyrod Taylor","LAC","1.4","1.0","12.8","0.1","0.0","0.2","1.1","0.0","0.0","1.0"
"Eli Manning","NYG","7.1","4.0","40.5","0.1","0.3","0.4","1.0","0.0","0.2","1.0"
"Matt Moore","KC","1.4","1.0","14.2","0.1","0.0","0.2","0.2","0.0","0.0","1.0"
"Colt McCoy","WAS","4.9","2.7","27.0","0.1","0.3","0.6","2.3","0.0","0.1","1.0"
"Josh McCown","PHI","1.5","0.9","10.6","0.1","0.0","0.2","1.0","0.0","0.0","0.9"
"Ryan Tannehill","TEN","1.1","0.8","8.5","0.1","0.0","0.3","1.3","0.0","0.0","0.9"
"Brian Hoyer","IND","1.5","0.9","11.0","0.1","0.0","0.3","0.2","0.0","0.0","0.9"
"Robert Griffin","BAL","1.3","0.8","8.9","0.1","0.0","0.3","0.8","0.0","0.0","0.8"
"Matt Schaub","ATL","1.5","1.1","9.9","0.1","0.0","0.1","0.2","0.0","0.0","0.8"
"Chase Daniel","CHI","1.3","0.8","8.4","0.1","0.0","0.3","0.4","0.0","0.0","0.8"
"Tim Boyle","GB","1.1","0.7","7.8","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
"Jarrett Stidham","NE","1.2","0.8","7.7","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
"Mike Glennon","OAK","1.4","1.1","10.4","0.1","0.0","0.2","0.3","0.0","0.1","0.6"
"Brett Hundley","ARI","1.5","0.9","8.7","0.1","0.1","0.2","0.9","0.0","0.0","0.6"
"Ryan Griffin","TB","1.1","0.7","8.8","0.1","0.1","0.1","0.2","0.0","0.0","0.6"
"AJ McCarron","HOU","1.3","0.9","9.9","0.0","0.0","0.1","0.1","0.0","0.0","0.4"
"Joshua Dobbs","JAC","1.3","0.8","6.7","0.0","0.0","0.2","0.9","0.0","0.0","0.4"
"Cooper Rush","DAL","1.1","0.7","6.9","0.0","0.0","0.2","0.8","0.0","0.0","0.4"
"Ryan Finley","CIN","1.1","0.7","7.5","0.0","0.0","0.0","0.2","0.0","0.0","0.3"
"Sean Mannion","MIN","1.2","0.7","7.0","0.0","0.0","0.3","0.2","0.0","0.0","0.3"
"Matt Barkley","BUF","1.3","0.7","8.2","0.0","0.1","0.2","0.3","0.0","0.0","0.2"
""
""
