"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Matt Ryan","ATL","36.2","24.2","267.8","1.6","0.9","1.8","6.9","0.0","0.3","15.7"
"Kirk Cousins","MIN","33.0","23.2","252.7","1.5","0.4","1.4","3.8","0.1","0.3","15.5"
"Josh Allen","BUF","30.6","18.2","211.9","1.0","0.9","6.5","32.7","0.3","0.3","15.1"
"Jacoby Brissett","IND","32.3","20.2","225.7","1.4","0.7","3.5","14.3","0.1","0.2","15.1"
"Mitch Trubisky","CHI","32.9","20.8","227.8","1.2","0.9","3.9","19.7","0.1","0.2","14.5"
"Philip Rivers","LAC","35.2","22.8","265.4","1.4","0.9","0.7","1.2","0.0","0.1","14.2"
"Kyle Allen","CAR","37.8","23.0","256.0","1.3","1.1","2.0","8.0","0.1","0.4","13.9"
"Drew Lock","DEN","32.5","20.8","230.1","1.3","1.0","2.4","10.1","0.0","0.2","13.4"
"David Blough","DET","35.1","21.0","240.5","1.3","1.1","1.6","4.9","0.0","0.2","13.1"
"Andy Dalton","CIN","34.5","20.3","226.2","1.0","1.1","2.4","8.3","0.1","0.3","11.6"
"Sam Darnold","NYJ","33.6","20.4","227.3","1.0","1.2","2.0","6.1","0.0","0.1","11.2"
"Devlin Hodges","PIT","29.3","18.6","194.4","1.0","0.9","3.0","12.5","0.1","0.2","11.1"
"Dwayne Haskins","WAS","28.9","17.5","195.7","1.0","1.0","2.0","6.7","0.0","0.2","10.4"
"Taysom Hill","NO","0.9","0.3","6.1","0.0","0.0","2.1","8.6","0.1","0.0","1.6"
"Tyrod Taylor","LAC","4.8","2.7","25.6","0.1","0.2","0.6","1.3","0.0","0.1","0.9"
"Blake Bortles","LAR","4.6","2.6","24.6","0.1","0.2","0.6","1.4","0.0","0.1","0.9"
"Robert Griffin","BAL","4.2","2.4","24.5","0.1","0.2","0.7","2.3","0.0","0.1","0.9"
"Josh McCown","PHI","4.7","2.6","24.3","0.1","0.2","0.6","1.5","0.0","0.1","0.9"
"Ryan Griffin","TB","5.1","2.9","28.3","0.1","0.2","0.4","0.4","0.0","0.1","0.9"
"Matt Moore","KC","4.7","2.6","24.9","0.1","0.2","0.5","1.0","0.0","0.1","0.9"
"Teddy Bridgewater","NO","4.6","2.7","24.7","0.1","0.2","0.5","1.0","0.0","0.1","0.9"
"Matt Schaub","ATL","5.7","3.1","27.1","0.1","0.2","0.7","0.9","0.0","0.1","0.9"
"Nick Foles","JAC","4.8","2.7","25.4","0.1","0.2","0.6","1.4","0.0","0.1","0.8"
"Chase Daniel","CHI","4.6","2.6","24.8","0.1","0.2","0.4","0.7","0.0","0.1","0.8"
"Chad Henne","KC","1.3","0.7","8.9","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"Mason Rudolph","PIT","4.6","2.7","24.0","0.1","0.2","0.4","0.8","0.0","0.1","0.8"
"Geno Smith","SEA","8.0","4.6","41.1","0.0","0.4","0.6","0.5","0.0","0.1","0.8"
"Brian Hoyer","IND","4.1","2.3","21.0","0.1","0.2","0.5","0.9","0.0","0.1","0.7"
"Kyle Sloter","DET","7.1","3.9","34.5","0.0","0.4","0.8","1.5","0.0","0.1","0.7"
"Nick Mullens","SF","1.1","0.7","7.9","0.1","0.1","1.3","3.8","0.0","0.0","0.7"
"Mike Glennon","OAK","5.1","2.7","24.9","0.1","0.2","0.7","0.9","0.0","0.1","0.6"
"Marcus Mariota","TEN","3.3","1.9","18.2","0.1","0.2","0.5","1.2","0.0","0.0","0.6"
"Matt Barkley","BUF","5.5","3.0","25.8","0.0","0.2","0.6","0.9","0.0","0.1","0.6"
"Case Keenum","WAS","5.0","2.7","25.3","0.0","0.2","0.5","1.2","0.0","0.1","0.6"
"Brandon Allen","DEN","2.3","1.3","12.2","0.1","0.1","0.5","1.9","0.0","0.0","0.6"
"AJ McCarron","HOU","4.5","2.6","24.6","0.0","0.2","0.3","0.3","0.0","0.1","0.6"
"Josh Rosen","MIA","3.8","2.2","20.9","0.1","0.2","0.3","0.6","0.0","0.1","0.5"
"Will Grier","CAR","4.3","2.3","21.7","0.0","0.2","0.4","0.8","0.0","0.1","0.5"
"Brett Hundley","ARI","3.1","1.7","16.1","0.1","0.2","0.4","1.0","0.0","0.0","0.5"
"Cooper Rush","DAL","3.6","2.0","18.3","0.0","0.2","0.3","0.5","0.0","0.1","0.4"
"Garrett Gilbert","CLE","3.4","1.9","18.1","0.0","0.2","0.3","0.3","0.0","0.1","0.3"
"Brett Rypien","DEN","1.0","0.6","6.4","0.0","0.0","0.1","0.3","0.0","0.0","0.3"
"Tim Boyle","GB","1.2","0.8","6.6","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"DeShone Kizer","OAK","5.1","2.7","24.3","0.0","0.3","0.6","1.1","0.0","0.1","0.3"
"Ryan Finley","CIN","3.1","1.7","17.2","0.0","0.3","0.4","1.4","0.0","0.1","0.3"
"David Fales","NYJ","3.9","2.0","17.7","0.0","0.3","0.5","0.9","0.0","0.1","0.2"
"Colt McCoy","WAS","1.2","0.7","7.3","0.0","0.1","0.2","0.6","0.0","0.0","0.2"
"Jarrett Stidham","NE","1.2","0.7","7.0","0.0","0.2","0.9","1.2","0.0","0.1","0.0"
"Sean Mannion","MIN","1.1","0.7","6.6","0.0","0.2","1.0","1.2","0.0","0.1","0.0"
""
""
