Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Royce Freeman,DEN,RB,4000.0,Royce Freeman (16006314) (LOCKED),3.39,3.4,7.630000000000001,11.440000000000001,3.3,7.03,10.590000000000002,3.3,7.53,11.340000000000002,1176.4705882352941,524.2463958060288,349.6503496503496,21,8,21,8,8,16
Odell Beckham,CLE,WR,3000.0,Odell Beckham Jr. (16006580) (LOCKED),12.4,17.400000000000006,21.374999999999993,26.099999999999998,13.55,16.07,19.62,16.900000000000006,19.669999999999998,23.52,172.41379310344823,140.3508771929825,114.9425287356322,2,2,1,1,1,3
AJ Green,CIN,WR,3400.0,A.J. Green (16006456) (LOCKED),7.42,16.66,19.924999999999997,25.75,13.759999999999998,15.75,19.5,16.46,18.85,23.5,204.08163265306123,170.6398996235885,132.03883495145632,3,3,2,1,1,4
Will Fuller,HOU,WR,3000.0,Will Fuller V (16006540) (LOCKED),18.54,11.600000000000001,13.87,18.5,9.650000000000002,11.72,16.0,11.600000000000001,13.87,18.5,258.6206896551724,216.29416005767845,162.16216216216216,13,5,3,2,2,7
DeSean Jackson,PHI,WR,3000.0,DeSean Jackson (16006490) (LOCKED),8.96,10.370000000000001,12.690000000000001,17.04,8.719999999999999,10.790000000000001,14.89,10.370000000000001,12.690000000000001,17.04,289.2960462873674,236.40661938534276,176.05633802816902,16,6,4,2,2,8
Alshon Jeffery,PHI,WR,3200.0,Alshon Jeffery (16006462) (LOCKED),3.36,12.090000000000002,13.420000000000002,17.66,10.09,11.270000000000001,15.16,12.090000000000002,13.420000000000002,17.66,264.6815550041356,238.45007451564825,181.2004530011325,14,6,5,2,2,8
Keelan Cole,JAC,WR,3500.0,Keelan Cole Sr. (16006454) (LOCKED),10.21,9.510000000000002,12.860000000000001,19.5,7.71,10.610000000000001,16.5,9.510000000000002,12.860000000000001,19.5,368.0336487907465,272.1617418351477,179.48717948717947,15,6,6,3,3,9
Julio Jones,ATL,WR,6800.0,Julio Jones (16006366) (LOCKED),17.23,21.125,24.93,28.700000000000003,15.140000000000002,18.43,21.700000000000003,18.19,21.93,25.700000000000003,321.8934911242604,272.7637384677096,236.93379790940764,1,1,7,3,1,4
Dede Westbrook,JAC,WR,3000.0,Dede Westbrook (16006514) (LOCKED),0.2,7.37,10.230000000000002,13.240000000000002,5.67,8.180000000000001,10.64,7.17,10.130000000000003,13.240000000000002,407.05563093622794,293.2551319648093,226.5861027190332,22,7,8,3,3,10
Courtland Sutton,DEN,WR,3000.0,Courtland Sutton (16006594) (LOCKED),9.6,7.080000000000001,9.2,14.0,5.68,7.800000000000001,12.5,6.98,9.2,14.0,423.72881355932196,326.0869565217392,214.28571428571428,25,7,9,4,4,11
JuJu Smith-Schuster,PIT,WR,6000.0,JuJu Smith-Schuster (16006378) (LOCKED),14.44,15.43,17.924999999999997,22.2,12.430000000000001,14.75,17.95,15.33,17.85,21.3,388.8528839922229,334.7280334728034,270.27027027027026,7,3,10,4,3,7
Josh Gordon,SEA,WR,3000.0,Josh Gordon (16006502) (LOCKED),0.0,5.5,8.84,11.68,4.35,7.489999999999999,10.08,5.3999999999999995,8.84,11.68,545.4545454545455,339.3665158371041,256.8493150684932,26,7,11,4,4,11
Tyler Boyd,CIN,WR,4900.0,Tyler Boyd (16006400) (LOCKED),14.03,11.35,14.070000000000002,15.9,8.75,11.220000000000002,12.9,11.25,13.970000000000002,15.9,431.7180616740088,348.2587064676616,308.1761006289308,12,5,12,4,4,9
Taywan Taylor,CLE,WR,3000.0,Taywan Taylor (16006578) (LOCKED),0.0,5.7,8.360000000000001,10.7,4.1,6.61,8.75,5.5,8.260000000000002,10.7,526.3157894736842,358.8516746411483,280.373831775701,27,7,13,4,4,11
Sterling Shepard,NYG,WR,4500.0,Sterling Shepard (16006410) (LOCKED),11.72,9.220000000000002,12.22,14.8,6.82,9.470000000000002,11.8,9.020000000000001,12.120000000000001,14.8,488.0694143167027,368.2487725040916,304.05405405405406,18,6,14,4,4,10
Jarvis Landry,CLE,WR,6900.0,Jarvis Landry (16006364) (LOCKED),12.47,15.300000000000002,18.0,22.325,12.05,14.3,18.03,15.200000000000003,17.6,21.53,450.98039215686265,383.3333333333333,309.07054871220606,6,3,15,5,3,8
Brandin Cooks,HOU,WR,6200.0,Brandin Cooks (16006376) (LOCKED),14.17,13.68,16.009999999999998,19.8,11.33,13.459999999999999,16.8,13.58,16.009999999999998,19.8,453.2163742690059,387.25796377264214,313.1313131313131,8,4,16,5,4,9
Mike Williams,LAC,WR,4500.0,Mike Williams (16006414) (LOCKED),10.3,8.760000000000002,11.3,15.5,7.3100000000000005,9.55,13.5,8.760000000000002,11.3,15.5,513.6986301369863,398.2300884955752,290.3225806451613,21,6,17,5,5,11
Keenan Allen,LAC,WR,7500.0,Keenan Allen (16006360) (LOCKED),18.51,15.129999999999999,18.499999999999993,23.75,11.88,14.860000000000001,18.6,14.929999999999998,18.16,22.1,495.70389953734303,405.4054054054056,315.7894736842105,5,3,18,5,3,8
Cooper Kupp,LAR,WR,6600.0,Cooper Kupp (16006370) (LOCKED),14.58,13.4,15.790000000000001,18.46,11.05,13.190000000000001,15.76,13.3,15.690000000000001,18.46,492.5373134328358,417.9860671310956,357.52979414951244,10,4,19,6,4,10
David Moore,SEA,WR,3200.0,David Moore (16006466) (LOCKED),7.82,5.04,7.44,10.420000000000002,3.99,6.140000000000001,8.920000000000002,5.04,7.44,10.420000000000002,634.9206349206349,430.1075268817204,307.10172744721683,29,7,20,6,6,13
Robert Woods,LAR,WR,7000.0,Robert Woods (16006362) (LOCKED),16.3,13.110000000000001,15.88,20.0,10.760000000000002,13.28,17.0,13.010000000000002,15.88,20.0,533.9435545385202,440.80604534005033,350.0,9,4,21,6,4,10
