,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
142,Ty Johnson,NYJ,8.6,0.0,5.4,35.3,0.0,22.4,0.2,0.0,0.1,7.6,0.0,3.8,55.8,0.0,29.6,0.4,0.0,0.2,0.1,0.1,0.1,12.0,8.3,6.7,draft,2022,RB
143,Cethan Carter,MIA,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0,2.9,2.9,2.9,44.0,44.0,44.0,0.4,0.4,0.4,0.0,0.0,0.0,6.7,6.7,6.7,draft,2022,RB
144,La'Mical Perine,NYJ,4.3,4.3,4.3,17.2,17.2,17.2,0.2,0.2,0.2,3.9,3.9,3.9,26.9,26.9,26.9,0.2,0.2,0.2,0.0,0.0,0.0,6.0,6.0,6.4,draft,2022,RB
145,Julius Chestnut,TEN,4.5,4.5,4.5,19.0,19.0,19.0,0.1,0.1,0.1,3.8,3.8,3.8,27.9,27.9,27.9,0.2,0.2,0.2,0.0,0.0,0.0,6.3,6.3,6.3,draft,2022,RB
146,Deon Jackson,IND,16.9,0.0,8.5,72.7,0.0,36.3,0.6,0.0,0.3,2.0,0.0,1.0,14.2,0.0,7.1,0.1,0.0,0.0,0.1,0.1,0.1,12.7,0.0,6.3,draft,2022,RB
147,Jason Cabinda,DET,4.5,2.1,3.3,18.1,4.9,10.7,0.2,0.1,0.1,6.3,4.1,4.8,34.9,29.4,31.9,0.2,0.2,0.2,0.0,0.0,0.0,6.4,5.7,6.0,draft,2022,RB
148,Khari Blasingame,CHI,4.9,0.0,2.4,19.5,0.0,10.1,0.2,0.0,0.1,5.4,3.6,4.3,32.2,29.0,30.3,0.2,0.2,0.2,0.0,0.0,0.0,6.5,4.3,5.8,draft,2022,RB
149,Derek Watt,PIT,4.4,0.0,2.2,17.4,0.0,8.7,0.2,0.0,0.1,4.5,4.4,4.4,34.2,30.9,32.5,0.2,0.2,0.2,0.0,0.0,0.0,7.0,4.1,5.6,draft,2022,RB
150,Patrick Taylor,GB,11.2,0.0,5.3,48.0,0.0,22.2,0.4,0.0,0.2,4.3,0.0,2.1,31.1,0.0,15.3,0.2,0.0,0.1,0.1,0.1,0.1,8.9,7.0,5.3,draft,2022,RB
151,Johnny Stanton,CLE,2.2,2.2,2.2,9.3,9.3,9.3,0.1,0.1,0.1,3.9,3.9,3.9,27.4,27.4,27.4,0.2,0.2,0.2,0.0,0.0,0.0,5.2,5.2,5.2,draft,2022,RB
