,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
97,Tyree Jackson,PHI,9.5,3.5,6.5,97.8,31.6,64.7,1.0,0.3,0.7,0.1,0.1,0.1,15.6,5.0,10.3,draft,2022,TE
98,Juwan Johnson,NO,9.0,1.6,4.7,99.0,17.4,52.3,2.0,0.2,0.8,0.0,0.0,0.0,21.9,2.8,10.3,draft,2022,TE
99,James Mitchell,DET,12.0,1.8,6.9,106.0,18.4,62.2,1.0,0.2,0.6,0.0,0.0,0.0,16.6,2.7,9.7,draft,2022,TE
100,Devin Asiasi,NE,10.0,1.8,5.2,137.0,18.6,64.6,1.0,0.2,0.5,0.0,0.0,0.0,19.7,2.7,9.4,draft,2022,TE
101,Cole Turner,WAS,6.1,6.1,6.1,63.8,63.8,63.8,0.5,0.5,0.5,0.0,0.0,0.0,9.4,9.4,9.4,draft,2022,TE
102,Eric Tomlinson,DEN,8.3,3.5,5.9,82.8,37.3,60.0,0.8,0.3,0.6,0.0,0.0,0.0,12.8,5.7,9.3,draft,2022,TE
103,John FitzPatrick,ATL,11.0,1.7,6.4,101.0,17.4,59.2,1.0,0.1,0.6,0.0,0.0,0.0,16.1,2.4,9.2,draft,2022,TE
104,Ben Ellefson,MIN,6.0,4.0,5.2,68.0,38.0,54.7,1.0,0.3,0.6,0.0,0.0,0.0,12.8,5.9,9.1,draft,2022,TE
105,MyCole Pruitt,ATL,7.2,5.5,6.3,69.5,52.7,61.1,0.5,0.5,0.5,0.0,0.0,0.0,10.0,8.0,8.9,draft,2022,TE
106,Tommy Hudson,TEN,11.0,1.7,5.4,106.0,17.9,53.6,1.0,0.1,0.5,0.0,0.0,0.0,16.6,2.6,8.3,draft,2022,TE
107,Chigoziem Okonkwo,TEN,5.3,5.3,5.3,55.8,55.8,55.8,0.5,0.5,0.5,0.0,0.0,0.0,8.2,8.2,8.2,draft,2022,TE
108,Hunter Long,MIA,12.0,0.0,5.3,110.0,0.0,49.9,1.0,0.0,0.5,0.0,0.0,0.0,17.0,0.0,7.7,draft,2022,TE
109,Tommy Sweeney,BUF,12.0,0.0,5.2,109.0,0.0,48.5,1.0,0.0,0.5,0.0,0.0,0.0,16.9,0.0,7.5,draft,2022,TE
110,Colby Parkinson,SEA,7.2,3.6,5.4,72.7,32.2,52.4,0.6,0.2,0.4,0.1,0.1,0.1,10.5,4.6,7.5,draft,2022,TE
111,Jack Stoll,PHI,13.0,0.0,5.4,143.0,0.0,58.6,0.3,0.0,0.1,0.0,0.0,0.0,5.3,0.0,6.5,draft,2022,TE
112,Nick Bowers,LV,4.0,4.0,4.0,42.1,42.1,42.1,0.4,0.4,0.4,0.0,0.0,0.0,6.3,6.3,6.3,draft,2022,TE
113,Reggie Gilliam,BUF,4.2,4.2,4.2,38.9,38.9,38.9,0.4,0.4,0.4,0.0,0.0,0.0,6.4,6.4,6.2,draft,2022,TE
114,Hunter Kampmoyer,LAC,3.8,3.8,3.8,39.6,39.6,39.6,0.4,0.4,0.4,0.0,0.0,0.0,6.2,6.2,6.2,draft,2022,TE
115,Eric Saubert,DEN,4.1,4.1,4.1,39.2,39.2,39.2,0.4,0.4,0.4,0.0,0.0,0.0,6.2,6.2,6.0,draft,2022,TE
116,Jace Sternberger,PIT,4.2,4.2,4.2,40.0,40.0,40.0,0.3,0.3,0.3,0.0,0.0,0.0,5.8,5.8,6.0,draft,2022,TE
117,Jacob Hollister,LV,3.9,3.9,3.9,35.8,35.8,35.8,0.4,0.4,0.4,0.0,0.0,0.0,5.8,5.8,5.7,draft,2022,TE
118,Jared Pinkney,LAR,3.8,3.8,3.8,39.1,39.1,39.1,0.3,0.3,0.3,0.0,0.0,0.0,5.6,5.6,5.7,draft,2022,TE
119,Josh Oliver,BAL,3.7,3.7,3.7,36.0,36.0,36.0,0.3,0.3,0.3,0.0,0.0,0.0,5.6,5.6,5.6,draft,2022,TE
120,Jeremy Ruckert,NYJ,3.7,3.7,3.7,36.9,36.9,36.9,0.3,0.3,0.3,0.0,0.0,0.0,5.4,5.4,5.4,draft,2022,TE
121,Charlie Woerner,SF,3.5,3.5,3.5,31.6,31.6,31.6,0.4,0.4,0.4,0.0,0.0,0.0,5.2,5.2,5.3,draft,2022,TE
122,Antony Auclair,HOU,4.1,4.0,4.0,39.4,38.2,38.8,0.3,0.2,0.2,0.0,0.0,0.0,5.5,5.2,5.2,draft,2022,TE
123,Tyler Mabry,SEA,3.6,3.6,3.6,36.5,36.5,36.5,0.2,0.2,0.2,0.0,0.0,0.0,5.1,5.1,5.1,draft,2022,TE
124,Miller Forristall,CLE,7.0,0.0,3.5,69.9,0.0,34.9,0.5,0.0,0.3,0.1,0.1,0.1,10.0,0.0,4.9,draft,2022,TE
125,Parker Hesse,ATL,3.6,3.6,3.6,33.6,33.6,33.6,0.2,0.2,0.2,0.0,0.0,0.0,4.8,4.8,4.8,draft,2022,TE
126,Nakia Griffin-Stewart,CLE,3.3,3.3,3.3,32.9,32.9,32.9,0.2,0.2,0.2,0.0,0.0,0.0,4.7,4.7,4.7,draft,2022,TE
127,Mitchell Wilcox,CIN,3.6,0.0,1.8,36.8,0.0,18.4,0.3,0.0,0.2,0.0,0.0,0.0,5.6,0.0,2.8,draft,2022,TE
128,Stephen Sullivan,CAR,3.7,0.0,1.8,37.9,0.0,19.0,0.2,0.0,0.1,0.0,0.0,0.0,5.2,0.0,2.6,draft,2022,TE
129,Cethan Carter,MIA,1.8,0.0,0.9,17.9,0.0,8.9,0.2,0.0,0.1,0.0,0.0,0.0,2.8,0.0,1.4,draft,2022,TE
130,Noah Togiai,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
131,JP Holtz,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
132,Trevon Wesco,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
133,Jordan Franks,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
134,Deon Yelder,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
135,Chris Myarick,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
136,Colin Thompson,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
137,Troy Fumagalli,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draft,2022,TE
