,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
34,Kenny Pickett,PIT,4.0,4.0,4.0,2.4,2.4,2.4,20.8,20.5,20.6,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,1.2,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.1,1.2,3,2022,QB
35,Malik Willis,TEN,1.3,1.3,1.3,0.7,0.7,0.7,25.4,6.3,15.9,0.1,0.0,0.1,0.0,0.1,0.0,0.3,0.3,0.3,3.9,1.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.4,1.2,3,2022,QB
36,Trace McSorley,ARI,1.4,1.4,1.4,1.0,1.0,1.0,18.7,9.5,14.1,0.1,0.1,0.1,0.0,0.1,0.1,0.3,0.3,0.3,2.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.9,1.1,3,2022,QB
37,Easton Stick,LAC,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,16.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,3,2022,QB
38,Tyler Huntley,BAL,1.4,1.4,1.4,0.9,0.9,0.9,10.2,10.2,10.2,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,3,2022,QB
39,Jarrett Stidham,LV,1.5,1.5,1.5,1.0,1.0,1.0,12.2,12.2,12.2,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,3,2022,QB
40,Nick Foles,IND,1.3,1.3,1.3,0.8,0.8,0.8,8.7,8.7,8.7,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,3,2022,QB
41,Chad Henne,KC,1.6,1.6,1.6,1.0,1.0,1.0,11.1,11.1,11.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,3,2022,QB
42,Nate Sudfeld,DET,1.4,1.4,1.4,0.8,0.8,0.8,14.7,8.4,11.5,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.2,1.3,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,3,2022,QB
43,CJ Beathard,JAC,1.5,1.5,1.5,0.8,0.8,0.8,8.7,8.7,8.7,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,3,2022,QB
44,Taysom Hill,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,5.2,5.2,5.2,0.1,0.1,0.1,0.0,0.0,0.0,2.0,2.0,0.8,3,2022,QB
45,Taylor Heinicke,WAS,1.4,1.4,1.4,0.9,0.9,0.9,13.3,8.5,10.9,0.1,0.1,0.1,0.0,0.1,0.0,0.3,0.3,0.3,1.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.8,3,2022,QB
46,Andy Dalton,NO,1.2,1.2,1.2,0.7,0.7,0.7,7.6,7.6,7.6,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,3,2022,QB
47,Mike White,NYJ,1.5,1.5,1.5,0.9,0.9,0.9,9.8,9.8,9.8,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,3,2022,QB
48,Brandon Allen,CIN,1.4,1.4,1.4,1.0,1.0,1.0,13.1,12.1,12.6,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.2,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.8,3,2022,QB
49,Case Keenum,BUF,1.4,1.4,1.4,0.9,0.9,0.9,11.1,11.1,11.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,3,2022,QB
50,Tyrod Taylor,NYG,1.6,1.6,1.6,0.9,0.9,0.9,9.9,9.9,9.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,3,2022,QB
51,Gardner Minshew,PHI,1.3,1.3,1.3,0.8,0.8,0.8,9.5,9.4,9.4,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.3,1.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,0.8,3,2022,QB
52,Teddy Bridgewater,MIA,1.5,1.5,1.5,1.0,1.0,1.0,11.5,9.4,10.4,0.1,0.0,0.1,0.1,0.1,0.1,0.3,0.3,0.3,1.5,1.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,3,2022,QB
53,Brock Purdy,SF,0.9,0.9,0.9,0.6,0.6,0.6,20.6,7.3,13.9,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.9,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.8,3,2022,QB
54,Joshua Dobbs,CLE,1.0,1.0,1.0,0.7,0.7,0.7,18.6,5.4,12.0,0.1,0.0,0.0,0.0,0.2,0.1,0.3,0.3,0.3,1.6,1.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.4,0.8,3,2022,QB
