Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
8,1685653261,rmdbass81 (4/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Cameron Brate,TE,28.82%,6.2
8,1685653327,rmdbass81 (5/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Ty Johnson,FLEX,26.49%,4.8
8,1685653352,rmdbass81 (6/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,DeAndre Hopkins,WR,24.11%,24.9
8,1685653377,rmdbass81 (7/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Chase Edmonds,RB,20.83%,3.3
8,1685653385,rmdbass81 (8/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Darren Waller,TE,18.60%,9.1
8,1685653458,rmdbass81 (9/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Matthew Stafford,QB,17.87%,27.38
8,1685653476,rmdbass81 (10/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Tyler Boyd,WR,12.67%,12.8
8,1685653485,rmdbass81 (11/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Seahawks ,DST,12.40%,9
8,1685653533,rmdbass81 (12/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Chargers ,DST,12.14%,9
8,1685653542,rmdbass81 (13/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Panthers ,DST,12.01%,3
8,1685653562,rmdbass81 (14/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Corey Davis,WR,11.33%,2.9
8,1685653600,rmdbass81 (15/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Kenny Golladay,WR,10.94%,32.3
8,1685653629,rmdbass81 (16/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Dede Westbrook,WR,10.21%,0
8,1685653638,rmdbass81 (17/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jonnu Smith,TE,7.48%,19.8
8,1685653685,rmdbass81 (18/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Raiders ,DST,6.90%,3
8,1685653696,rmdbass81 (19/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Saquon Barkley,RB,6.75%,28.3
8,1685653746,rmdbass81 (20/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Le'Veon Bell,RB,5.36%,6.5
8,1685653793,rmdbass81 (21/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Derek Carr,QB,5.12%,23.4
8,1685653816,rmdbass81 (22/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Tyrell Williams,WR,5.03%,18.1
8,1685653828,rmdbass81 (23/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Saints ,DST,4.33%,8
8,1685653841,rmdbass81 (24/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Chris Godwin,WR,4.29%,10.3
8,1685653854,rmdbass81 (25/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Evan Engram,TE,4.28%,14
8,1685653975,rmdbass81 (26/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Ted Ginn Jr.,WR,4.25%,6.2
8,1685654011,rmdbass81 (27/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,DK Metcalf,WR,3.19%,16.3
8,1685654055,rmdbass81 (28/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,DaeSean Hamilton,WR,3.15%,0
8,1685654102,rmdbass81 (29/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,James White,FLEX,3.11%,11.9
8,1685654107,rmdbass81 (30/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Buccaneers ,DST,2.83%,5
8,1685654129,rmdbass81 (31/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Patriots ,DST,2.68%,21
8,1685654143,rmdbass81 (32/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Sony Michel,FLEX,2.62%,7.4
8,1685654149,rmdbass81 (33/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Rams ,DST,2.62%,9
8,1685654161,rmdbass81 (34/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Mike Evans,WR,2.44%,45.8
8,1685654171,rmdbass81 (35/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Ryan Tannehill,QB,2.22%,19.42
8,1685662654,rmdbass81 (36/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Allen Robinson II,WR,2.08%,11.2
8,1685662730,rmdbass81 (37/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Tevin Coleman,RB,1.88%,40.8
8,1685662837,rmdbass81 (38/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Colts ,DST,1.78%,7
8,1685662874,rmdbass81 (39/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,David Montgomery,RB,1.76%,27.7
8,1685662980,rmdbass81 (40/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Christian McCaffrey,FLEX,1.55%,30.5
8,1685662988,rmdbass81 (41/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Carlos Hyde,RB,1.51%,8.3
8,1685662998,rmdbass81 (42/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Austin Ekeler,RB,1.50%,10.2
8,1685663172,rmdbass81 (43/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jarvis Landry,WR,1.45%,11.5
8,1685663191,rmdbass81 (44/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Tom Brady,QB,1.35%,18.36
8,1685663217,rmdbass81 (45/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Todd Gurley II,RB,1.29%,10.4
8,1685663241,rmdbass81 (46/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Julian Edelman,WR,1.27%,27.5
8,1685663504,rmdbass81 (47/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,John Brown,WR,1.19%,10.4
8,1685663518,rmdbass81 (48/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,A.J. Brown,WR,1.08%,9.1
8,1685663563,rmdbass81 (49/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Russell Wilson,QB,1.04%,15.68
8,1685663569,rmdbass81 (50/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Josh Hill,TE,1.04%,6.9
8,1685663624,rmdbass81 (51/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Melvin Gordon III,FLEX,0.98%,11.4
8,1685663635,rmdbass81 (52/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Golden Tate,WR,0.93%,16.5
8,1685663644,rmdbass81 (53/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Titans ,DST,0.92%,11
8,1685663705,rmdbass81 (54/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Marvin Jones Jr.,WR,0.92%,6.2
8,1685663736,rmdbass81 (55/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Lions ,DST,0.84%,11
8,1685663849,rmdbass81 (56/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,T.J. Hockenson,TE,0.81%,3.1
8,1685663857,rmdbass81 (57/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Austin Hooper,TE,0.80%,18.5
8,1685663863,rmdbass81 (58/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Bills ,DST,0.77%,4
8,1685663870,rmdbass81 (59/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,T.Y. Hilton,WR,0.74%,7.4
8,1685670731,rmdbass81 (60/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Broncos ,DST,0.70%,7
8,1685670746,rmdbass81 (61/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Tyler Lockett,WR,0.69%,19
8,1685670772,rmdbass81 (62/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Nick Chubb,RB,0.68%,15.8
8,1685670783,rmdbass81 (63/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,DJ Chark Jr.,WR,0.65%,19.9
8,1685670939,rmdbass81 (64/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Marlon Mack,RB,0.57%,16
8,1685670957,rmdbass81 (65/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Devonta Freeman,RB,0.57%,17.2
8,1685670987,rmdbass81 (66/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Josh Jacobs,FLEX,0.55%,10.1
8,1685671084,rmdbass81 (67/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Drew Brees,QB,0.48%,28.92
8,1685671359,rmdbass81 (68/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Danny Amendola,WR,0.45%,17.5
8,1685671417,rmdbass81 (69/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Cooper Kupp,FLEX,0.43%,38
8,1685671527,rmdbass81 (70/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Darren Fells,TE,0.42%,23.8
8,1685671592,rmdbass81 (71/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Alex Erickson,FLEX,0.41%,15.7
8,1685671612,rmdbass81 (72/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Gerald Everett,TE,0.39%,3.5
8,1685671678,rmdbass81 (73/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Demaryius Thomas,WR,0.36%,11.3
8,1685671687,rmdbass81 (74/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Larry Fitzgerald,FLEX,0.30%,2.8
8,1685671699,rmdbass81 (75/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Nelson Agholor,WR,0.29%,5.4
8,1685671706,rmdbass81 (76/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Mohamed Sanu,WR,0.28%,4.3
8,1685671730,rmdbass81 (77/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jameis Winston,QB,0.26%,26.34
8,1685671958,rmdbass81 (78/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jared Goff,QB,0.26%,25.88
8,1685677898,rmdbass81 (79/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,DJ Moore,WR,0.25%,8.8
8,1685677993,rmdbass81 (80/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Keke Coutee,WR,0.24%,0
8,1685678001,rmdbass81 (81/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Phillip Dorsett II,WR,0.24%,7.3
8,1685678341,rmdbass81 (82/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Zay Jones,WR,0.23%,4.7
8,1685678391,rmdbass81 (83/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Anthony Miller,FLEX,0.23%,9.7
8,1685678416,rmdbass81 (84/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Eric Ebron,TE,0.22%,5.6
8,1685678425,rmdbass81 (85/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jamison Crowder,WR,0.22%,5.4
8,1685678506,rmdbass81 (86/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Josh Allen,QB,0.22%,18.26
8,1685678532,rmdbass81 (87/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Emmanuel Sanders,FLEX,0.20%,12.5
8,1685678651,rmdbass81 (88/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Bears ,DST,0.20%,4
8,1685678753,rmdbass81 (89/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Browns ,DST,0.20%,5
8,1685678781,rmdbass81 (90/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Ben Watson,TE,0.20%,3.6
8,1685678882,rmdbass81 (91/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Matt Schaub,QB,0.19%,25.4
8,1685678894,rmdbass81 (92/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Greg Olsen,TE,0.18%,3.3
8,1685679013,rmdbass81 (93/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Eagles ,DST,0.18%,12
8,1685679031,rmdbass81 (94/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Bengals ,DST,0.17%,0
8,1685679055,rmdbass81 (95/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Jacoby Brissett,QB,0.16%,10.48
8,1685679240,rmdbass81 (96/100),0,213.46,QB Deshaun Watson RB Chris Carson RB Latavius Murray FLEX Tevin Coleman WR DeAndre Hopkins WR Kenny Golladay WR Courtland Sutton TE Jonnu Smith DST Panthers ,,Cole Beasley,WR,0.16%,13.1
