"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Paul Perkins","DET","1.3","3.9","0.0","0.7","1.8","0.0","0.0","0.6"
"Darwin Thompson","KC","1.0","3.2","0.0","0.2","1.0","0.0","0.0","0.6"
"Anthony Sherman","KC","0.8","2.4","0.0","0.4","3.2","0.0","0.0","0.6"
"Craig Reynolds","WAS","1.2","3.4","0.0","0.7","2.9","0.0","0.0","0.6"
"D'Ernest Johnson","CLE","0.8","3.2","0.0","0.4","2.8","0.0","0.0","0.6"
"Trayveon Williams","CIN","1.3","3.9","0.0","0.5","2.2","0.0","0.0","0.6"
"Derek Watt","LAC","1.0","3.5","0.0","0.5","2.3","0.0","0.0","0.6"
"Jonathan Hilliman","NYG","1.6","4.7","0.0","0.7","1.4","0.0","0.0","0.6"
"Mike Boone","MIN","1.0","4.8","0.0","0.2","0.8","0.0","0.0","0.6"
"Damien Harris","NE","1.3","4.8","0.0","0.2","0.9","0.0","0.0","0.6"
"Devontae Booker","DEN","1.0","4.1","0.0","0.3","1.6","0.0","0.0","0.5"
"T.J. Yeldon","BUF","0.8","2.5","0.0","0.6","2.3","0.0","0.0","0.5"
"Nick Bawden","DET","0.6","1.7","0.0","0.5","3.7","0.0","0.0","0.5"
"Troymaine Pope","LAC","0.8","2.4","0.0","0.4","1.9","0.0","0.0","0.4"
"Trey Edmunds","PIT","1.1","3.4","0.0","0.2","0.4","0.0","0.0","0.4"
"Tyler Ervin","JAC","0.7","1.9","0.0","0.5","2.0","0.0","0.0","0.4"
"T.J. Logan","TB","0.7","2.2","0.0","0.2","1.5","0.0","0.0","0.4"
"Javorius Allen","NYG","0.7","2.2","0.0","0.3","1.0","0.0","0.0","0.3"
"Keith Smith","ATL","0.4","1.3","0.0","0.2","1.0","0.0","0.0","0.3"
"Nick Bellore","SEA","0.1","0.6","0.0","0.2","2.0","0.0","0.0","0.3"
"Buddy Howell","HOU","0.5","1.9","0.0","0.1","0.7","0.0","0.0","0.3"
"Myles Gaskin","MIA","0.5","1.8","0.0","0.1","1.0","0.0","0.0","0.3"
"Dexter Williams","GB","0.6","1.9","0.0","0.2","0.4","0.0","0.0","0.3"
"Jonathan Williams","IND","0.6","2.0","0.0","0.0","0.3","0.0","0.0","0.3"
"Michael Burton","WAS","0.4","1.5","0.0","0.2","0.8","0.0","0.0","0.2"
"Dalyn Dawkins","TEN","0.4","1.7","0.0","0.0","0.0","0.0","0.0","0.2"
"Rod Smith","TEN","0.1","0.5","0.0","0.1","1.2","0.0","0.0","0.2"
"Alec Ingold","OAK","0.3","1.3","0.0","0.1","0.7","0.0","0.0","0.2"
"Taiwan Jones","HOU","0.2","0.7","0.0","0.2","1.3","0.0","0.0","0.2"
"Chandler Cox","MIA","0.0","0.0","0.0","0.2","2.0","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Patrick Laird","MIA","0.2","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Senorise Perry","BUF","0.3","1.1","0.0","0.0","0.1","0.0","0.0","0.1"
"Jordan Scarlett","CAR","0.3","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
""
""
