week,player,position,no_ppr_proj_min,no_ppr_proj_mid,no_ppr_proj_max,half_ppr_proj_min,half_ppr_proj_mid,half_ppr_proj_max,full_ppr_proj_min,full_ppr_proj_mid,full_ppr_proj_max
1,Devin Singletary,RB,6.99,11.44,15.74,6.04,10.14,13.94,6.89,11.34,15.64
1,Kerryon Johnson,RB,2.8,8.83,13.25,2.35,7.73,11.75,2.7,8.73,13.25
1,Zack Moss,RB,2.99,8.12,11.99,2.54,7.17,10.44,2.89,8.02,11.99
1,Nyheim Hines,RB,4.65,7.3,10.27,3.6,6.05,8.42,4.55,7.3,10.27
1,Ronald Jones,RB,3.83,9.16,13.89,3.03,8.06,12.34,3.73,9.06,13.79
1,Rex Burkhead,RB,3.65,7.02,9.57,3.05,5.97,8.37,3.55,6.92,9.57
1,Jonathan Taylor,RB,4.1,9.91,14.5,3.6,8.96,12.9,4,9.81,14.5
1,Jerick McKinnon,RB,3.52,6.88,10.97,2.92,5.93,9.27,3.42,6.88,10.97
1,Davante Adams,WR,14.98,20.2,26,12.23,15.74,19.6,14.88,19.24,23.6
1,Julio Jones,WR,13.8,20.85,27.6,11.2,15.6,20.6,13.7,18.9,24.6
1,Terry McLaurin,WR,11.03,14.82,23.5,8.78,12.32,18.5,10.93,14.82,22
1,Michael Thomas,WR,15.64,23.6,29.6,12.34,17.03,21.95,15.54,20.98,26.6
1,TY Hilton,WR,10.77,14.88,21.25,8.77,12.48,17.5,10.77,14.88,20.5
1,Marvin Jones,WR,10.62,14.11,19.5,8.57,11.76,16.5,10.62,14.11,19.5
1,Calvin Ridley,WR,11.43,15.29,19.7,9.23,12.79,16.7,11.33,15.29,19.7
1,Allen Robinson,WR,13.13,16.17,22.5,10.33,13.27,18.1,13.03,16.17,21.6
1,DeSean Jackson,WR,8.2,12.15,18.7,6.7,10.2,16.2,8.2,12.15,18.7
1,Preston Williams,WR,7.72,10.96,13.8,5.97,8.86,11.1,7.62,10.96,13.8
1,Odell Beckham,WR,10.33,14.3,22,8.08,11.75,17.9,10.23,14.3,21.4
1,AJ Green,WR,9.8,13.49,20,7.85,11.19,17,9.7,13.49,20
1,Keenan Allen,WR,11.52,15.03,24,8.97,12.13,18.8,11.42,15.03,22.8
1,Chris Godwin,WR,12.93,16.63,23,10.58,13.78,18.3,12.83,16.63,21.8
1,DK Metcalf,WR,10.1,13.51,18.4,8.15,11.21,15.9,9.9,13.41,18.4
1,DeVante Parker,WR,9.9,13.87,19.7,7.95,11.52,16.81,9.9,13.87,19.46
1,Jamison Crowder,WR,8.85,12,14.6,6.7,9.55,11.9,8.75,12,14.6
1,DeAndre Hopkins,WR,12.51,15.61,20.1,9.96,12.91,16.9,12.41,15.61,20.1
1,Tyler Lockett,WR,11.28,14.77,18.9,9.23,12.37,16.35,11.18,14.77,18.9
1,Anthony Miller,WR,7.46,11.26,15.5,5.81,9.11,12.5,7.46,11.26,15.5
