"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Jeff Driskel","DET","1.5","1.0","10.3","0.1","0.0","0.4","2.6","0.0","0.0","1.1"
"Blake Bortles","LAR","1.4","0.9","10.8","0.1","0.0","0.3","1.4","0.0","0.0","1.0"
"Eli Manning","NYG","1.8","1.3","13.5","0.1","0.0","0.0","0.1","0.0","0.0","1.0"
"Josh McCown","PHI","1.4","1.0","11.3","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"Ryan Fitzpatrick","MIA","2.5","1.4","15.2","0.1","0.1","0.3","1.4","0.0","0.0","0.9"
"Robert Griffin","BAL","1.4","0.9","10.0","0.1","0.0","0.3","1.0","0.0","0.0","0.9"
"Matt Moore","KC","1.4","0.9","11.5","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"Cooper Rush","DAL","1.1","0.8","8.5","0.1","0.0","0.2","0.9","0.0","0.0","0.8"
"Jarrett Stidham","NE","1.1","0.8","9.6","0.1","0.0","0.1","0.3","0.0","0.0","0.8"
"Brian Hoyer","IND","1.4","1.0","9.7","0.1","0.0","0.3","0.2","0.0","0.0","0.8"
"Matt Barkley","BUF","1.2","0.8","9.0","0.1","0.0","0.2","0.3","0.0","0.0","0.8"
"Tim Boyle","GB","1.1","0.7","7.6","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
"Nick Mullens","SF","1.4","0.9","11.3","0.1","0.1","0.3","0.3","0.0","0.0","0.7"
"Brett Hundley","ARI","1.5","0.9","9.8","0.1","0.1","0.2","0.8","0.0","0.0","0.7"
"Mike Glennon","OAK","1.4","1.0","9.7","0.1","0.0","0.2","0.3","0.0","0.1","0.6"
"Tyrod Taylor","LAC","0.7","0.5","6.0","0.1","0.0","0.1","0.5","0.0","0.0","0.5"
"AJ McCarron","HOU","1.3","0.9","10.7","0.0","0.0","0.3","0.3","0.0","0.0","0.5"
"Matt Schaub","ATL","1.5","1.2","10.5","0.0","0.0","0.1","0.2","0.0","0.0","0.4"
"Ryan Tannehill","TEN","1.1","0.7","7.2","0.0","0.0","0.3","1.1","0.0","0.0","0.4"
"Sean Mannion","MIN","1.2","0.8","9.4","0.0","0.0","0.3","0.2","0.0","0.0","0.4"
"Chase Daniel","CHI","0.7","0.4","4.3","0.1","0.0","0.2","0.2","0.0","0.0","0.4"
"Joshua Dobbs","JAC","1.3","0.8","6.3","0.0","0.0","0.3","0.9","0.0","0.0","0.3"
"Ryan Finley","CIN","1.1","0.7","6.4","0.0","0.0","0.0","0.2","0.0","0.0","0.3"
"David Fales","NYJ","1.3","0.7","7.0","0.0","0.1","0.2","0.8","0.0","0.0","0.2"
""
""
