"Player","Team","REC","YDS","TDS","FL","FPTS"
"Nick Vannett","SEA","1.3","12.4","0.1","0.0","1.7"
"Nick Boyle","BAL","1.2","10.6","0.1","0.0","1.6"
"Irv Smith Jr.","MIN","1.0","11.2","0.1","0.0","1.5"
"Derek Carrier","OAK","1.2","12.0","0.1","0.0","1.5"
"Tanner Hudson","TB","0.8","9.3","0.1","0.0","1.5"
"Adam Shaheen","CHI","1.3","11.5","0.1","0.0","1.5"
"Matt LaCosse","NE","0.9","10.1","0.1","0.0","1.5"
"Deon Yelder","KC","0.7","7.9","0.1","0.0","1.4"
"Mo Alie-Cox","IND","0.7","8.8","0.1","0.0","1.3"
"Zach Gentry","PIT","0.7","7.1","0.1","0.0","1.3"
"Jonnu Smith","TEN","1.0","10.2","0.0","0.0","1.3"
"Rhett Ellison","NYG","1.0","10.1","0.0","0.0","1.3"
"Ryan Izzo","NE","0.7","7.4","0.1","0.0","1.2"
"Blake Bell","KC","0.8","8.0","0.1","0.0","1.2"
"Maxx Williams","ARI","0.9","8.9","0.1","0.0","1.2"
"Charles Clay","ARI","0.9","10.3","0.0","0.1","1.2"
"Robert Tonyan","GB","0.6","7.7","0.0","0.0","1.0"
"Ian Thomas","CAR","0.7","7.7","0.0","0.0","1.0"
"Nick O'Leary","MIA","0.9","8.7","0.0","0.0","1.0"
"Luke Stocker","ATL","0.7","7.0","0.0","0.0","1.0"
"Foster Moreau","OAK","0.8","7.5","0.0","0.0","1.0"
"Drew Sample","CIN","0.8","7.1","0.0","0.0","1.0"
"Josh Hill","NO","0.8","6.6","0.0","0.0","0.9"
"Tyler Conklin","NE","0.5","7.4","0.0","0.0","0.9"
"Jeremy Sprinkle","WAS","0.6","5.4","0.1","0.0","0.8"
"Logan Paulsen","HOU","0.5","4.7","0.1","0.0","0.8"
"MyCole Pruitt","TEN","0.5","5.7","0.0","0.0","0.8"
"Chris Manhertz","CAR","0.4","5.5","0.0","0.0","0.8"
"Levine Toilolo","SF","0.4","5.0","0.0","0.0","0.7"
"Ben Braunecker","CHI","0.6","6.6","0.0","0.0","0.7"
"Evan Baylis","GB","0.5","4.9","0.0","0.0","0.7"
"Dalton Schultz","DAL","0.4","4.3","0.0","0.0","0.7"
"Lance Kendricks","LAC","0.4","4.4","0.0","0.0","0.7"
"Lee Smith","BUF","0.4","3.8","0.1","0.0","0.7"
"Ross Dwelley","SF","0.4","4.0","0.0","0.0","0.6"
"Antony Auclair","TB","0.4","3.7","0.0","0.0","0.6"
"Jerell Adams","HOU","0.4","3.8","0.0","0.0","0.6"
"David Morgan","MIN","0.3","3.5","0.0","0.0","0.5"
"Johnny Mundt","LAR","0.5","4.7","0.0","0.0","0.5"
"Sean Culkin","LAC","0.4","4.2","0.0","0.0","0.5"
"Seth DeValve","JAC","0.4","4.0","0.0","0.0","0.5"
"Durham Smythe","MIA","0.4","4.6","0.0","0.0","0.5"
"Xavier Grimble","PIT","0.5","5.0","0.0","0.1","0.5"
"Logan Thomas","DET","0.4","3.7","0.0","0.0","0.5"
"Eric Tomlinson","NYG","0.4","3.9","0.0","0.0","0.4"
"Anthony Firkser","TEN","0.4","3.9","0.0","0.0","0.4"
"Garrett Celek","SF","0.2","2.5","0.0","0.0","0.4"
"Troy Fumagalli","DEN","0.3","3.3","0.0","0.0","0.4"
"Trevon Wesco","NYJ","0.3","2.9","0.0","0.0","0.3"
"Daniel Brown","NYJ","0.3","2.6","0.0","0.0","0.3"
"Cethan Carter","CIN","0.2","1.7","0.0","0.0","0.2"
"Pharaoh Brown","CLE","0.2","2.0","0.0","0.0","0.2"
"Andrew Beck","DEN","0.1","1.0","0.0","0.0","0.1"
"Patrick Scales","CHI","0.1","1.0","0.0","0.0","0.1"
"Jaeden Graham","ATL","0.2","1.0","0.0","0.0","0.1"
"Bradley Sowell","CHI","0.1","1.0","0.0","0.0","0.1"
""
""
