,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank,FPTS,%Drafted
1958,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Jets  (15356411),49500.0,110.82585714285715,144.1935714285714,184.73785714285717,1885,1959,2115,5959,2121,134.11999999999998,27.541111111111107
1959,Kyler Murray (15355534),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Adam Humphries (15356020),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Cardinals  (15356396),49600.0,106.57471428571428,144.18685714285715,189.70085714285716,2156,1960,1717,5833,2093,156.33999999999997,31.071111111111115
1960,Kyler Murray (15355534),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Mike Williams (15355946),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49900.0,110.47471428571428,144.18185714285715,194.12085714285718,1928,1961,930,4819,1765,141.54,24.470000000000002
1961,Matt Ryan (15355529),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Diontae Johnson (15355932),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,111.57585714285715,144.17357142857142,186.66285714285718,1791,1962,2031,5784,2085,148.12000000000003,20.396666666666665
1962,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Diontae Johnson (15355932),Adam Humphries (15356020),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Cardinals  (15356396),49700.0,107.32471428571428,144.16685714285714,191.62585714285717,2140,1963,1390,5493,1995,170.34,23.926666666666662
1963,Kyler Murray (15355534),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Diontae Johnson (15355932),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49700.0,109.0947142857143,144.16685714285708,194.06442857142858,2062,1964,943,4969,1821,156.34000000000003,37.621111111111105
1964,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Adam Humphries (15356020),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),50000.0,108.1647142857143,144.15685714285712,192.66942857142857,2117,1965,1201,5283,1926,145.94,23.48333333333333
1965,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49700.0,114.69871428571429,144.15285714285713,186.31142857142856,1171,1966,2054,5191,1896,142.92,24.779999999999998
1966,Matt Ryan (15355529),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Davante Adams (15355828),Adam Humphries (15356020),Mike Williams (15355946),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49700.0,111.64871428571428,144.14785714285713,186.66142857142862,1780,1967,2032,5779,2084,141.12,19.63666666666667
1967,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Mike Williams (15355946),Breshad Perriman (15355972),DeAndre Hopkins (15355830),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Jets  (15356411),49800.0,108.48685714285715,144.14257142857142,195.97585714285717,2105,1968,599,4672,1713,142.54,39.37888888888889
1968,Dak Prescott (15355527),Derrick Henry (15355598),Jonathan Taylor (15355620),Mike Williams (15355946),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Cardinals  (15356396),49500.0,111.0167142857143,144.13885714285715,189.89985714285717,1865,1969,1696,5530,2008,143.2,29.675555555555555
1969,Matt Ryan (15355529),Derrick Henry (15355598),Ezekiel Elliott (15355596),Corey Davis (15355960),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),T.Y. Hilton (15355876),Cardinals  (15356396),49700.0,112.6737142857143,144.13785714285714,186.22785714285718,1584,1970,2060,5614,2037,134.12,26.029999999999998
1970,Matt Ryan (15355529),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Amari Cooper (15355854),T.Y. Hilton (15355876),Chris Herndon (15356226),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,113.25085714285713,144.1235714285714,188.30785714285716,1458,1971,1876,5305,1933,142.42000000000002,26.343333333333334
1971,Kyler Murray (15355534),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Amari Cooper (15355854),T.Y. Hilton (15355876),Chris Herndon (15356226),DeAndre Hopkins (15355830),Dolphins  (15356409),49700.0,110.76971428571429,144.1168571428571,195.70942857142862,1894,1972,634,4500,1639,150.64000000000001,43.56777777777776
1972,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Davante Adams (15355828),Adam Humphries (15356020),Breshad Perriman (15355972),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Dolphins  (15356409),49800.0,111.23871428571431,144.10785714285714,184.32142857142856,1838,1973,2129,5940,2116,146.52,29.397777777777776
1973,Dak Prescott (15355527),Derrick Henry (15355598),Melvin Gordon III (15355634),Amari Cooper (15355854),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49600.0,114.39385714285713,144.0995714285714,188.03985714285716,1237,1974,1911,5122,1871,145.8,19.637777777777774
1974,Matt Ryan (15355529),Derrick Henry (15355598),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Mike Williams (15355946),Amari Cooper (15355854),Jonnu Smith (15356204),T.Y. Hilton (15355876),Dolphins  (15356409),49700.0,115.05371428571428,144.09785714285715,188.0164285714286,1092,1975,1916,4983,1825,137.92000000000002,29.966666666666665
1975,Matt Ryan (15355529),Jonathan Taylor (15355620),Ezekiel Elliott (15355596),Julio Jones (15355834),Diontae Johnson (15355932),Mike Williams (15355946),Jonnu Smith (15356204),T.Y. Hilton (15355876),Cardinals  (15356396),49500.0,112.1587142857143,144.07785714285714,188.88785714285717,1699,1976,1814,5489,1993,143.92000000000002,24.325555555555553
1976,Matt Ryan (15355529),Derrick Henry (15355598),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Adam Humphries (15356020),Amari Cooper (15355854),Jonnu Smith (15356204),T.Y. Hilton (15355876),Cardinals  (15356396),49800.0,112.87371428571429,144.05785714285716,183.23785714285717,1546,1977,2159,5682,2055,157.32000000000002,26.03333333333333
1977,Dak Prescott (15355527),Derrick Henry (15355598),Ezekiel Elliott (15355596),Adam Humphries (15356020),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),DeAndre Hopkins (15355830),Jets  (15356411),49700.0,110.93385714285715,144.05457142857142,186.04985714285718,1873,1978,2068,5919,2110,149.4,24.255555555555556
1978,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Julio Jones (15355834),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),T.Y. Hilton (15355876),Cardinals  (15356396),49900.0,108.3647142857143,144.03685714285714,193.97085714285717,2111,1979,964,5054,1843,138.54000000000002,23.708888888888886
1979,Matt Ryan (15355529),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Davante Adams (15355828),Mike Williams (15355946),Amari Cooper (15355854),Jonnu Smith (15356204),Breshad Perriman (15355972),Cardinals  (15356396),49600.0,111.84871428571431,144.02785714285716,187.96285714285716,1757,1980,1926,5663,2049,133.72000000000003,19.862222222222222
1980,Kyler Murray (15355534),Melvin Gordon III (15355634),Ezekiel Elliott (15355596),Davante Adams (15355828),Amari Cooper (15355854),Breshad Perriman (15355972),Jonnu Smith (15356204),T.Y. Hilton (15355876),Jets  (15356411),49600.0,108.87185714285715,144.0225714285714,191.93085714285718,2078,1981,1330,5389,1956,135.74,29.810000000000002
1981,Matt Ryan (15355529),Derrick Henry (15355598),Jonathan Taylor (15355620),Adam Humphries (15356020),Mike Williams (15355946),Amari Cooper (15355854),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Cardinals  (15356396),49500.0,111.52371428571428,144.01785714285714,187.95285714285717,1801,1982,1928,5711,2066,153.72,29.923333333333332
1982,Kyler Murray (15355534),Derrick Henry (15355598),Jonathan Taylor (15355620),Adam Humphries (15356020),Amari Cooper (15355854),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Jets  (15356411),49500.0,108.54685714285715,144.01257142857142,191.92085714285716,2102,1983,1332,5417,1968,155.73999999999998,39.871111111111105
1983,Matt Ryan (15355529),Jonathan Taylor (15355620),Melvin Gordon III (15355634),Davante Adams (15355828),Breshad Perriman (15355972),T.Y. Hilton (15355876),Jonnu Smith (15356204),Ezekiel Elliott (15355596),Dolphins  (15356409),49600.0,111.36871428571428,144.00785714285712,184.4664285714286,1824,1984,2124,5932,2114,132.11999999999998,28.902222222222218
