,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
99,La'Mical Perine,NYJ,49.6,2.8,26.2,209.5,11.7,110.6,1.5,0.0,0.8,4.2,0.9,2.5,31.7,6.2,19.0,0.1,0.0,0.1,0.2,0.2,0.2,33.5,2.5,17.6,dynasty_draft,2021,RB
100,Jaret Patterson,WAS,25.1,25.1,25.1,104.3,104.3,104.3,0.8,0.8,0.8,2.2,2.2,2.2,18.1,18.1,18.1,0.1,0.1,0.1,0.1,0.1,0.1,17.5,17.5,17.6,dynasty_draft,2021,RB
101,Chris Evans,CIN,26.9,22.0,24.4,111.9,82.0,96.9,0.9,0.0,0.4,8.7,0.0,4.4,65.6,0.0,32.8,0.3,0.0,0.2,0.1,0.1,0.1,24.5,8.2,16.2,dynasty_draft,2021,RB
102,Demetric Felton,CLE,28.0,9.0,18.5,141.0,38.2,89.6,1.0,0.4,0.7,3.0,2.0,2.5,26.0,16.0,21.0,0.1,0.0,0.0,0.0,0.0,0.0,22.7,8.0,15.4,dynasty_draft,2021,RB
103,Kylin Hill,GB,34.0,16.3,25.1,136.0,67.8,101.9,0.6,0.0,0.3,4.3,3.0,3.7,33.6,22.0,27.8,0.2,0.0,0.1,0.1,0.1,0.1,15.8,14.6,15.1,dynasty_draft,2021,RB
104,Gerrid Doaks,MIA,16.3,16.3,16.3,68.0,68.0,68.0,0.6,0.6,0.6,4.4,4.4,4.4,32.7,32.7,32.7,0.1,0.1,0.1,0.1,0.1,0.1,14.1,14.1,14.1,dynasty_draft,2021,RB
105,Devonta Freeman,NO,27.7,4.3,16.0,113.3,16.7,65.0,0.8,0.1,0.5,5.5,2.1,3.8,47.1,17.1,32.1,0.3,0.1,0.2,0.0,0.0,0.0,22.8,4.5,13.7,dynasty_draft,2021,RB
106,Ameer Abdullah,MIN,24.0,2.3,15.4,124.0,9.8,68.7,0.4,0.0,0.1,9.0,1.0,6.0,61.0,7.3,42.0,1.0,0.0,0.3,0.0,0.1,0.0,24.5,2.4,13.5,dynasty_draft,2021,RB
107,Ty Montgomery,NO,22.0,0.9,11.5,78.0,4.0,41.0,0.0,0.0,0.0,18.0,4.3,11.2,131.0,38.6,84.8,0.3,0.0,0.1,0.0,0.0,0.0,20.9,6.0,13.4,dynasty_draft,2021,RB
108,Jake Funk,LAR,12.3,12.3,12.3,51.0,51.0,51.0,0.6,0.6,0.6,4.7,4.7,4.7,37.5,37.5,37.5,0.2,0.2,0.2,0.1,0.1,0.1,13.4,13.4,13.4,dynasty_draft,2021,RB
109,Jordan Howard,PHI,29.0,0.9,19.6,125.0,3.8,76.4,2.0,0.0,0.8,2.0,0.0,1.2,15.0,3.0,9.5,0.1,0.0,0.0,0.0,0.1,0.0,24.8,1.4,13.3,dynasty_draft,2021,RB
110,Eno Benjamin,ARI,34.0,0.9,19.7,156.0,3.9,84.5,1.0,0.0,0.5,4.0,0.9,2.3,38.0,6.6,18.6,0.1,0.0,0.0,0.0,0.1,0.0,25.4,1.5,13.1,dynasty_draft,2021,RB
111,Reggie Bonnafon,CAR,29.0,4.5,19.2,159.0,19.6,87.9,1.0,0.0,0.4,5.0,0.8,2.3,38.0,5.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,22.9,3.4,12.9,dynasty_draft,2021,RB
112,Dare Ogunbowale,JAC,12.2,2.1,7.1,52.3,8.9,30.6,0.4,0.0,0.2,12.8,4.5,8.6,100.2,32.4,66.3,0.4,0.2,0.3,0.1,0.1,0.1,19.8,5.6,12.4,dynasty_draft,2021,RB
113,JaMycal Hasty,SF,35.0,3.8,14.8,189.0,15.9,76.2,1.0,0.1,0.4,2.1,1.8,2.0,15.1,12.0,13.6,0.1,0.0,0.0,0.0,0.0,0.0,26.1,4.4,11.7,dynasty_draft,2021,RB
114,Ke'Shawn Vaughn,TB,21.8,8.2,15.0,92.9,34.8,63.8,0.7,0.2,0.5,2.4,2.3,2.3,17.9,15.1,16.5,0.2,0.1,0.1,0.0,0.0,0.0,15.4,7.3,11.6,dynasty_draft,2021,RB
115,Jordan Wilkins,IND,34.0,4.5,14.4,171.0,19.7,70.3,1.0,0.1,0.4,2.1,1.0,1.7,15.4,8.0,12.6,0.2,0.0,0.1,0.0,0.0,0.0,23.9,4.7,11.4,dynasty_draft,2021,RB
116,D'Ernest Johnson,CLE,31.6,1.0,17.9,140.1,4.3,76.5,1.0,0.0,0.3,4.0,0.9,2.3,29.0,5.9,17.1,0.1,0.0,0.0,0.1,0.1,0.1,22.2,1.5,11.4,dynasty_draft,2021,RB
117,Trey Edmunds,PIT,14.8,14.8,14.8,64.0,64.0,64.0,0.4,0.4,0.4,2.4,2.4,2.4,16.1,16.1,16.1,0.2,0.2,0.2,0.0,0.0,0.0,10.9,10.9,11.3,dynasty_draft,2021,RB
118,Royce Freeman,DEN,19.4,9.2,14.3,81.7,38.1,59.9,0.6,0.2,0.4,4.4,2.2,3.3,26.3,14.7,20.5,0.2,0.1,0.1,0.0,0.0,0.0,15.3,6.8,11.0,dynasty_draft,2021,RB
119,D'Onta Foreman,ATL,29.1,4.4,16.8,120.4,18.7,69.6,0.8,0.2,0.5,2.3,0.9,1.6,18.3,6.7,12.5,0.1,0.0,0.0,0.2,0.2,0.2,18.4,3.4,10.8,dynasty_draft,2021,RB
120,Travis Homer,SEA,24.1,2.2,14.8,102.1,9.5,62.5,0.8,0.0,0.3,6.0,2.1,3.4,44.0,15.6,25.1,0.2,0.0,0.1,0.1,0.1,0.1,16.8,3.7,10.6,dynasty_draft,2021,RB
121,Patrick Ricard,BAL,5.1,0.0,2.0,21.7,-3.0,6.2,0.2,0.0,0.1,17.0,2.5,8.8,103.0,15.9,58.4,2.0,0.2,0.8,0.1,1.0,0.5,22.0,5.5,10.6,dynasty_draft,2021,RB
