,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
199,Racey McMath,TEN,1.5,1.5,1.5,19.3,19.3,19.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,2.7,dynasty_draft,2021,WR
200,Juwan Johnson,NO,1.7,1.7,1.7,21.4,21.4,21.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,2.7,dynasty_draft,2021,WR
201,Travis Benjamin,SF,1.2,1.2,1.2,17.3,17.3,17.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,2.7,dynasty_draft,2021,WR
202,Seth Williams,DEN,1.7,1.7,1.7,20.2,20.2,20.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2.7,dynasty_draft,2021,WR
203,Malik Taylor,GB,1.2,1.2,1.2,13.8,13.8,13.8,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,2.4,dynasty_draft,2021,WR
204,Malcolm Perry,MIA,0.9,0.9,0.9,9.1,9.1,9.1,0.0,0.0,0.0,1.8,1.8,1.8,9.4,9.4,9.4,0.1,0.1,0.1,0.0,0.0,0.0,2.7,2.7,2.3,dynasty_draft,2021,WR
205,Kendall Hinton,DEN,1.1,1.1,1.1,12.1,12.1,12.1,0.0,0.0,0.0,1.2,1.2,1.2,6.4,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.9,dynasty_draft,2021,WR
206,Brandon Zylstra,CAR,1.8,0.7,1.2,23.0,7.5,15.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,1.8,dynasty_draft,2021,WR
207,Isaiah Ford,MIA,1.6,1.6,1.6,15.0,15.0,15.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,1.8,dynasty_draft,2021,WR
208,Kawaan Baker,NO,1.0,1.0,1.0,12.9,12.9,12.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,dynasty_draft,2021,WR
209,Joe Reed,LAC,0.8,0.8,0.8,9.4,9.4,9.4,0.0,0.0,0.0,0.9,0.9,0.9,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,1.4,dynasty_draft,2021,WR
210,Matt Cole,NYG,0.9,0.9,0.9,9.5,9.5,9.5,0.0,0.0,0.0,0.9,0.9,0.9,4.3,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,1.4,dynasty_draft,2021,WR
211,DeMichael Harris,IND,0.7,0.7,0.7,8.1,8.1,8.1,0.0,0.0,0.0,0.9,0.9,0.9,4.7,4.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.3,dynasty_draft,2021,WR
212,Malik Turner,DAL,0.9,0.9,0.9,10.6,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.1,dynasty_draft,2021,WR
213,Kelvin Harmon,WAS,0.8,0.8,0.8,10.6,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.1,dynasty_draft,2021,WR
214,DeAndre Carter,WAS,0.9,0.9,0.9,10.4,10.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,dynasty_draft,2021,WR
215,Vyncint Smith,NYJ,0.9,0.9,0.9,10.1,10.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.0,dynasty_draft,2021,WR
216,John Hightower,PHI,0.7,0.7,0.7,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,dynasty_draft,2021,WR
