,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
74,Dwayne Haskins,PIT,27.0,0.0,13.5,17.0,0.0,8.5,168.0,0.0,84.0,1.0,0.0,0.5,0.0,1.0,0.5,3.0,0.0,1.5,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,4.9,dynasty_draft,2021,QB
75,Case Keenum,CLE,23.2,0.0,13.3,15.1,0.0,8.3,161.2,0.0,94.3,1.3,0.0,0.6,0.0,1.0,0.4,3.0,0.0,0.9,13.0,0.0,3.7,0.0,0.0,0.0,0.2,1.0,0.6,10.5,0.0,4.5,dynasty_draft,2021,QB
76,Logan Woodside,TEN,12.0,0.0,6.0,8.0,0.0,4.0,89.0,0.0,44.5,1.0,0.0,0.5,0.0,0.0,0.0,5.0,0.0,2.5,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.5,dynasty_draft,2021,QB
77,Jarrett Stidham,NE,13.0,0.0,6.5,9.0,0.0,4.5,95.0,0.0,47.5,1.0,0.0,0.5,0.0,1.0,0.5,3.0,0.0,1.5,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,3.2,dynasty_draft,2021,QB
78,Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
79,Easton Stick,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
80,Nick Foles,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
81,Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
82,Jake Luton,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
83,Ryan Griffin,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
84,Ben DiNucci,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
85,Brett Hundley,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
86,Sean Mannion,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
87,Kyle Allen,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
88,Trevor Siemian,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
89,Will Grier,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
90,Nate Sudfeld,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
91,Josh Johnson,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
92,Nathan Peterman,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
93,Brett Rypien,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dynasty_draft,2021,QB
