,Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier,FPTS,%Drafted,Real_Value
112,Hunter Henry,LAC,TE,4200.0,Hunter Henry (15677639),10.02,9.81,12.070000000000002,16.560000000000002,7.71,9.82,14.16,9.71,12.070000000000002,16.560000000000002,428.13455657492347,347.970173985087,253.6231884057971,5,3,1,1,1,4,7.3,4.88,575.3424657534247
113,Darren Waller,LV,TE,5600.0,Darren Waller (15677623),15.75,12.26,15.44,19.89,9.46,12.340000000000002,16.64,12.16,15.340000000000002,19.89,456.76998368678636,362.6943005181347,281.5485168426345,3,2,2,1,1,3,7.8,11.13,717.948717948718
114,Travis Kelce,KC,TE,6600.0,Travis Kelce (15677619),17.44,14.43,17.89,21.95,11.78,14.84,17.84,14.33,17.89,21.14,457.38045738045736,368.921185019564,300.68337129840546,2,1,3,1,1,2,27.9,3.07,236.55913978494624
115,Harrison Bryant,CLE,TE,3200.0,Harrison Bryant (15677667),6.09,5.59,8.59,11.83,4.29,6.989999999999998,9.58,5.59,8.59,11.83,572.4508050089446,372.52619324796274,270.4987320371936,14,6,4,2,2,8,4.5,9.82,711.1111111111111
116,Jonnu Smith,TEN,TE,4100.0,Jonnu Smith (15677641),12.38,8.11,10.87,15.69,6.760000000000002,9.07,13.44,8.11,10.87,15.69,505.54870530209615,377.1849126034958,261.3129381771829,7,4,5,2,2,6,4.9,22.63,836.734693877551
117,George Kittle,SF,TE,7000.0,George Kittle (15677617),19.64,15.3,18.349999999999994,24.125,12.250000000000002,14.93,18.77,15.2,18.08,22.37,457.516339869281,381.4713896457767,290.15544041450784,1,1,6,2,1,3,5.9,38.63,1186.4406779661017
118,Trey Burton,IND,TE,3500.0,Trey Burton (15677653),11.27,4.66,9.14,16.05,3.51,7.34,13.5,4.66,9.14,16.05,751.0729613733905,382.9321663019694,218.06853582554515,12,5,7,2,2,7,10.1,1.95,346.53465346534654
119,Jared Cook,NO,TE,4400.0,Jared Cook (15677635),10.36,7.27,11.34,18.1,5.82,9.39,15.1,7.27,11.34,18.1,605.2269601100413,388.00705467372137,243.09392265193367,6,4,8,2,2,6,16.1,1.2,273.29192546583846
120,Eric Ebron,PIT,TE,3900.0,Eric Ebron (15677645),8.08,6.73,9.37,11.720000000000002,5.08,7.420000000000001,9.37,6.63,9.37,11.720000000000002,579.4947994056463,416.22198505869795,332.7645051194539,11,5,9,3,3,8,14.8,0.37,263.5135135135135
121,Robert Tonyan,GB,TE,4300.0,Robert Tonyan (15677637),11.83,5.42,9.63,16.3,4.32,7.98,13.8,5.42,9.63,16.3,793.3579335793357,446.52128764278297,263.80368098159505,10,5,10,4,4,9,12.9,0.75,333.3333333333333
122,Mark Andrews,BAL,TE,5800.0,Mark Andrews (15677621),12.38,9.48,12.94,17.1,7.98,10.94,14.6,9.48,12.94,17.1,611.8143459915611,448.2225656877898,339.18128654970764,4,3,11,4,3,7,6.2,0.72,935.483870967742
123,Albert Okwuegbunam,DEN,TE,2800.0,Albert Okwuegbunam (15677685),9.75,2.77,5.880000000000001,8.780000000000001,2.0700000000000003,4.68,7.1800000000000015,2.77,5.880000000000001,8.780000000000001,1010.8303249097473,476.19047619047615,318.9066059225512,20,8,12,5,5,13,7.9,1.91,354.4303797468354
124,Noah Fant,DEN,TE,4700.0,Noah Fant (15677629),12.34,7.000000000000001,9.75,12.78,5.4,7.85,10.53,6.9,9.75,12.78,671.4285714285712,482.05128205128204,367.7621283255086,9,5,13,5,5,10,11.7,0.51,401.70940170940173
125,Irv Smith,MIN,TE,3000.0,Irv Smith Jr. (15677673),4.22,4.1,5.949999999999998,9.170000000000002,3.1,4.65,7.170000000000001,4.1,5.949999999999998,9.170000000000002,731.7073170731708,504.201680672269,327.153762268266,19,8,14,6,6,14,2.6,1.25,1153.8461538461538
126,Drew Sample,CIN,TE,3400.0,Drew Sample (15677661),5.2,3.85,6.620000000000001,10.420000000000002,2.85,5.02,7.920000000000001,3.85,6.620000000000001,10.420000000000002,883.1168831168831,513.5951661631418,326.2955854126679,18,7,15,6,6,13,0.0,0.21,1000.0
127,TJ Hockenson,DET,TE,5300.0,T.J. Hockenson (15677625),12.27,7.6,10.22,12.510000000000002,5.8,8.27,10.31,7.6,10.22,12.510000000000002,697.3684210526317,518.5909980430529,423.6610711430855,8,5,16,6,5,11,13.5,0.17,392.5925925925926
128,Greg Olsen,SEA,TE,3600.0,Greg Olsen (15677651),6.47,4.58,6.94,10.43,3.43,5.590000000000002,8.48,4.58,6.94,10.43,786.0262008733624,518.7319884726223,345.1581975071908,17,7,17,6,6,13,0.0,0.59,1000.0
129,Chris Herndon,NYJ,TE,2900.0,Chris Herndon (15677677),3.63,3.07,5.5,8.719999999999999,2.22,4.300000000000002,7.07,2.97,5.5,8.719999999999999,944.625407166124,527.2727272727273,332.5688073394496,21,8,18,6,6,14,0.3,0.03,1000.0
130,Jimmy Graham,CHI,TE,4600.0,Jimmy Graham (15677631),10.63,5.67,8.57,12.25,4.27,6.7700000000000005,9.95,5.67,8.57,12.25,811.2874779541446,536.7561260210035,375.51020408163276,15,6,19,7,6,13,3.3,0.74,1393.939393939394
131,Mike Gesicki,MIA,TE,4900.0,Mike Gesicki (15677627),10.18,6.48,9.03,12.1,4.88,7.229999999999999,9.7,6.38,9.03,12.1,756.1728395061727,542.6356589147287,404.9586776859504,13,5,20,7,5,12,1.8,0.57,2722.222222222222
132,Tyler Higbee,LAR,TE,4500.0,Tyler Higbee (15677633),10.03,5.5600000000000005,7.94,10.38,4.260000000000002,6.3900000000000015,8.379999999999999,5.5600000000000005,7.94,10.38,809.3525179856116,566.7506297229219,433.5260115606937,16,6,21,8,6,14,3.4,0.07,1323.5294117647059
133,Anthony Firkser,TEN,TE,3000.0,Anthony Firkser (15677669),7.82,3.43,5.050000000000002,6.920000000000001,2.63,4.050000000000002,5.62,3.43,5.050000000000002,6.920000000000001,874.6355685131193,594.0594059405938,433.5260115606936,22,8,22,8,8,16,5.6,0.06,535.7142857142858
134,Titans,TEN,DST,3000.0,Titans  (15677816),4.5,5.699999999999998,7.1000000000000005,8.100000000000001,6.546999999999999,8.381,9.783,6.9,8.100000000000001,9.1,526.3157894736843,422.5352112676056,370.3703703703703,2,2,1,1,1,3,-1.0,14.72,1000.0
135,Lions,DET,DST,2500.0,Lions  (15677822),2.5,3.071428571428572,5.542857142857144,6.6000000000000005,3.710428571428572,6.526857142857143,7.77,4.071428571428572,6.542857142857143,7.6,813.9534883720929,451.03092783505167,378.7878787878788,13,6,2,2,2,8,0.0,2.96,1000.0
136,Packers,GB,DST,2900.0,Packers  (15677817),5.0,4.4,6.2142857142857135,7.814285714285713,5.510000000000002,7.798285714285715,9.779285714285713,5.4,7.2142857142857135,8.814285714285713,659.090909090909,466.6666666666666,371.1151736745887,8,4,3,2,2,6,0.0,8.05,1000.0
137,49ers,SF,DST,2700.0,49ers  (15677820),6.71,4.357142857142857,5.742857142857144,7.0285714285714285,4.723142857142856,6.534857142857144,8.512857142857143,5.357142857142857,6.742857142857144,8.342857142857143,619.672131147541,470.14925373134315,384.1463414634146,11,6,4,2,2,8,-2.0,0.12,1000.0
138,Bills,BUF,DST,3300.0,Bills  (15677811),4.86,4.871428571428573,7.014285714285714,8.128571428571428,7.363857142857142,9.62557142857143,10.708571428571428,6.614285714285715,8.442857142857143,9.128571428571428,677.4193548387096,470.468431771894,405.97539543057997,3,2,5,2,2,4,4.0,8.18,825.0
139,Colts,IND,DST,3100.0,Colts  (15677814),11.17,4.042857142857144,6.514285714285714,7.385714285714287,4.951857142857143,8.155285714285714,9.395714285714286,5.042857142857144,7.514285714285714,8.385714285714286,766.7844522968197,475.87719298245605,419.7292069632495,5,3,6,2,2,5,15.0,3.0,206.66666666666666
140,Bengals,CIN,DST,2100.0,Bengals  (15677825),2.57,3.1428571428571432,4.242857142857143,4.5285714285714285,3.364857142857142,4.803857142857144,6.280857142857144,4.142857142857142,5.242857142857143,6.242857142857144,668.1818181818182,494.94949494949486,463.72239747634063,17,8,7,3,3,11,4.0,0.63,525.0
141,Browns,CLE,DST,2600.0,Browns  (15677821),6.29,4.057142857142857,5.228571428571428,7.557142857142859,4.555142857142859,6.224571428571428,9.09014285714286,5.057142857142857,6.228571428571428,8.557142857142859,640.8450704225353,497.26775956284166,344.04536862003766,14,7,8,3,3,10,3.0,17.1,866.6666666666666
142,Broncos,DEN,DST,3000.0,Broncos  (15677815),5.83,4.814285714285714,5.942857142857143,7.1571428571428575,5.477285714285714,6.8668571428571425,8.387142857142857,5.814285714285715,6.942857142857143,8.157142857142857,623.1454005934719,504.80769230769226,419.16167664670655,9,5,9,3,3,8,5.0,0.18,600.0
143,Chiefs,KC,DST,4500.0,Chiefs  (15677805),9.29,7.485714285714287,8.67142857142857,10.928571428571427,10.997428571428573,12.44085714285714,14.587142857142856,10.457142857142856,11.014285714285712,12.385714285714286,601.1450381679389,518.9456342668864,411.7647058823529,1,1,10,4,1,5,9.0,3.92,500.0
144,Patriots,NE,DST,3100.0,Patriots  (15677813),7.83,4.428571428571427,5.9,8.371428571428572,5.424142857142856,7.049000000000001,9.868428571428572,5.685714285714285,6.9,9.371428571428572,700.0000000000001,525.4237288135594,370.30716723549483,10,5,11,4,4,9,3.0,0.66,1033.3333333333333
145,Saints,NO,DST,3400.0,Saints  (15677810),4.33,4.585714285714285,6.3428571428571425,7.671428571428572,6.605428571428572,8.805857142857144,10.901428571428573,6.1571428571428575,7.3428571428571425,8.671428571428573,741.4330218068536,536.036036036036,443.20297951582864,7,4,12,5,4,9,7.0,16.25,485.7142857142857
146,Dolphins,MIA,DST,2400.0,Dolphins  (15677823),8.0,2.928571428571428,4.371428571428572,6.171428571428572,2.958571428571428,4.851428571428572,7.191428571428572,3.928571428571428,5.371428571428572,7.171428571428572,819.5121951219514,549.0196078431372,388.88888888888886,16,8,13,6,6,14,23.0,15.08,104.34782608695652
147,Seahawks,SEA,DST,3200.0,Seahawks  (15677812),5.33,3.7142857142857135,5.700000000000001,7.399999999999999,4.164285714285714,6.384000000000002,8.459,4.7142857142857135,6.700000000000001,8.399999999999999,861.5384615384618,561.4035087719298,432.4324324324325,12,6,14,6,6,12,7.0,0.1,457.14285714285717
148,Rams,LAR,DST,3800.0,Rams  (15677807),7.57,5.3,6.6571428571428575,8.5,7.413000000000001,8.934142857142858,10.981,6.5,7.6571428571428575,9.5,716.9811320754718,570.8154506437768,447.05882352941177,4,3,15,7,3,10,5.0,1.64,760.0
149,Ravens,BAL,DST,3700.0,Ravens  (15677808),12.67,4.357142857142858,6.442857142857143,8.028571428571428,5.492285714285716,7.8657142857142865,10.668571428571427,6.2714285714285705,7.528571428571428,9.028571428571428,849.1803278688524,574.279379157428,460.85409252669035,6,3,16,7,3,10,4.0,0.42,925.0
150,Raiders,LV,DST,2900.0,Raiders  (15677818),0.83,3.5,4.971428571428572,6.514285714285714,4.793000000000001,6.480428571428572,8.368285714285715,4.5,5.971428571428572,7.514285714285714,828.5714285714287,583.3333333333334,445.1754385964912,15,7,17,8,7,15,9.0,0.15,322.22222222222223
