,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
178,178,RB,Artavis Pierce (15677275),Artavis Pierce,15677275.0,RB/FLEX,4000.0,NO@CHI 11/01/2020 04:25PM ET,CHI,0.0
179,179,RB,Tarik Cohen (15677277),Tarik Cohen,15677277.0,RB/FLEX,4000.0,NO@CHI 11/01/2020 04:25PM ET,CHI,5.83
180,180,QB,Trace McSorley (15677090),Trace McSorley,15677090.0,QB,4000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,0.0
181,181,QB,Josh Dobbs (15677091),Josh Dobbs,15677091.0,QB,4000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,0.0
182,182,RB,Justice Hill (15677253),Justice Hill,15677253.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,0.0
183,183,RB,Patrick Ricard (15677255),Patrick Ricard,15677255.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,1.6
184,184,RB,Benny Snell Jr. (15677257),Benny Snell,15677257.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,5.45
185,185,RB,Anthony McFarland Jr. (15677259),Anthony McFarland,15677259.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,2.22
186,186,RB,Jaylen Samuels (15677261),Jaylen Samuels,15677261.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,0.82
187,187,RB,Trey Edmunds (15677263),Trey Edmunds,15677263.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,0.0
188,188,RB,Derek Watt (15677265),Derek Watt,15677265.0,RB/FLEX,4000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,0.0
189,189,RB,Jeremy McNichols (15677241),Jeremy McNichols,15677241.0,RB/FLEX,4000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,2.45
190,190,RB,Darrynton Evans (15677243),Darrynton Evans,15677243.0,RB/FLEX,4000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,1.05
191,191,RB,Senorise Perry (15677245),Senorise Perry,15677245.0,RB/FLEX,4000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,0.45
192,192,RB,Khari Blasingame (15677247),Khari Blasingame,15677247.0,RB/FLEX,4000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,0.38
193,193,RB,Samaje Perine (15677249),Samaje Perine,15677249.0,RB/FLEX,4000.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,0.27
194,194,RB,Trayveon Williams (15677251),Trayveon Williams,15677251.0,RB/FLEX,4000.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,0.0
195,195,RB,Jalen Richard (15677229),Jalen Richard,15677229.0,RB/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,LV,4.88
196,196,RB,Devontae Booker (15677231),Devontae Booker,15677231.0,RB/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,LV,4.78
197,197,RB,Alec Ingold (15677233),Alec Ingold,15677233.0,RB/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,LV,3.83
198,198,RB,D'Ernest Johnson (15677235),D'Ernest Johnson,15677235.0,RB/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,2.14
199,199,RB,Dontrell Hilliard (15677237),Dontrell Hilliard,15677237.0,RB/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,2.0
200,200,RB,Andy Janovich (15677239),Andy Janovich,15677239.0,RB/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,0.62
201,201,TE,Austin Hooper (15677643),Austin Hooper,15677643.0,TE/FLEX,4000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,8.08
202,202,QB,Jake Fromm (15677089),Jake Fromm,15677089.0,QB,4000.0,NE@BUF 11/01/2020 01:00PM ET,BUF,0.0
203,203,RB,Rex Burkhead (15677217),Rex Burkhead,15677217.0,RB/FLEX,4000.0,NE@BUF 11/01/2020 01:00PM ET,NE,10.33
204,204,RB,J.J. Taylor (15677219),JJ Taylor,15677219.0,RB/FLEX,4000.0,NE@BUF 11/01/2020 01:00PM ET,NE,2.8
205,205,RB,Sony Michel (15677221),Sony Michel,15677221.0,RB/FLEX,4000.0,NE@BUF 11/01/2020 01:00PM ET,NE,10.2
206,206,RB,Jakob Johnson (15677223),Jakob Johnson,15677223.0,RB/FLEX,4000.0,NE@BUF 11/01/2020 01:00PM ET,NE,1.96
207,207,RB,T.J. Yeldon (15677225),TJ Yeldon,15677225.0,RB/FLEX,4000.0,NE@BUF 11/01/2020 01:00PM ET,BUF,5.4
208,208,RB,Taiwan Jones (15677227),Taiwan Jones,15677227.0,RB/FLEX,4000.0,NE@BUF 11/01/2020 01:00PM ET,BUF,0.0
209,209,QB,James Morgan (15677088),James Morgan,15677088.0,QB,4000.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,0.0
210,210,RB,Frank Gore (15677207),Frank Gore,15677207.0,RB/FLEX,4000.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,5.79
211,211,RB,Ty Johnson (15677209),Ty Johnson,15677209.0,RB/FLEX,4000.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,1.4
212,212,RB,Darrel Williams (15677211),Darrel Williams,15677211.0,RB/FLEX,4000.0,NYJ@KC 11/01/2020 01:00PM ET,KC,4.35
213,213,RB,Darwin Thompson (15677213),Darwin Thompson,15677213.0,RB/FLEX,4000.0,NYJ@KC 11/01/2020 01:00PM ET,KC,0.98
214,214,RB,DeAndre Washington (15677215),DeAndre Washington,15677215.0,RB/FLEX,4000.0,NYJ@KC 11/01/2020 01:00PM ET,KC,1.7
215,215,RB,Matt Breida (15677191),Matt Breida,15677191.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,4.4
216,216,RB,Patrick Laird (15677193),Patrick Laird,15677193.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,1.02
217,217,RB,Jordan Howard (15677195),Jordan Howard,15677195.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,5.02
218,218,RB,Malcolm Perry (15677197),Malcolm Perry,15677197.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,0.0
219,219,RB,Salvon Ahmed (15677199),Salvon Ahmed,15677199.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,0.0
220,220,RB,Chandler Cox (15677201),Chandler Cox,15677201.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,0.58
221,221,RB,Xavier Jones (15677203),Xavier Jones,15677203.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,LAR,0.0
222,222,RB,Raymond Calais (15677205),Raymond Calais,15677205.0,RB/FLEX,4000.0,LAR@MIA 11/01/2020 01:00PM ET,LAR,0.0
223,223,QB,Nick Mullens (15677087),Nick Mullens,15677087.0,QB,4000.0,SF@SEA 11/01/2020 04:25PM ET,SF,10.45
224,224,RB,Travis Homer (15677179),Travis Homer,15677179.0,RB/FLEX,4000.0,SF@SEA 11/01/2020 04:25PM ET,SEA,2.75
225,225,RB,DeeJay Dallas (15677181),DeeJay Dallas,15677181.0,RB/FLEX,4000.0,SF@SEA 11/01/2020 04:25PM ET,SEA,2.02
226,226,RB,Rashaad Penny (15677183),Rashaad Penny,15677183.0,RB/FLEX,4000.0,SF@SEA 11/01/2020 04:25PM ET,SEA,0.0
227,227,RB,Nick Bellore (15677185),Nick Bellore,15677185.0,RB/FLEX,4000.0,SF@SEA 11/01/2020 04:25PM ET,SEA,0.0
