,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
76,Dexter Williams,GB,1.3,1.3,1.3,14.6,3.9,9.3,0.1,0.0,0.1,0.6,0.6,0.6,4.3,1.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,1.5,7,RB
77,Dare Ogunbowale,JAC,1.3,0.5,0.9,5.4,1.8,3.0,0.0,0.0,0.0,1.8,0.8,1.4,14.2,5.3,10.5,0.1,0.0,0.0,0.0,0.0,0.0,2.4,0.7,1.5,7,RB
78,TJ Yeldon,BUF,2.5,1.5,2.0,9.9,6.0,7.9,0.0,0.0,0.0,1.5,0.2,0.9,8.3,2.0,5.7,0.1,0.0,0.0,0.0,0.0,0.0,1.9,1.2,1.5,7,RB
79,Royce Freeman,DEN,5.3,1.0,2.3,15.3,3.0,8.4,0.1,0.0,0.0,1.7,0.0,0.7,8.9,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.3,1.4,7,RB
80,Alec Ingold,LV,1.0,0.3,0.5,3.3,0.2,1.4,0.0,0.0,0.0,1.8,0.4,1.1,11.4,3.8,8.2,0.1,0.0,0.1,0.0,0.0,0.0,1.7,1.0,1.3,7,RB
81,Eno Benjamin,ARI,1.8,1.8,1.8,9.0,5.3,7.1,0.1,0.0,0.1,0.7,0.2,0.5,2.4,2.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.2,7,RB
82,CJ Prosise,HOU,2.8,2.8,2.8,6.1,4.6,5.3,0.0,0.0,0.0,1.9,0.3,1.1,8.0,2.8,5.4,0.0,0.0,0.0,0.0,0.1,0.0,1.1,1.1,1.2,7,RB
83,Josh Adams,NYJ,4.1,1.5,2.8,10.3,6.6,8.5,0.1,0.0,0.1,1.4,0.0,0.7,1.4,0.2,0.8,0.0,0.0,0.0,0.0,0.1,0.0,1.3,1.3,1.2,7,RB
84,Jaylen Samuels,PIT,3.1,1.8,2.4,6.9,1.8,4.9,0.0,0.0,0.0,1.6,0.5,1.0,7.6,2.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.1,7,RB
85,DeAndre Washington,KC,3.1,3.1,3.1,7.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,3.8,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,RB
86,Alex Armah,CAR,1.3,0.7,0.9,14.4,1.1,4.8,0.1,0.0,0.0,1.1,0.1,0.5,4.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.2,1.0,7,RB
87,Darwin Thompson,KC,3.7,1.9,2.8,12.0,4.4,8.1,0.0,0.0,0.0,2.7,0.0,1.0,2.7,0.2,1.6,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.8,1.0,7,RB
88,DeeJay Dallas,SEA,2.1,0.9,1.5,7.6,4.2,6.1,0.1,0.0,0.0,0.8,0.1,0.5,3.9,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.0,7,RB
89,Jakob Johnson,NE,2.3,2.3,2.3,6.9,6.9,6.9,0.0,0.0,0.0,0.9,0.9,0.9,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,7,RB
90,Reggie Gilliam,BUF,1.2,1.0,1.1,4.5,0.1,2.6,0.0,0.0,0.0,0.7,0.5,0.6,5.2,1.4,3.9,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.9,7,RB
91,Ryan Nall,CHI,3.1,3.1,3.1,10.4,0.0,5.2,0.0,0.0,0.0,1.2,0.4,0.8,3.3,2.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,7,RB
92,Kalen Ballage,LAC,1.5,0.9,1.2,4.8,1.5,3.2,0.1,0.0,0.1,0.5,0.4,0.4,2.8,0.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.8,7,RB
93,Xavier Jones,LAR,0.0,0.0,0.0,2.1,2.1,2.1,0.0,0.0,0.0,0.3,0.3,0.3,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,7,RB
94,Bo Scarbrough,DET,1.9,0.5,1.2,6.7,1.5,4.1,0.1,0.0,0.1,0.3,0.0,0.1,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.7,7,RB
95,Artavis Pierce,CHI,1.8,1.8,1.8,6.3,2.0,4.2,0.0,0.0,0.0,0.5,0.1,0.3,2.7,0.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,7,RB
96,Ty Montgomery,NO,1.4,0.3,0.9,6.0,0.8,3.4,0.0,0.0,0.0,0.7,0.2,0.4,4.8,0.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,7,RB
97,Keith Smith,ATL,1.2,1.2,1.2,3.4,2.1,2.8,0.0,0.0,0.0,0.5,0.5,0.5,3.4,1.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,7,RB
98,Michael Burton,NO,1.7,1.7,1.7,5.3,1.6,3.5,0.0,0.0,0.0,0.7,0.2,0.5,1.7,1.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,7,RB
99,Rico Dowdle,DAL,0.2,0.2,0.2,4.9,0.5,2.7,0.0,0.0,0.0,0.3,0.1,0.2,2.0,0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,7,RB
100,Dwayne Washington,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,7,RB
101,Andy Janovich,CLE,0.8,0.8,0.8,3.9,0.1,2.0,0.0,0.0,0.0,1.0,0.4,0.7,2.9,2.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,7,RB
102,Anthony Sherman,KC,0.8,0.5,0.7,2.1,0.0,0.9,0.0,0.0,0.0,0.5,0.2,0.3,3.9,0.7,1.8,0.1,0.0,0.0,0.0,0.0,0.0,1.1,0.1,0.5,7,RB
103,Elijhaa Penny,NYG,2.3,0.5,1.4,6.3,1.3,3.3,0.0,0.0,0.0,0.6,0.0,0.3,1.9,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.5,7,RB
104,Cullen Gillaspia,HOU,0.4,0.4,0.4,2.0,0.0,1.0,0.0,0.0,0.0,0.5,0.2,0.4,3.7,1.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.4,7,RB
105,Gabe Nabers,LAC,0.3,0.3,0.3,1.9,0.7,1.3,0.0,0.0,0.0,0.3,0.1,0.2,2.3,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.4,7,RB
106,Taiwan Jones,BUF,0.4,0.2,0.3,2.0,0.5,1.4,0.0,0.0,0.0,0.4,0.1,0.2,4.4,0.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.4,7,RB
107,Cethan Carter,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,7,RB
108,Khari Blasingame,TEN,0.4,0.1,0.2,1.0,0.0,0.5,0.0,0.0,0.0,0.3,0.2,0.2,2.6,0.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.3,7,RB
109,Ryquell Armstead,JAC,0.7,0.7,0.7,1.4,1.4,1.4,0.0,0.0,0.0,0.7,0.7,0.7,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7,RB
110,Bruce Miller,JAC,0.2,0.2,0.2,0.8,0.2,0.5,0.0,0.0,0.0,0.3,0.1,0.2,2.2,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,7,RB
111,Trey Edmunds,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,7,RB
112,Senorise Perry,TEN,0.6,0.6,0.6,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,7,RB
113,Nick Bellore,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.7,1.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,7,RB
114,Troymaine Pope,LAC,0.5,0.5,0.5,1.3,1.3,1.3,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7,RB
115,John Lovett,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,7,RB
116,Buddy Howell,HOU,0.3,0.3,0.3,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,7,RB
